,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,  0.003722,  0.003009,  0.003078,  0.003017,  0.003145,  0.003061,  0.002874,  0.003049,  0.003101,  0.003006,  0.003001,  0.003090,  0.003045,  0.003072,  0.003056,  0.003226,  0.003024,  0.003077,  0.003082,  0.003037,  0.003201,  0.003131,  0.003050,  0.003095,  0.003055,  0.002970,  0.003090,  0.003041,  0.003024,  0.002990,  0.002958,  0.003003,  0.003050,  0.003049,  0.003017,  0.003107,  0.003127,  0.003216,  0.002943,  0.003214,  0.002910,  0.003018,  0.003166,  0.003030,  0.003155,  0.003126,  0.003017,  0.003113,  0.003045,  0.003083,  0.003110,  0.003117,  0.003198,  0.003073,  0.003033,  0.003041,  0.002990,  0.003031,  0.003067,  0.003087,  0.003011,  0.003122,  0.003159,  0.002988,  0.002957,  0.003126,  0.003058,  0.003147,  0.003095,  0.002871,  0.003043,  0.003171,  0.003016,  0.003060,  0.003063,  0.003095,  0.003005,  0.003075,  0.002968,  0.003088,  0.002949,  0.003084,  0.002952,  0.003254,  0.003116,  0.003229,  0.003252,  0.003086,  0.003078,  0.003153,  0.003106,  0.003187,  0.003047,  0.003022,  0.003099,  0.003120,  0.002946,  0.003103,  0.003025,  0.002913
1,  0.003009,  0.003706,  0.003043,  0.003033,  0.003178,  0.003105,  0.002881,  0.003095,  0.003058,  0.002948,  0.003060,  0.003072,  0.003118,  0.003064,  0.003066,  0.003174,  0.002972,  0.003091,  0.003172,  0.003003,  0.003154,  0.003096,  0.003086,  0.003060,  0.002919,  0.002965,  0.003025,  0.003021,  0.002999,  0.003071,  0.003054,  0.003075,  0.003049,  0.003084,  0.003020,  0.003074,  0.003056,  0.003218,  0.002932,  0.003166,  0.002913,  0.003026,  0.003152,  0.002992,  0.003157,  0.003179,  0.003024,  0.003070,  0.003082,  0.003078,  0.003102,  0.003081,  0.003158,  0.003105,  0.003010,  0.003003,  0.002940,  0.003040,  0.003044,  0.003122,  0.002988,  0.003081,  0.003111,  0.002965,  0.002984,  0.003075,  0.003113,  0.003211,  0.003139,  0.002868,  0.003113,  0.003147,  0.003021,  0.003108,  0.003092,  0.003185,  0.002974,  0.003057,  0.002995,  0.003113,  0.003015,  0.003152,  0.003008,  0.003226,  0.003193,  0.003186,  0.003174,  0.003094,  0.003125,  0.003134,  0.003126,  0.003159,  0.003006,  0.003013,  0.003072,  0.003104,  0.002974,  0.003072,  0.003106,  0.002889
2,  0.003078,  0.003043,  0.003881,  0.003115,  0.003274,  0.003139,  0.002981,  0.003164,  0.003150,  0.003046,  0.003170,  0.003236,  0.003188,  0.003176,  0.003196,  0.003336,  0.003170,  0.003157,  0.003149,  0.003188,  0.003286,  0.003195,  0.003126,  0.003211,  0.003057,  0.003025,  0.003144,  0.003089,  0.003073,  0.003170,  0.003056,  0.003187,  0.003161,  0.003149,  0.003139,  0.003168,  0.003109,  0.003328,  0.003010,  0.003287,  0.003045,  0.003146,  0.003242,  0.003117,  0.003265,  0.003202,  0.003165,  0.003177,  0.003158,  0.003126,  0.003289,  0.003222,  0.003222,  0.003200,  0.003086,  0.003181,  0.003022,  0.003162,  0.003170,  0.003179,  0.003089,  0.003251,  0.003191,  0.003136,  0.003051,  0.003285,  0.003118,  0.003304,  0.003214,  0.002959,  0.003148,  0.003196,  0.003156,  0.003139,  0.003179,  0.003258,  0.003156,  0.003219,  0.003113,  0.003211,  0.003038,  0.003242,  0.003071,  0.003388,  0.003283,  0.003212,  0.003316,  0.003153,  0.003144,  0.003224,  0.003213,  0.003324,  0.003071,  0.003054,  0.003212,  0.003158,  0.003111,  0.003197,  0.003140,  0.003081
3,  0.003017,  0.003033,  0.003115,  0.003698,  0.003156,  0.003073,  0.002910,  0.003032,  0.003052,  0.003012,  0.003058,  0.003049,  0.003080,  0.003122,  0.003048,  0.003207,  0.003062,  0.003111,  0.003160,  0.003051,  0.003195,  0.003060,  0.003051,  0.003170,  0.002976,  0.002949,  0.003033,  0.003039,  0.002970,  0.003074,  0.003009,  0.003101,  0.003033,  0.003029,  0.003068,  0.003105,  0.003132,  0.003229,  0.002992,  0.003201,  0.002903,  0.002997,  0.003143,  0.002976,  0.003192,  0.003114,  0.003004,  0.003114,  0.003091,  0.003116,  0.003112,  0.003040,  0.003161,  0.003092,  0.002971,  0.003084,  0.003005,  0.003010,  0.003000,  0.003139,  0.002975,  0.003174,  0.003119,  0.002977,  0.002957,  0.003143,  0.003102,  0.003219,  0.003113,  0.002922,  0.003160,  0.003153,  0.003009,  0.003073,  0.003110,  0.003126,  0.003045,  0.003092,  0.002976,  0.003158,  0.002959,  0.003148,  0.003030,  0.003282,  0.003200,  0.003163,  0.003195,  0.003101,  0.003113,  0.003148,  0.003079,  0.003176,  0.002940,  0.002981,  0.003026,  0.003129,  0.002972,  0.003103,  0.003017,  0.002901
4,  0.003145,  0.003178,  0.003274,  0.003156,  0.003932,  0.003190,  0.003014,  0.003181,  0.003178,  0.003132,  0.003202,  0.003256,  0.003207,  0.003221,  0.003195,  0.003372,  0.003211,  0.003297,  0.003274,  0.003215,  0.003313,  0.003251,  0.003181,  0.003286,  0.003086,  0.003075,  0.003174,  0.003157,  0.003127,  0.003231,  0.003139,  0.003173,  0.003156,  0.003235,  0.003177,  0.003230,  0.003275,  0.003353,  0.003124,  0.003343,  0.003095,  0.003184,  0.003294,  0.003135,  0.003257,  0.003231,  0.003196,  0.003202,  0.003239,  0.003208,  0.003255,  0.003259,  0.003301,  0.003210,  0.003119,  0.003229,  0.003081,  0.003183,  0.003166,  0.003192,  0.003165,  0.003238,  0.003304,  0.003152,  0.003072,  0.003298,  0.003218,  0.003400,  0.003210,  0.003051,  0.003211,  0.003254,  0.003170,  0.003278,  0.003262,  0.003290,  0.003142,  0.003231,  0.003107,  0.003228,  0.003070,  0.003294,  0.003103,  0.003390,  0.003291,  0.003313,  0.003312,  0.003258,  0.003234,  0.003257,  0.003161,  0.003330,  0.003132,  0.003178,  0.003262,  0.003230,  0.003021,  0.003256,  0.003212,  0.003076
5,  0.003061,  0.003105,  0.003139,  0.003073,  0.003190,  0.003778,  0.002972,  0.003144,  0.003038,  0.003021,  0.003088,  0.003123,  0.003166,  0.003083,  0.003116,  0.003296,  0.003038,  0.003206,  0.003121,  0.002962,  0.003192,  0.003146,  0.003103,  0.003163,  0.003016,  0.002973,  0.003085,  0.003010,  0.003019,  0.003045,  0.003001,  0.003031,  0.003105,  0.003040,  0.003051,  0.003175,  0.003117,  0.003216,  0.003045,  0.003294,  0.002977,  0.003012,  0.003151,  0.002995,  0.003161,  0.003085,  0.003022,  0.003168,  0.003132,  0.003097,  0.003169,  0.003114,  0.003186,  0.003077,  0.003066,  0.003065,  0.002959,  0.003089,  0.003065,  0.003054,  0.003040,  0.003146,  0.003195,  0.003017,  0.003010,  0.003035,  0.003112,  0.003204,  0.003119,  0.002906,  0.003085,  0.003188,  0.003069,  0.003141,  0.003144,  0.003183,  0.003033,  0.003198,  0.002951,  0.003148,  0.002982,  0.003142,  0.002987,  0.003279,  0.003148,  0.003173,  0.003225,  0.003128,  0.003178,  0.003162,  0.003127,  0.003198,  0.003031,  0.002993,  0.003144,  0.003121,  0.003001,  0.003124,  0.003046,  0.002882
6,  0.002874,  0.002881,  0.002981,  0.002910,  0.003014,  0.002972,  0.003415,  0.002974,  0.002915,  0.002851,  0.002912,  0.002973,  0.002953,  0.002964,  0.002980,  0.003068,  0.003000,  0.002995,  0.003048,  0.002942,  0.003058,  0.002970,  0.002985,  0.003007,  0.002918,  0.002900,  0.002920,  0.002925,  0.002946,  0.002938,  0.002834,  0.002969,  0.002872,  0.002997,  0.002925,  0.003018,  0.002983,  0.003058,  0.002923,  0.003126,  0.002796,  0.002931,  0.003034,  0.002912,  0.003013,  0.002995,  0.002907,  0.003042,  0.002938,  0.002938,  0.002979,  0.002987,  0.003030,  0.003030,  0.002887,  0.002981,  0.002849,  0.002989,  0.002929,  0.002844,  0.002896,  0.003018,  0.003010,  0.002898,  0.002820,  0.002982,  0.002962,  0.003125,  0.002994,  0.002795,  0.002997,  0.003053,  0.002892,  0.002966,  0.002966,  0.002982,  0.002944,  0.003017,  0.002888,  0.002976,  0.002809,  0.003017,  0.002886,  0.003153,  0.003054,  0.003042,  0.003135,  0.002959,  0.002986,  0.003021,  0.002959,  0.003046,  0.002960,  0.002851,  0.002960,  0.002934,  0.002879,  0.002997,  0.002996,  0.002786
7,  0.003049,  0.003095,  0.003164,  0.003032,  0.003181,  0.003144,  0.002974,  0.003803,  0.003118,  0.003039,  0.003152,  0.003127,  0.003211,  0.003106,  0.003106,  0.003314,  0.003129,  0.003172,  0.003118,  0.003146,  0.003206,  0.003122,  0.003192,  0.003223,  0.003036,  0.003102,  0.003119,  0.003085,  0.003096,  0.003123,  0.003024,  0.003127,  0.003045,  0.003123,  0.003098,  0.003165,  0.003154,  0.003288,  0.003042,  0.003284,  0.002962,  0.003119,  0.003197,  0.003052,  0.003253,  0.003216,  0.003082,  0.003240,  0.003166,  0.003119,  0.003140,  0.003185,  0.003156,  0.003143,  0.003146,  0.003140,  0.002990,  0.003164,  0.003157,  0.003104,  0.003076,  0.003149,  0.003199,  0.003030,  0.003057,  0.003133,  0.003101,  0.003288,  0.003180,  0.002946,  0.003138,  0.003283,  0.003117,  0.003114,  0.003065,  0.003251,  0.003059,  0.003208,  0.003066,  0.003227,  0.003000,  0.003161,  0.003013,  0.003335,  0.003233,  0.003233,  0.003280,  0.003124,  0.003134,  0.003216,  0.003133,  0.003227,  0.003087,  0.003040,  0.003176,  0.003135,  0.003032,  0.003094,  0.003086,  0.002936
8,  0.003101,  0.003058,  0.003150,  0.003052,  0.003178,  0.003038,  0.002915,  0.003118,  0.003709,  0.003089,  0.003125,  0.003134,  0.003124,  0.003055,  0.003125,  0.003253,  0.003084,  0.003133,  0.003148,  0.003114,  0.003225,  0.003208,  0.003103,  0.003162,  0.003042,  0.002984,  0.003101,  0.003061,  0.003100,  0.003072,  0.003070,  0.003112,  0.003101,  0.003099,  0.003136,  0.003093,  0.003109,  0.003229,  0.003037,  0.003254,  0.002997,  0.003049,  0.003224,  0.003047,  0.003131,  0.003177,  0.003110,  0.003137,  0.003132,  0.003114,  0.003159,  0.003194,  0.003218,  0.003140,  0.003062,  0.003113,  0.003015,  0.003141,  0.003146,  0.003122,  0.003086,  0.003177,  0.003215,  0.003042,  0.003031,  0.003198,  0.003101,  0.003258,  0.003137,  0.002965,  0.003158,  0.003228,  0.003086,  0.003119,  0.003156,  0.003149,  0.003072,  0.003122,  0.003029,  0.003178,  0.002989,  0.003213,  0.003063,  0.003300,  0.003220,  0.003188,  0.003246,  0.003147,  0.003103,  0.003151,  0.003119,  0.003236,  0.003023,  0.003038,  0.003134,  0.003122,  0.003051,  0.003149,  0.003094,  0.002953
9,  0.003006,  0.002948,  0.003046,  0.003012,  0.003132,  0.003021,  0.002851,  0.003039,  0.003089,  0.003657,  0.003006,  0.003106,  0.003054,  0.003027,  0.003060,  0.003214,  0.003002,  0.003084,  0.003079,  0.003012,  0.003165,  0.003197,  0.002976,  0.003088,  0.002956,  0.002870,  0.003025,  0.003015,  0.003000,  0.003033,  0.003000,  0.002972,  0.002975,  0.003069,  0.003038,  0.003067,  0.003023,  0.003164,  0.002979,  0.003165,  0.002928,  0.002993,  0.003128,  0.002950,  0.003116,  0.003093,  0.003009,  0.003085,  0.003068,  0.003028,  0.003071,  0.003068,  0.003144,  0.003056,  0.002993,  0.003034,  0.002912,  0.003024,  0.003006,  0.003118,  0.002986,  0.003143,  0.003134,  0.003044,  0.002975,  0.003115,  0.003066,  0.003258,  0.003051,  0.002931,  0.003107,  0.003130,  0.002939,  0.003054,  0.003076,  0.003073,  0.002991,  0.003014,  0.002962,  0.003119,  0.002966,  0.003072,  0.003009,  0.003237,  0.003087,  0.003094,  0.003106,  0.003043,  0.003089,  0.003089,  0.003015,  0.003143,  0.002934,  0.002893,  0.003116,  0.003068,  0.002998,  0.003094,  0.003034,  0.002859
