0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 152.1, 152.2, 152.2, 152.1, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2
 165.8, 167.3, 166.7, 166.9, 167.2, 166.3, 167.6, 167.0, 166.2, 165.9, 167.0, 166.6, 167.3, 165.7, 166.6, 166.2, 166.6, 166.9, 166.7, 167.1, 166.4, 166.4, 166.8, 167.2, 167.0, 166.4, 166.5, 167.2, 167.6, 166.0, 166.3, 167.1, 166.1, 166.6, 166.8, 167.2, 166.5, 166.6, 166.7, 166.9, 167.1, 166.8, 166.1, 167.2, 166.3, 166.7, 166.7, 166.0, 166.2, 166.6, 166.2, 167.2, 168.2, 166.6, 167.2, 166.7, 166.9, 166.6, 167.0, 165.7, 166.6, 165.7, 166.7, 166.1, 167.1, 166.7, 166.6, 167.6, 166.9, 166.4, 167.5, 166.4, 167.1, 166.7, 167.4, 167.0, 167.4, 167.1, 167.6, 166.5, 166.4, 166.2, 166.7, 167.2, 166.7, 167.0, 166.9, 167.3, 167.3, 167.1, 167.0, 167.9, 167.2, 166.9, 165.9, 167.1, 165.7, 166.5, 166.4, 166.8
 177.0, 179.2, 178.6, 178.8, 179.5, 178.1, 180.2, 178.4, 177.7, 177.3, 178.1, 178.8, 178.7, 177.4, 177.5, 177.4, 177.9, 178.3, 178.7, 179.6, 178.4, 177.9, 178.0, 178.8, 178.5, 178.8, 178.4, 178.7, 179.6, 177.7, 178.4, 177.9, 178.2, 178.5, 178.1, 178.9, 178.2, 177.8, 178.5, 178.2, 178.9, 179.4, 177.7, 178.8, 178.0, 178.8, 178.2, 177.1, 178.4, 177.7, 177.9, 179.4, 179.3, 178.5, 178.8, 178.2, 178.9, 178.9, 179.0, 177.4, 178.1, 177.2, 178.6, 178.0, 179.0, 178.5, 177.7, 179.6, 178.4, 177.9, 179.5, 177.9, 179.2, 178.3, 178.4, 178.1, 179.3, 178.5, 179.4, 178.0, 177.3, 177.8, 178.9, 179.1, 179.2, 178.1, 178.6, 179.2, 179.3, 179.9, 178.9, 179.7, 179.9, 178.9, 177.5, 179.5, 177.0, 178.1, 177.7, 178.2
 194.2, 194.3, 193.3, 195.0, 195.1, 193.6, 194.9, 194.8, 190.8, 194.1, 194.2, 194.0, 196.2, 190.6, 192.6, 195.0, 193.8, 192.5, 193.6, 196.3, 197.8, 192.5, 193.0, 193.8, 194.4, 193.9, 194.0, 195.3, 194.3, 193.3, 192.9, 191.5, 193.2, 196.1, 192.1, 195.2, 192.7, 192.9, 193.8, 193.4, 194.2, 194.0, 192.6, 193.1, 194.2, 194.6, 192.2, 191.6, 200.0, 193.7, 193.8, 193.7, 194.8, 194.3, 195.0, 194.5, 193.9, 194.0, 195.2, 191.5, 192.8, 192.7, 194.6, 194.2, 194.5, 193.7, 196.9, 195.3, 192.8, 192.9, 195.2, 192.9, 194.9, 194.2, 193.1, 192.9, 194.5, 194.0, 193.0, 193.8, 194.1, 193.8, 194.2, 194.0, 194.6, 193.3, 194.6, 196.4, 194.8, 196.1, 193.1, 195.1, 195.8, 193.4, 191.2, 199.1, 191.2, 193.5, 192.7, 194.4
 210.7, 208.5, 208.7, 209.8, 210.8, 209.1, 209.1, 209.2, 208.7, 210.0, 211.0, 210.1, 210.9, 207.1, 208.2, 211.4, 209.6, 208.2, 211.1, 212.0, 212.6, 210.0, 208.3, 210.9, 209.9, 208.0, 210.8, 212.0, 210.2, 209.4, 209.1, 207.8, 209.4, 211.4, 207.5, 210.4, 208.3, 208.4, 209.0, 208.5, 210.0, 209.2, 209.1, 209.0, 210.0, 210.8, 208.1, 208.8, 214.5, 210.7, 209.5, 208.4, 209.5, 210.7, 211.6, 210.1, 209.6, 208.4, 210.9, 209.1, 210.3, 208.9, 209.1, 210.5, 209.1, 209.8, 211.7, 211.1, 209.3, 208.8, 210.3, 210.3, 210.5, 209.6, 208.1, 209.1, 210.6, 207.8, 208.9, 208.9, 209.2, 208.7, 210.3, 208.9, 210.3, 208.6, 209.6, 211.2, 211.4, 211.5, 208.8, 209.9, 210.9, 208.8, 208.2, 242.5, 207.1, 209.5, 208.4, 211.4
 367.2, 389.7, 367.4, 366.2, 366.6, 389.3, 367.8, 366.5, 367.6, 366.1, 389.5, 365.5, 351.1, 366.0, 367.1, 367.0, 366.4, 364.6, 365.8, 391.2, 351.1, 367.3, 367.4, 365.5, 366.8, 390.2, 392.1, 366.7, 367.4, 351.6, 365.7, 367.7, 366.0, 369.2, 391.0, 350.1, 366.0, 351.2, 367.7, 365.0, 350.0, 366.7, 367.7, 390.2, 390.6, 369.2, 366.5, 365.6, 324.6, 368.3, 365.6, 366.4, 365.8, 366.5, 366.0, 350.0, 304.5, 390.6, 368.0, 350.0, 366.7, 365.9, 366.0, 365.9, 390.7, 366.6, 367.0, 388.0, 367.4, 365.9, 391.7, 365.4, 365.0, 350.8, 390.7, 366.0, 366.1, 368.0, 367.1, 350.5, 368.4, 366.4, 365.4, 367.0, 374.2, 351.5, 368.5, 367.3, 391.5, 365.9, 389.7, 367.5, 366.2, 350.8, 365.3, 261.5, 303.7, 366.5, 349.7, 366.3
 387.3, 401.9, 387.0, 386.5, 386.2, 401.7, 385.9, 386.6, 386.5, 387.2, 401.6, 381.1, 366.3, 385.5, 386.6, 386.4, 385.3, 388.1, 386.6, 403.1, 366.4, 385.6, 386.9, 386.4, 387.7, 402.3, 406.7, 386.1, 385.7, 366.4, 386.0, 386.0, 386.8, 386.3, 403.2, 365.8, 385.5, 365.8, 388.4, 389.2, 365.2, 386.4, 387.0, 402.9, 403.1, 386.7, 386.9, 388.2, 391.0, 388.2, 386.9, 385.3, 388.3, 386.1, 387.9, 365.6, 350.6, 402.8, 386.3, 365.4, 386.8, 387.9, 385.6, 387.9, 403.4, 389.5, 385.1, 401.2, 385.4, 387.6, 403.3, 386.1, 387.6, 366.4, 402.9, 386.5, 386.7, 387.0, 387.0, 366.0, 386.8, 387.3, 387.6, 385.7, 389.3, 366.5, 387.4, 385.7, 403.4, 388.2, 401.9, 388.0, 387.3, 366.1, 386.8, 391.7, 325.2, 386.4, 365.1, 386.4
 401.2, 415.0, 400.6, 400.6, 400.1, 414.3, 400.6, 400.4, 400.3, 400.5, 414.4, 394.2, 381.7, 400.4, 399.5, 400.6, 399.5, 401.1, 401.0, 416.6, 387.4, 400.4, 400.8, 400.5, 401.3, 415.0, 419.9, 399.4, 399.9, 386.4, 400.9, 399.7, 400.8, 400.4, 417.1, 386.0, 399.8, 387.3, 401.5, 402.2, 385.6, 400.7, 400.7, 415.2, 415.4, 400.8, 400.8, 401.4, 402.5, 402.0, 401.1, 400.1, 401.3, 400.5, 401.2, 385.9, 367.3, 416.1, 400.8, 387.7, 400.8, 401.1, 400.9, 401.0, 416.9, 402.4, 400.1, 415.1, 399.7, 401.2, 416.6, 400.7, 400.9, 386.8, 415.6, 400.8, 400.8, 401.1, 400.8, 386.9, 400.2, 401.2, 401.2, 400.3, 401.0, 386.9, 401.1, 399.5, 417.5, 402.0, 414.0, 401.1, 401.1, 387.3, 401.7, 407.2, 349.0, 399.7, 386.7, 400.6
 414.8, 439.5, 413.8, 415.3, 414.0, 437.7, 415.5, 413.5, 413.5, 415.0, 437.5, 409.3, 400.3, 414.5, 412.9, 413.5, 413.3, 416.5, 415.1, 432.3, 401.8, 414.1, 414.1, 414.7, 415.0, 431.0, 437.8, 412.8, 413.1, 400.8, 414.7, 414.1, 414.7, 414.5, 435.4, 401.2, 414.0, 402.0, 415.3, 417.3, 400.9, 415.6, 414.9, 437.9, 439.0, 414.3, 414.6, 415.7, 415.5, 415.1, 414.8, 414.1, 414.8, 414.1, 414.3, 401.3, 390.2, 433.8, 419.7, 402.1, 415.6, 415.0, 415.3, 415.1, 432.9, 416.4, 415.0, 432.7, 413.8, 415.3, 434.4, 414.6, 414.5, 401.5, 433.9, 414.3, 414.0, 414.4, 415.1, 401.4, 413.3, 415.7, 414.9, 414.0, 414.9, 401.8, 415.0, 413.0, 437.3, 416.1, 430.6, 413.9, 414.6, 401.9, 415.7, 420.0, 366.8, 413.7, 401.6, 413.8
