0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 152.1, 152.2, 152.2, 152.1, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2
 165.8, 167.3, 166.7, 166.9, 167.2, 166.3, 167.6, 167.0, 166.2, 165.9, 167.0, 166.6, 167.3, 165.7, 166.6, 166.2, 166.6, 166.9, 166.7, 167.1, 166.4, 166.4, 166.8, 167.2, 167.0, 166.3, 166.5, 167.2, 167.6, 166.0, 166.3, 167.1, 166.1, 166.6, 166.8, 167.2, 166.5, 166.6, 166.7, 166.9, 167.1, 166.8, 166.1, 167.2, 166.3, 166.7, 166.7, 166.0, 166.2, 166.6, 166.2, 167.2, 168.2, 166.6, 167.2, 166.7, 166.9, 166.6, 167.0, 165.7, 166.6, 165.7, 166.7, 166.1, 167.1, 166.7, 166.6, 167.6, 166.9, 166.4, 167.5, 166.3, 167.1, 166.7, 167.4, 167.0, 167.4, 167.1, 167.6, 166.5, 166.4, 166.2, 166.7, 167.2, 166.6, 167.0, 166.9, 167.3, 167.3, 167.1, 166.9, 167.9, 167.2, 166.9, 165.9, 167.1, 165.7, 166.5, 166.4, 166.8
 177.0, 179.2, 178.5, 178.8, 179.4, 178.1, 180.1, 178.3, 177.7, 177.3, 178.1, 178.8, 178.7, 177.4, 177.4, 177.4, 177.9, 178.3, 178.7, 179.6, 178.4, 177.9, 178.0, 178.8, 178.4, 178.8, 178.3, 178.7, 179.6, 177.6, 178.4, 177.9, 178.2, 178.5, 178.1, 178.9, 178.2, 177.8, 178.5, 178.2, 178.9, 179.4, 177.6, 178.8, 178.0, 178.7, 178.1, 177.1, 178.4, 177.7, 177.9, 179.4, 179.3, 178.5, 178.8, 178.2, 178.9, 178.9, 179.0, 177.4, 178.1, 177.2, 178.6, 178.0, 179.0, 178.4, 177.7, 179.6, 178.4, 177.9, 179.5, 177.9, 179.2, 178.3, 178.4, 178.1, 179.3, 178.5, 179.4, 178.0, 177.3, 177.8, 178.9, 179.0, 179.2, 178.1, 178.6, 179.1, 179.3, 179.8, 178.8, 179.7, 179.8, 178.9, 177.5, 179.4, 177.0, 178.1, 177.6, 178.2
 194.1, 194.2, 193.2, 195.0, 195.0, 193.5, 194.9, 194.7, 190.8, 194.0, 194.2, 193.9, 196.1, 190.6, 192.5, 195.0, 193.7, 192.4, 193.5, 196.2, 197.7, 192.4, 192.9, 193.7, 194.4, 193.8, 194.0, 195.3, 194.2, 193.3, 192.5, 191.4, 193.1, 196.1, 191.9, 195.2, 192.6, 192.8, 193.7, 193.3, 194.1, 193.9, 192.5, 193.0, 194.1, 194.6, 192.0, 191.5, 194.8, 193.6, 193.8, 193.6, 194.7, 194.1, 194.9, 194.4, 193.9, 193.9, 195.1, 191.3, 192.6, 192.6, 194.6, 194.1, 194.4, 193.5, 196.8, 195.3, 192.7, 192.7, 195.1, 192.7, 194.9, 194.1, 193.0, 192.8, 194.5, 193.8, 193.0, 193.7, 194.0, 193.7, 194.1, 193.9, 194.5, 193.2, 194.5, 196.3, 194.7, 196.0, 193.0, 195.0, 195.7, 193.3, 191.1, 199.0, 191.1, 193.4, 192.7, 194.5
 210.6, 208.4, 208.6, 209.6, 210.7, 209.0, 209.0, 209.1, 208.5, 210.0, 210.8, 210.0, 210.8, 207.0, 208.2, 211.3, 209.5, 208.0, 211.0, 211.9, 212.5, 209.9, 208.2, 210.8, 209.9, 207.9, 210.7, 211.8, 210.1, 209.2, 208.7, 207.7, 209.2, 211.3, 207.4, 210.3, 208.2, 208.3, 208.9, 208.4, 209.9, 209.1, 209.0, 208.9, 209.9, 210.6, 207.9, 208.7, 210.4, 210.5, 209.2, 208.3, 209.4, 210.5, 211.6, 209.9, 209.4, 208.2, 210.8, 208.8, 210.2, 208.8, 209.0, 210.5, 209.0, 209.6, 211.7, 211.0, 209.1, 208.6, 210.2, 210.1, 210.4, 209.4, 208.0, 209.0, 210.5, 207.7, 208.8, 208.8, 209.1, 208.6, 210.2, 208.8, 210.2, 208.5, 209.5, 211.1, 211.3, 211.4, 208.7, 209.8, 210.8, 208.7, 208.1, 242.5, 207.0, 209.2, 208.3, 211.3
 367.2, 389.7, 367.3, 366.2, 366.6, 389.3, 367.7, 366.5, 367.6, 366.1, 389.5, 365.5, 351.0, 366.0, 367.1, 367.0, 366.4, 364.6, 365.8, 391.2, 351.0, 367.3, 367.4, 365.5, 366.8, 390.2, 392.1, 366.7, 367.3, 351.3, 365.7, 367.7, 366.0, 369.1, 391.0, 350.1, 366.0, 351.1, 367.7, 365.0, 349.9, 366.7, 367.7, 390.2, 390.6, 369.2, 366.5, 365.6, 324.8, 368.1, 365.6, 366.4, 365.8, 366.5, 366.0, 350.0, 304.4, 390.6, 367.9, 350.0, 366.7, 365.9, 366.0, 365.9, 390.7, 366.6, 367.0, 388.0, 367.4, 365.9, 391.7, 365.4, 365.0, 350.8, 390.6, 366.0, 366.1, 367.9, 367.1, 350.4, 368.3, 366.3, 365.4, 367.0, 374.2, 351.4, 368.4, 367.3, 391.5, 365.9, 389.7, 367.5, 366.2, 350.8, 365.3, 261.2, 303.7, 366.5, 349.7, 366.3
 387.3, 401.9, 387.0, 386.6, 386.2, 401.6, 385.9, 386.6, 386.5, 387.2, 401.6, 381.0, 366.2, 385.5, 386.6, 386.4, 385.3, 388.1, 386.6, 403.1, 366.4, 385.5, 386.9, 386.4, 387.7, 402.2, 406.7, 386.1, 385.7, 366.3, 386.0, 386.0, 386.8, 386.3, 403.1, 365.8, 385.5, 365.7, 388.4, 389.2, 365.2, 386.4, 387.0, 402.9, 403.1, 386.6, 386.9, 388.2, 390.9, 388.2, 386.9, 385.3, 388.3, 386.1, 387.9, 365.5, 350.6, 402.8, 386.3, 365.4, 386.8, 387.9, 385.6, 387.9, 403.4, 389.5, 385.1, 401.2, 385.3, 387.6, 403.3, 386.1, 387.6, 366.4, 402.9, 386.5, 386.7, 387.0, 387.0, 366.0, 386.7, 387.3, 387.6, 385.7, 389.3, 366.5, 387.3, 385.7, 403.3, 388.3, 401.8, 388.0, 387.3, 366.1, 386.8, 391.7, 325.1, 386.4, 365.0, 386.4
 401.2, 414.9, 400.6, 400.6, 400.1, 414.2, 400.5, 400.4, 400.3, 400.5, 414.3, 394.1, 381.2, 400.3, 399.4, 400.6, 399.5, 401.1, 400.9, 416.5, 387.4, 400.3, 400.8, 400.5, 401.3, 415.0, 419.8, 399.3, 399.9, 386.4, 400.9, 399.6, 400.8, 400.4, 417.0, 385.9, 399.8, 387.3, 401.5, 402.2, 385.6, 400.7, 400.7, 415.2, 415.3, 400.8, 400.8, 401.4, 402.4, 402.0, 401.0, 400.1, 401.3, 400.5, 401.2, 385.9, 367.2, 416.1, 400.8, 387.6, 400.8, 401.1, 400.9, 400.9, 416.7, 402.4, 400.1, 415.1, 399.6, 401.2, 416.5, 400.7, 400.9, 386.8, 415.5, 400.8, 400.7, 401.1, 400.8, 386.9, 400.2, 401.1, 401.2, 400.2, 401.0, 386.9, 401.1, 399.5, 417.4, 402.0, 413.9, 401.1, 401.1, 387.3, 401.7, 406.9, 349.0, 399.7, 386.7, 400.6
 414.7, 439.5, 413.8, 415.3, 414.0, 437.7, 415.4, 413.5, 413.4, 414.9, 437.5, 409.1, 394.7, 414.5, 412.9, 413.4, 413.3, 416.4, 415.1, 432.2, 401.8, 414.1, 414.0, 414.6, 415.0, 430.9, 437.8, 412.8, 413.1, 400.8, 414.7, 414.1, 414.7, 414.4, 435.3, 401.1, 413.9, 402.0, 415.2, 417.3, 400.9, 415.5, 414.8, 437.9, 439.0, 414.2, 414.5, 415.6, 415.4, 415.0, 414.7, 414.0, 414.7, 414.0, 414.2, 401.3, 390.2, 433.7, 419.7, 402.0, 415.5, 414.9, 415.2, 414.9, 432.8, 416.3, 414.9, 432.5, 413.7, 415.1, 434.3, 414.5, 414.4, 401.5, 433.6, 414.3, 414.0, 414.3, 415.0, 401.3, 413.2, 415.6, 414.8, 413.9, 414.8, 401.8, 414.9, 412.9, 437.3, 416.1, 430.4, 413.9, 414.5, 401.9, 415.6, 419.6, 366.8, 413.6, 401.6, 413.7
