0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7
 154.8, 176.2, 155.9, 154.6, 154.4, 210.3, 207.9, 157.1, 155.0, 154.8, 154.5, 155.6, 154.7, 154.9, 175.0, 158.0, 155.5, 154.8, 213.5, 212.7, 156.4, 154.6, 175.7, 154.9, 178.3, 207.6, 155.8, 178.8, 155.1, 155.2, 212.4, 155.4, 241.0, 154.9, 170.3, 155.5, 155.8, 155.3, 155.0, 156.4, 155.7, 155.9, 155.5, 154.4, 154.4, 154.4, 156.2, 155.2, 154.5, 155.0, 240.7, 155.7, 155.0, 154.8, 155.1, 154.5, 213.5, 155.2, 212.0, 155.3, 154.9, 154.3, 156.9, 155.6, 154.6, 155.4, 154.8, 155.7, 155.2, 154.8, 212.8, 155.3, 155.4, 157.0, 154.6, 156.1, 155.6, 154.6, 154.9, 156.1, 154.3, 154.4, 154.5, 154.4, 155.7, 154.6, 156.6, 211.3, 155.2, 212.6, 212.4, 176.1, 154.4, 157.5, 155.0, 154.7, 155.0, 155.4, 177.4, 154.6
 175.3, 200.6, 172.9, 172.6, 176.0, 242.4, 223.8, 175.5, 175.5, 176.5, 170.8, 177.5, 174.8, 176.8, 211.9, 175.2, 171.7, 175.7, 241.1, 244.1, 176.3, 175.7, 199.9, 170.8, 200.9, 240.3, 176.0, 391.8, 175.5, 176.2, 241.6, 171.7, 258.3, 171.3, 212.1, 174.1, 175.4, 171.6, 176.5, 175.2, 175.5, 177.1, 171.9, 176.0, 171.8, 177.1, 175.4, 170.5, 170.5, 171.5, 259.0, 176.5, 174.2, 171.3, 174.9, 176.7, 242.6, 177.4, 242.7, 170.8, 170.3, 170.3, 175.8, 176.9, 175.0, 170.9, 171.3, 175.3, 171.0, 175.9, 401.1, 170.8, 175.5, 173.6, 171.1, 174.6, 172.3, 175.3, 173.9, 175.5, 170.0, 175.7, 175.9, 171.3, 175.4, 171.2, 176.1, 394.0, 172.4, 241.7, 242.3, 210.4, 176.2, 175.0, 170.8, 171.6, 175.6, 171.2, 211.9, 170.8
 392.8, 393.1, 391.8, 422.7, 392.7, 260.4, 444.8, 393.0, 392.4, 392.5, 392.3, 367.4, 392.2, 393.3, 400.8, 392.7, 391.6, 394.2, 422.7, 442.7, 393.0, 392.9, 421.2, 393.2, 422.2, 422.3, 403.1, 410.7, 213.9, 402.9, 423.2, 401.7, 443.3, 391.8, 244.6, 394.0, 401.4, 392.8, 393.2, 367.6, 390.8, 393.0, 402.2, 392.9, 402.5, 391.8, 422.1, 393.6, 400.5, 412.1, 422.1, 416.5, 392.4, 393.3, 392.4, 392.4, 442.3, 402.8, 441.1, 414.4, 403.6, 393.1, 391.4, 401.7, 392.5, 418.2, 402.2, 391.6, 393.0, 394.2, 420.9, 415.2, 367.1, 391.8, 392.5, 392.0, 402.7, 391.5, 392.1, 391.1, 401.5, 420.7, 421.8, 391.9, 400.6, 421.7, 392.4, 412.1, 400.8, 443.1, 443.6, 402.5, 393.2, 403.4, 392.5, 394.1, 304.2, 392.3, 414.9, 391.5
 412.4, 415.7, 412.1, 439.0, 412.5, 444.7, 460.6, 412.2, 411.2, 414.0, 409.7, 391.6, 410.9, 413.8, 417.2, 411.6, 412.7, 413.7, 440.5, 459.9, 409.7, 412.8, 440.0, 413.2, 439.0, 442.0, 420.6, 601.5, 402.5, 420.7, 440.8, 418.9, 459.9, 413.4, 442.2, 413.7, 420.6, 412.4, 412.4, 391.5, 412.8, 413.5, 421.2, 410.5, 419.1, 412.0, 440.4, 414.3, 416.5, 439.5, 440.9, 437.7, 412.5, 410.7, 412.6, 412.5, 458.0, 420.3, 458.1, 439.5, 421.4, 413.0, 410.2, 420.5, 412.4, 438.2, 418.9, 421.3, 412.6, 412.5, 445.1, 439.3, 390.6, 411.2, 410.1, 409.5, 420.8, 412.3, 413.2, 408.1, 421.3, 439.2, 440.4, 412.5, 420.0, 439.3, 413.3, 444.5, 420.9, 459.1, 459.5, 420.9, 412.1, 421.3, 412.6, 414.4, 423.9, 413.7, 440.1, 411.1
 443.6, 444.8, 559.2, 601.7, 445.1, 460.0, 662.9, 602.0, 444.4, 601.5, 600.5, 558.7, 559.7, 661.3, 444.3, 558.8, 601.2, 558.8, 463.2, 487.1, 599.3, 443.3, 661.0, 576.9, 601.1, 602.7, 445.1, 630.7, 421.5, 443.3, 701.6, 600.3, 662.4, 661.6, 458.4, 443.6, 442.4, 599.0, 446.4, 423.0, 661.2, 560.2, 442.8, 599.0, 445.8, 444.8, 661.7, 443.8, 602.5, 661.5, 602.0, 559.8, 444.3, 597.9, 446.0, 559.6, 601.9, 441.5, 602.1, 661.2, 442.1, 445.2, 445.8, 445.1, 444.7, 459.9, 602.3, 443.9, 576.6, 600.9, 662.4, 601.4, 559.3, 600.7, 662.1, 602.3, 601.7, 444.8, 631.1, 660.2, 445.1, 632.0, 577.9, 445.7, 444.6, 661.8, 445.6, 661.8, 443.5, 663.2, 600.2, 560.3, 578.8, 444.7, 660.9, 443.8, 440.2, 444.1, 602.6, 446.2
 602.3, 661.1, 699.7, 628.7, 663.0, 699.4, 680.3, 628.6, 662.0, 662.4, 619.3, 575.8, 577.1, 677.9, 602.4, 577.6, 617.5, 576.5, 669.9, 707.0, 681.2, 661.4, 678.6, 599.5, 629.0, 631.2, 661.5, 739.3, 445.8, 679.3, 717.5, 662.5, 677.9, 701.9, 660.8, 602.2, 635.3, 736.5, 662.3, 632.1, 678.4, 577.3, 703.6, 708.0, 701.8, 661.5, 679.0, 662.4, 624.4, 678.7, 737.8, 577.5, 669.7, 616.8, 662.1, 574.3, 661.9, 663.2, 703.0, 678.3, 662.2, 662.5, 661.2, 662.4, 661.6, 671.9, 624.7, 661.9, 596.8, 616.5, 680.6, 630.3, 575.8, 618.7, 678.6, 619.5, 661.8, 631.4, 660.2, 678.3, 697.5, 659.7, 597.0, 662.1, 662.3, 697.6, 601.7, 679.1, 662.9, 696.8, 707.1, 577.6, 598.5, 602.3, 678.5, 601.3, 601.2, 602.5, 662.8, 678.7
 632.4, 678.6, 716.7, 738.7, 738.4, 720.5, 871.5, 662.5, 697.0, 739.2, 756.0, 754.3, 739.8, 871.0, 631.8, 756.0, 756.4, 739.8, 707.4, 737.4, 703.7, 679.0, 858.0, 738.1, 757.7, 756.8, 679.4, 755.5, 662.6, 695.9, 885.1, 752.7, 854.9, 883.1, 678.4, 629.6, 661.9, 753.2, 678.7, 662.3, 884.2, 738.5, 736.8, 736.0, 736.3, 679.0, 858.0, 679.9, 854.7, 855.2, 751.9, 755.8, 685.5, 794.8, 708.1, 738.5, 756.8, 679.8, 736.7, 873.2, 680.4, 679.4, 677.8, 678.8, 678.8, 701.5, 854.1, 678.6, 738.6, 757.4, 886.2, 795.4, 754.9, 794.2, 906.7, 758.1, 680.0, 661.5, 871.3, 856.7, 715.4, 870.3, 795.0, 679.9, 679.6, 739.6, 739.1, 858.3, 679.2, 872.7, 737.7, 755.4, 739.2, 634.0, 882.4, 706.6, 662.8, 630.6, 680.5, 696.1
 757.4, 854.5, 738.9, 755.6, 755.0, 739.1, 886.6, 795.3, 857.4, 756.1, 792.9, 792.9, 754.8, 885.5, 795.5, 793.0, 794.1, 755.0, 738.6, 755.6, 882.8, 855.5, 873.1, 754.8, 884.8, 795.3, 855.1, 969.6, 678.7, 884.3, 903.6, 884.8, 873.8, 900.9, 856.0, 795.2, 855.2, 958.6, 873.2, 873.0, 903.2, 754.2, 754.9, 883.4, 756.5, 857.1, 873.3, 854.8, 870.8, 871.8, 961.7, 795.6, 872.6, 816.3, 738.0, 753.9, 872.9, 855.3, 756.6, 891.2, 795.6, 883.4, 873.5, 872.5, 883.7, 884.1, 871.8, 855.5, 754.4, 793.9, 903.3, 817.6, 853.7, 871.9, 923.1, 856.2, 855.4, 756.8, 885.7, 872.6, 738.1, 884.5, 816.4, 703.4, 703.6, 946.1, 754.3, 883.7, 872.2, 887.0, 756.6, 794.2, 755.1, 854.8, 902.8, 736.8, 680.6, 739.3, 888.6, 883.0
 777.6, 870.4, 958.6, 887.5, 904.5, 957.7,1125.4, 818.3, 873.2, 959.8, 959.5, 959.9, 958.7,1126.9, 874.4, 960.3, 971.3, 969.4, 944.4, 970.4, 902.9, 871.7,1102.7, 961.0, 902.7, 969.1, 872.0, 984.2, 871.8, 902.5,1128.3, 903.0, 986.5,1077.1, 872.8, 857.8, 872.3, 971.0, 890.9, 887.1,1147.7, 969.5, 960.5, 904.9, 960.8, 873.1,1076.5, 871.3, 891.6,1104.1, 978.8, 884.4, 886.8, 971.2, 885.4, 906.5, 890.7, 872.6, 970.3,1128.5, 884.6, 901.6, 904.6, 886.6, 902.6, 902.6, 893.4, 873.1, 957.6, 970.6,1105.9, 987.8, 873.5, 886.7,1147.0, 874.4, 872.1, 874.3,1127.5,1076.7, 958.8,1104.6, 984.2, 884.2, 884.1, 961.8, 885.2,1065.6, 887.7,1074.9, 970.0, 885.4, 960.3, 871.5,1126.7, 756.2, 873.4, 757.2, 904.6, 903.6
