0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2
 166.3, 167.7, 167.1, 167.3, 167.6, 166.6, 167.9, 167.4, 166.6, 166.3, 167.3, 167.0, 167.7, 166.1, 167.0, 166.7, 167.1, 167.2, 167.0, 167.4, 166.8, 166.7, 167.2, 167.5, 167.4, 166.7, 166.8, 167.6, 168.1, 166.3, 166.7, 167.4, 166.4, 166.9, 167.1, 167.5, 167.0, 167.0, 167.0, 167.2, 167.5, 167.2, 166.5, 167.5, 166.6, 167.0, 167.0, 166.4, 166.6, 167.1, 166.8, 167.5, 168.4, 166.9, 167.6, 167.1, 167.1, 166.9, 167.3, 166.2, 166.8, 166.0, 167.1, 166.4, 167.5, 167.1, 167.1, 167.9, 167.2, 166.8, 167.8, 166.8, 167.5, 167.0, 167.6, 167.3, 167.6, 167.5, 168.0, 167.0, 166.7, 166.6, 167.2, 167.5, 167.0, 167.3, 167.2, 167.6, 167.5, 167.4, 167.2, 168.2, 167.6, 167.2, 166.4, 167.4, 166.1, 167.0, 166.8, 167.1
 179.3, 185.1, 186.9, 180.8, 181.7, 181.1, 188.2, 181.2, 180.4, 179.4, 181.1, 187.7, 187.1, 179.5, 209.6, 180.8, 181.4, 180.6, 181.1, 187.2, 180.3, 180.9, 180.8, 181.8, 180.4, 181.1, 180.6, 180.9, 210.9, 180.2, 181.0, 179.8, 180.7, 180.4, 188.9, 181.6, 180.4, 179.7, 180.3, 180.1, 181.2, 191.2, 180.8, 181.1, 211.9, 181.0, 187.2, 179.7, 181.2, 179.9, 181.7, 181.6, 182.0, 180.8, 181.3, 180.9, 212.6, 181.0, 180.7, 180.3, 180.6, 179.9, 180.8, 180.2, 180.8, 181.1, 180.7, 189.9, 180.1, 179.9, 208.9, 180.5, 201.0, 180.9, 180.5, 181.7, 199.5, 180.6, 182.5, 180.2, 180.3, 180.8, 212.1, 208.8, 187.2, 179.9, 180.9, 187.0, 199.0, 186.2, 180.8, 182.2, 185.5, 185.2, 180.1, 208.2, 179.5, 179.8, 180.0, 180.9
 350.9, 209.0, 211.6, 304.7, 200.6, 212.3, 207.9, 304.1, 366.4, 365.4, 367.3, 212.3, 349.1, 349.5, 349.5, 200.2, 303.1, 304.2, 305.1, 214.0, 349.3, 304.0, 202.2, 365.0, 212.6, 303.7, 349.9, 365.9, 246.6, 303.9, 303.7, 325.2, 303.3, 304.8, 211.6, 348.2, 199.8, 349.5, 307.0, 364.4, 325.3, 212.6, 303.9, 213.9, 305.2, 303.5, 213.8, 365.0, 322.7, 318.8, 365.0, 349.8, 213.3, 305.0, 199.8, 305.3, 302.2, 304.0, 366.8, 302.7, 365.8, 304.1, 326.4, 304.2, 201.4, 350.3, 324.7, 213.2, 351.1, 365.2, 304.2, 364.4, 364.5, 302.6, 350.4, 327.0, 326.2, 208.3, 213.9, 303.8, 366.7, 325.0, 303.2, 246.0, 350.2, 349.7, 303.7, 212.9, 366.1, 304.0, 304.8, 303.2, 365.7, 303.4, 364.7, 242.5, 210.8, 365.8, 304.0, 303.7
 366.2, 389.8, 368.4, 322.1, 366.8, 389.7, 391.7, 323.0, 386.4, 387.2, 386.7, 365.6, 365.4, 365.2, 365.4, 367.5, 366.8, 323.9, 325.2, 391.3, 365.6, 323.5, 367.6, 386.5, 367.0, 323.5, 366.1, 386.1, 391.7, 322.6, 323.2, 349.8, 323.4, 325.0, 391.1, 364.9, 366.2, 365.1, 325.9, 389.4, 347.4, 367.0, 323.8, 390.4, 391.5, 323.7, 366.8, 388.2, 390.9, 350.0, 386.9, 365.2, 365.9, 366.7, 366.1, 349.5, 350.5, 322.7, 386.1, 323.8, 386.8, 366.1, 344.4, 324.4, 390.7, 365.4, 343.3, 388.2, 366.1, 388.5, 392.3, 386.1, 381.6, 350.1, 366.2, 344.9, 349.0, 389.0, 367.4, 323.4, 386.6, 350.4, 365.8, 368.6, 365.7, 365.5, 324.4, 367.7, 387.6, 324.1, 326.6, 324.5, 387.1, 320.3, 386.8, 367.3, 304.5, 386.3, 349.3, 323.0
 390.7, 402.4, 387.7, 439.3, 386.9, 402.2, 406.7, 414.7, 401.6, 401.7, 401.4, 388.5, 391.0, 391.0, 393.4, 387.3, 386.8, 402.5, 422.0, 413.2, 391.6, 403.0, 387.8, 401.9, 388.5, 403.1, 394.0, 400.8, 407.1, 441.0, 422.2, 368.1, 422.9, 393.8, 407.5, 391.8, 386.3, 391.4, 421.0, 420.0, 365.9, 387.0, 424.6, 407.2, 408.9, 393.1, 388.0, 402.5, 403.2, 413.3, 402.3, 391.9, 389.2, 390.2, 389.3, 366.9, 393.0, 421.6, 402.1, 416.4, 402.1, 390.9, 365.9, 402.4, 407.8, 392.8, 367.2, 401.8, 390.6, 403.0, 409.4, 402.2, 400.7, 367.9, 391.2, 365.8, 366.7, 402.5, 387.7, 392.4, 401.3, 367.6, 390.5, 388.0, 391.4, 391.8, 421.3, 386.9, 401.5, 442.0, 403.4, 402.6, 402.1, 423.1, 413.5, 389.7, 393.4, 400.8, 366.3, 392.7
 444.6, 418.1, 402.1, 458.6, 401.8, 420.5, 422.4, 441.6, 423.7, 422.8, 422.1, 404.8, 503.7, 502.8, 445.0, 402.5, 415.5, 421.3, 439.4, 436.1, 503.3, 421.2, 403.0, 422.1, 403.6, 421.0, 502.3, 422.4, 422.3, 456.7, 440.0, 486.3, 440.5, 442.8, 422.5, 444.8, 401.5, 503.9, 437.6, 444.4, 447.9, 402.6, 440.3, 422.2, 424.2, 413.6, 414.7, 422.6, 422.6, 441.0, 421.0, 503.5, 413.5, 413.8, 413.1, 445.6, 412.1, 438.5, 506.6, 439.3, 503.5, 422.4, 393.2, 421.4, 423.5, 421.9, 487.2, 420.3, 502.1, 420.9, 423.7, 422.2, 505.8, 391.8, 488.1, 486.7, 486.1, 421.6, 403.0, 422.8, 505.6, 444.7, 422.5, 404.2, 487.8, 503.1, 439.4, 401.7, 423.2, 457.0, 421.5, 421.4, 422.2, 441.7, 505.2, 416.0, 411.5, 422.4, 444.4, 412.7
 504.5, 444.1, 421.6, 486.4, 422.5, 443.5, 445.8, 488.3, 445.2, 559.8, 559.2, 506.1, 519.1, 519.7, 558.9, 422.8, 558.2, 441.4, 459.3, 488.0, 519.4, 440.0, 421.6, 559.8, 422.7, 443.3, 519.9, 559.0, 444.3, 487.7, 460.2, 501.8, 460.1, 459.7, 442.3, 506.1, 446.0, 520.0, 459.9, 579.0, 487.6, 503.1, 459.9, 442.5, 445.1, 442.7, 487.7, 445.1, 445.5, 460.8, 557.9, 518.4, 443.4, 445.3, 445.0, 504.9, 444.3, 458.1, 558.3, 459.2, 558.7, 443.8, 504.2, 443.2, 442.4, 446.5, 502.8, 444.8, 558.5, 561.4, 444.7, 445.2, 558.4, 504.3, 504.1, 502.1, 503.0, 443.4, 557.7, 442.8, 559.5, 487.2, 444.7, 422.0, 503.8, 519.0, 487.2, 445.2, 557.7, 505.6, 443.4, 440.2, 560.2, 459.4, 560.2, 443.2, 440.0, 445.0, 461.9, 443.9
 569.9, 579.5, 558.1, 600.0, 558.1, 558.8, 559.9, 505.0, 599.4, 577.6, 575.0, 557.5, 559.1, 660.6, 573.4, 557.7, 573.6, 557.9, 573.3, 577.6, 560.2, 559.4, 557.7, 574.8, 559.2, 560.3, 559.3, 573.1, 578.1, 602.7, 597.2, 598.6, 559.6, 560.9, 578.9, 559.5, 558.4, 599.6, 560.2, 597.9, 505.5, 558.6, 560.3, 577.5, 599.4, 558.9, 504.2, 600.8, 597.4, 577.5, 577.1, 558.7, 559.3, 559.3, 559.4, 522.3, 559.5, 559.0, 578.1, 599.3, 576.9, 559.2, 559.1, 460.6, 600.4, 563.6, 521.3, 558.7, 574.1, 577.2, 602.2, 560.6, 575.3, 576.9, 521.3, 601.2, 560.8, 560.7, 571.9, 560.1, 576.5, 558.5, 574.0, 558.4, 601.7, 560.0, 505.0, 560.2, 573.8, 560.0, 572.4, 558.9, 576.1, 577.8, 577.4, 577.4, 461.4, 600.2, 560.0, 559.5
