0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7,   0.7
  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9,  13.9
  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3,  29.3
 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1, 151.1
 161.7, 162.3, 161.9, 161.9, 161.7, 162.1, 161.9, 161.7, 161.9, 161.7, 162.2, 162.3, 162.1, 162.0, 161.8, 161.4, 161.9, 162.0, 162.1, 161.8, 162.2, 161.7, 161.9, 162.4, 162.0, 161.9, 162.2, 161.9, 161.2, 162.1, 161.8, 161.9, 162.0, 162.3, 162.0, 161.9, 162.0, 161.8, 161.6, 162.7, 161.8, 162.5, 162.4, 161.8, 162.5, 161.9, 162.0, 161.8, 162.0, 161.9, 161.5, 162.3, 162.0, 161.9, 162.2, 162.0, 162.5, 162.1, 161.9, 161.9, 161.8, 161.6, 161.9, 161.8, 162.6, 161.7, 161.8, 162.5, 162.7, 161.5, 162.2, 161.9, 161.8, 162.1, 161.5, 161.8, 162.3, 162.1, 161.3, 161.8, 162.1, 162.0, 161.9, 162.1, 161.6, 161.8, 161.7, 162.3, 162.2, 162.6, 162.2, 161.9, 162.3, 162.2, 161.9, 162.0, 161.4, 161.5, 162.2, 162.0
 172.7, 173.1, 172.8, 172.5, 172.6, 173.3, 172.5, 172.8, 172.9, 173.0, 173.0, 173.6, 173.0, 173.4, 172.9, 172.1, 172.7, 173.1, 173.9, 172.5, 173.4, 172.9, 172.6, 173.2, 173.4, 172.9, 173.4, 173.1, 172.1, 173.8, 172.6, 172.6, 173.1, 173.2, 177.1, 172.5, 172.9, 172.8, 172.6, 173.9, 172.6, 173.9, 173.2, 172.8, 173.4, 173.0, 172.9, 177.5, 178.9, 172.8, 172.2, 173.3, 172.9, 172.6, 173.2, 173.0, 173.6, 173.8, 172.8, 177.7, 178.0, 172.7, 172.9, 173.2, 173.7, 177.5, 172.6, 173.6, 174.1, 172.7, 172.9, 178.0, 172.9, 173.5, 172.2, 172.5, 173.0, 173.1, 171.9, 173.0, 178.5, 173.2, 172.6, 172.8, 172.3, 172.4, 172.7, 173.9, 172.9, 174.2, 173.6, 172.5, 174.0, 172.9, 173.3, 172.7, 172.1, 177.9, 173.3, 173.2
 186.5, 185.6, 185.7, 185.8, 185.1, 186.3, 186.0, 185.6, 185.7, 186.2, 186.1, 186.6, 185.9, 186.7, 186.8, 185.6, 186.7, 186.3, 186.5, 185.8, 185.8, 185.7, 185.5, 186.2, 186.6, 186.0, 186.2, 186.1, 185.9, 186.0, 185.5, 186.2, 185.8, 186.4, 189.6, 185.7, 186.1, 185.8, 185.3, 186.7, 185.7, 187.0, 186.2, 186.4, 186.6, 185.8, 185.8, 190.4, 191.2, 186.3, 185.5, 185.9, 186.2, 185.2, 186.3, 186.2, 187.0, 186.8, 185.5, 190.3, 190.6, 186.5, 185.8, 186.2, 186.4, 189.8, 185.5, 186.7, 187.8, 185.3, 186.3, 191.0, 186.4, 187.0, 185.6, 185.9, 186.3, 186.4, 184.8, 186.2, 192.6, 187.2, 186.0, 186.1, 185.5, 185.6, 186.6, 186.7, 186.0, 186.8, 186.4, 185.8, 186.9, 185.4, 186.8, 186.8, 185.2, 190.6, 186.8, 186.1
 201.1, 200.2, 201.9, 200.4, 199.5, 200.7, 200.6, 200.3, 200.9, 204.9, 204.3, 206.6, 201.1, 203.2, 203.0, 199.9, 205.1, 200.7, 202.0, 200.3, 201.5, 200.2, 200.1, 206.0, 201.5, 200.5, 200.9, 206.9, 201.5, 200.5, 200.1, 200.9, 201.0, 201.9, 205.0, 200.3, 199.9, 202.1, 201.0, 204.7, 200.5, 201.1, 201.2, 205.2, 202.4, 202.1, 200.2, 206.7, 206.7, 201.8, 200.3, 200.5, 200.8, 200.8, 200.0, 204.2, 203.7, 204.0, 200.0, 205.7, 206.7, 205.1, 202.1, 201.9, 200.5, 205.7, 201.6, 201.6, 204.7, 200.6, 204.2, 207.3, 201.4, 205.4, 201.2, 200.8, 200.5, 201.8, 200.5, 201.2, 207.2, 204.7, 201.9, 205.2, 200.7, 200.2, 201.0, 203.2, 200.3, 206.0, 202.0, 201.6, 200.7, 200.6, 202.4, 203.4, 200.3, 206.2, 203.1, 200.6
 242.7, 246.5, 272.2, 271.7, 215.4, 244.6, 223.0, 272.8, 245.2, 246.7, 271.2, 244.7, 223.8, 223.1, 271.8, 223.0, 272.9, 277.5, 242.8, 224.0, 260.6, 245.8, 216.5, 242.5, 222.3, 241.6, 223.3, 246.9, 244.6, 224.5, 270.2, 259.8, 260.0, 271.2, 243.5, 223.5, 271.4, 271.6, 223.6, 271.2, 270.1, 217.9, 272.3, 243.4, 272.7, 246.3, 245.6, 260.5, 243.2, 222.6, 244.1, 271.5, 247.0, 261.5, 216.6, 245.4, 260.2, 223.2, 215.7, 243.6, 243.6, 273.7, 245.4, 246.0, 246.6, 271.1, 246.1, 246.0, 223.3, 270.9, 270.6, 245.6, 222.5, 271.0, 275.1, 260.8, 260.9, 222.2, 273.3, 223.0, 245.9, 223.2, 271.7, 244.7, 270.4, 272.9, 271.6, 222.9, 274.5, 242.9, 224.1, 270.7, 223.1, 270.6, 271.8, 242.3, 259.8, 245.7, 269.4, 271.4
 273.6, 270.6, 287.9, 286.7, 302.6, 261.4, 245.5, 288.4, 272.0, 275.2, 286.7, 272.1, 245.8, 245.5, 287.0, 283.0, 289.1, 292.5, 261.1, 301.8, 277.5, 272.5, 301.4, 271.3, 302.6, 282.7, 247.2, 271.3, 272.6, 247.1, 288.2, 276.6, 276.3, 289.3, 275.3, 246.7, 287.7, 287.2, 303.3, 287.1, 284.7, 302.0, 287.3, 260.7, 288.0, 269.7, 271.8, 282.4, 281.5, 274.0, 271.0, 288.4, 269.3, 281.5, 275.3, 269.6, 276.6, 301.8, 302.0, 282.5, 271.0, 289.1, 273.1, 271.4, 270.3, 286.6, 272.6, 270.5, 301.9, 286.7, 286.9, 271.6, 302.5, 287.7, 289.3, 278.2, 276.8, 301.7, 288.1, 301.9, 272.3, 244.7, 287.3, 302.7, 286.9, 289.1, 287.7, 302.8, 289.9, 272.0, 302.2, 285.9, 246.2, 286.4, 287.0, 260.7, 282.4, 273.3, 287.1, 286.1
