0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 153.9, 154.6, 154.3, 153.7, 153.7, 157.4, 154.4, 154.3, 154.0, 154.0, 153.8, 154.4, 153.8, 153.9, 154.7, 155.3, 154.1, 153.9, 213.5, 154.8, 154.1, 153.8, 154.2, 153.8, 155.6, 154.7, 154.2, 154.9, 154.0, 154.0, 154.3, 154.3, 154.2, 153.9, 154.9, 154.2, 154.4, 154.2, 154.0, 154.4, 154.2, 154.0, 154.2, 153.7, 153.7, 153.8, 154.5, 154.2, 153.9, 154.1, 154.6, 154.1, 153.9, 153.9, 154.0, 153.8, 154.2, 153.9, 154.4, 154.1, 154.0, 153.7, 154.2, 154.2, 153.8, 154.2, 153.9, 154.2, 153.9, 153.9, 154.6, 154.1, 154.3, 154.7, 153.8, 154.4, 154.1, 153.8, 153.8, 154.0, 153.7, 153.7, 153.9, 153.7, 154.2, 153.9, 154.4, 154.9, 154.0, 154.2, 154.4, 155.0, 153.8, 154.3, 154.0, 153.9, 154.1, 154.1, 156.1, 153.9
 169.3, 171.0, 169.7, 170.1, 170.3, 175.0, 170.4, 171.1, 169.4, 169.2, 169.5, 169.6, 170.3, 168.9, 169.9, 170.2, 169.6, 169.9, 240.4, 170.1, 170.1, 170.3, 170.2, 169.4, 171.5, 171.2, 169.2, 170.8, 171.5, 170.4, 169.4, 169.7, 168.9, 169.2, 169.2, 170.2, 169.8, 169.8, 170.8, 169.3, 170.6, 169.8, 169.2, 170.2, 169.6, 169.5, 169.7, 169.0, 169.1, 169.7, 170.1, 170.0, 170.7, 169.4, 170.7, 169.8, 169.7, 169.7, 169.9, 169.2, 168.8, 168.4, 171.0, 169.8, 170.6, 169.4, 169.6, 170.5, 169.3, 170.0, 170.6, 169.2, 172.0, 169.6, 169.6, 170.0, 169.8, 170.1, 170.6, 170.4, 168.7, 170.4, 170.4, 169.7, 170.3, 169.7, 169.9, 175.5, 169.9, 169.5, 170.0, 170.6, 175.5, 169.7, 169.1, 169.8, 169.9, 169.6, 172.2, 169.0
 189.3, 185.7, 185.7, 186.8, 184.8, 191.2, 187.6, 186.1, 185.4, 210.2, 187.5, 186.0, 186.3, 187.3, 189.7, 187.2, 188.3, 187.4, 256.7, 186.9, 184.6, 185.6, 186.3, 186.5, 188.2, 186.8, 185.6, 187.1, 191.5, 184.3, 185.5, 187.7, 183.8, 187.9, 186.8, 186.9, 187.0, 186.1, 185.7, 186.5, 199.6, 186.9, 186.3, 188.3, 187.1, 185.6, 186.0, 189.5, 185.6, 188.1, 189.6, 185.4, 187.6, 184.2, 187.2, 186.8, 190.2, 185.5, 185.1, 185.1, 190.0, 199.5, 186.8, 186.1, 186.0, 184.4, 185.7, 187.3, 189.8, 184.9, 189.8, 185.3, 189.3, 188.4, 188.4, 190.7, 188.1, 188.3, 186.3, 199.8, 200.9, 189.8, 190.3, 187.9, 186.7, 195.7, 189.0, 208.9, 187.2, 186.1, 186.1, 189.2, 196.9, 185.0, 187.5, 208.0, 186.5, 189.2, 191.8, 185.9
 207.4, 200.7, 205.8, 205.3, 199.5, 207.9, 204.2, 201.5, 214.5, 245.1, 208.0, 209.5, 207.4, 206.0, 207.1, 201.6, 208.0, 203.1, 271.9, 211.8, 202.5, 200.6, 200.7, 210.9, 205.8, 205.2, 201.2, 208.7, 209.1, 199.8, 200.5, 206.1, 200.2, 207.2, 205.4, 207.9, 200.5, 207.1, 205.9, 206.2, 214.3, 201.8, 208.7, 207.9, 206.9, 206.2, 200.7, 208.2, 207.2, 206.2, 206.7, 200.6, 204.7, 200.8, 200.8, 206.4, 207.5, 205.1, 200.0, 304.4, 209.7, 213.4, 206.8, 210.9, 200.4, 200.0, 205.7, 209.4, 207.8, 201.1, 207.1, 199.9, 207.7, 207.1, 205.7, 208.0, 204.9, 204.7, 208.2, 213.5, 214.4, 206.7, 208.4, 207.1, 206.4, 210.5, 207.2, 224.0, 208.6, 208.4, 207.6, 207.7, 211.4, 208.0, 207.9, 241.2, 206.4, 206.9, 207.8, 201.4
 393.4, 392.3, 392.0, 440.1, 214.3, 402.1, 223.5, 393.4, 246.7, 392.9, 392.7, 367.5, 392.4, 394.1, 400.4, 223.5, 391.9, 402.1, 422.8, 402.3, 393.3, 393.3, 421.2, 421.8, 223.4, 243.5, 422.4, 401.1, 401.9, 441.6, 391.4, 401.9, 392.7, 392.1, 402.4, 402.8, 401.6, 393.4, 393.9, 367.6, 391.2, 393.3, 402.6, 393.2, 421.5, 392.0, 422.4, 402.7, 400.7, 223.8, 392.2, 421.3, 392.8, 393.9, 392.6, 392.7, 412.8, 403.2, 214.8, 324.3, 439.6, 403.1, 391.6, 401.9, 392.8, 419.7, 402.5, 391.8, 422.6, 420.5, 401.3, 416.0, 367.3, 392.0, 392.8, 392.2, 415.4, 222.6, 392.4, 391.4, 401.7, 421.2, 421.7, 392.2, 400.7, 422.1, 392.7, 245.0, 400.9, 442.5, 393.2, 402.1, 403.2, 423.0, 393.0, 259.6, 422.2, 392.6, 403.0, 391.7
 410.8, 414.0, 409.4, 457.9, 402.5, 419.9, 423.7, 411.4, 393.7, 412.5, 408.2, 390.5, 409.2, 412.7, 414.3, 414.0, 412.0, 418.9, 439.7, 420.8, 408.4, 412.1, 438.3, 438.2, 422.5, 402.9, 439.6, 415.3, 420.9, 456.7, 409.4, 416.7, 410.8, 410.4, 420.7, 420.4, 419.7, 411.1, 411.1, 390.9, 411.9, 409.0, 420.2, 409.3, 439.1, 410.2, 438.2, 419.2, 415.2, 413.6, 410.0, 437.5, 411.0, 409.6, 411.7, 411.9, 431.8, 419.5, 440.4, 348.3, 455.0, 419.3, 409.0, 419.6, 411.2, 436.9, 417.7, 410.4, 438.8, 436.8, 418.6, 437.8, 389.7, 409.1, 409.0, 408.3, 435.0, 393.8, 411.9, 407.0, 415.5, 438.1, 438.5, 411.6, 416.1, 438.5, 412.4, 402.2, 420.3, 457.0, 410.2, 416.0, 420.0, 440.3, 411.3, 421.4, 438.1, 408.8, 417.6, 409.5
 423.8, 439.9, 422.2, 484.1, 417.9, 437.3, 441.0, 423.6, 411.1, 437.3, 421.5, 407.0, 422.0, 441.5, 440.1, 439.1, 439.9, 436.2, 457.3, 435.9, 422.2, 437.6, 451.2, 451.3, 438.4, 419.8, 454.3, 434.8, 437.4, 470.7, 422.5, 433.7, 424.1, 425.0, 437.4, 436.9, 437.8, 423.8, 423.8, 419.4, 430.5, 422.8, 437.0, 422.5, 453.8, 422.5, 451.5, 438.0, 439.7, 437.7, 422.4, 451.3, 430.6, 422.6, 438.4, 440.6, 444.0, 435.8, 454.8, 366.5, 470.7, 439.1, 422.0, 434.7, 425.6, 450.9, 437.3, 423.1, 451.7, 450.3, 435.5, 453.4, 402.9, 422.5, 422.3, 421.9, 451.5, 411.8, 435.4, 421.3, 438.4, 451.3, 453.4, 423.6, 435.8, 455.3, 439.1, 420.7, 438.1, 471.1, 424.0, 433.1, 436.8, 453.8, 425.4, 439.7, 452.0, 422.0, 437.0, 422.3
 439.3, 458.1, 439.4, 501.6, 438.7, 452.9, 456.5, 440.8, 425.2, 451.7, 439.1, 421.9, 440.1, 458.5, 458.8, 453.5, 455.7, 450.2, 574.7, 450.6, 439.6, 452.0, 504.4, 472.1, 452.2, 440.8, 486.4, 449.1, 452.7, 486.1, 439.9, 449.2, 440.7, 440.9, 456.9, 452.2, 452.6, 440.8, 438.7, 440.8, 444.4, 438.9, 451.7, 439.7, 471.8, 438.8, 470.2, 452.3, 455.5, 451.1, 439.8, 505.1, 443.6, 438.9, 454.1, 457.5, 458.3, 457.0, 471.2, 444.6, 485.7, 458.0, 438.8, 449.9, 440.7, 464.1, 450.7, 439.9, 470.2, 486.7, 451.9, 485.5, 420.3, 439.5, 439.6, 438.3, 486.0, 440.4, 450.6, 440.3, 458.7, 471.1, 471.1, 440.8, 451.9, 471.4, 459.6, 437.9, 459.1, 487.0, 441.7, 452.0, 453.2, 470.8, 441.6, 456.0, 472.3, 441.0, 458.6, 439.5
 461.5, 601.0, 458.8, 631.3, 458.9, 630.8, 485.8, 602.0, 440.8, 471.8, 459.7, 441.2, 579.4, 662.2, 601.0, 472.2, 601.2, 559.6, 596.6, 487.9, 460.1, 661.1, 559.2, 503.7, 562.2, 459.1, 503.1, 601.8, 488.0, 503.8, 601.4, 600.3, 561.1, 459.6, 601.6, 601.0, 634.0, 460.0, 460.4, 460.3, 460.7, 456.0, 602.6, 459.6, 663.0, 661.0, 486.5, 602.1, 602.4, 469.6, 459.4, 559.1, 461.5, 459.8, 661.8, 560.1, 577.7, 487.2, 485.7, 462.7, 502.8, 487.4, 460.3, 601.9, 459.7, 486.2, 602.4, 459.7, 504.4, 505.0, 661.7, 503.2, 443.3, 462.2, 663.2, 602.4, 504.8, 455.9, 631.6, 459.9, 601.3, 487.3, 487.0, 462.3, 602.3, 662.1, 485.9, 458.4, 560.4, 504.6, 460.6, 601.9, 601.6, 601.9, 461.4, 486.4, 488.7, 459.7, 601.9, 599.5
