0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1, 152.1
 165.5, 167.0, 166.4, 166.6, 167.0, 166.0, 167.4, 166.7, 166.0, 165.7, 166.8, 166.5, 167.1, 165.5, 166.3, 165.9, 166.3, 166.7, 166.5, 166.9, 166.1, 166.2, 166.6, 167.1, 166.8, 166.1, 166.3, 167.0, 167.3, 165.8, 166.0, 166.9, 165.8, 166.4, 166.7, 167.0, 166.3, 166.3, 166.5, 166.8, 166.9, 166.5, 165.9, 167.0, 166.1, 166.5, 166.5, 165.7, 166.0, 166.3, 165.9, 166.9, 168.0, 166.3, 167.0, 166.4, 166.7, 166.4, 166.8, 165.4, 166.4, 165.4, 166.4, 165.8, 166.8, 166.5, 166.4, 167.5, 166.7, 166.2, 167.3, 166.0, 166.9, 166.5, 167.3, 166.9, 167.2, 166.8, 167.2, 166.3, 166.2, 165.9, 166.5, 166.9, 166.4, 166.8, 166.7, 167.1, 167.1, 167.0, 166.8, 167.8, 167.0, 166.7, 165.6, 166.9, 165.4, 166.3, 166.2, 166.7
 176.6, 178.2, 177.7, 178.1, 178.9, 177.4, 179.7, 177.7, 177.2, 177.0, 177.5, 178.2, 177.7, 177.0, 176.9, 176.8, 177.3, 177.7, 178.2, 179.1, 177.6, 177.4, 177.2, 178.2, 177.8, 178.1, 177.6, 178.1, 178.9, 177.1, 177.4, 177.4, 177.5, 178.0, 177.5, 178.2, 177.5, 177.3, 178.0, 177.7, 178.3, 178.9, 177.1, 178.3, 177.3, 178.2, 177.5, 176.6, 177.6, 177.1, 177.2, 178.9, 178.8, 177.8, 178.0, 177.6, 178.0, 178.4, 178.4, 176.8, 177.4, 176.8, 177.9, 177.5, 178.3, 177.6, 177.0, 179.2, 177.9, 177.4, 179.0, 177.1, 178.4, 177.8, 178.0, 177.5, 179.0, 177.9, 178.7, 177.3, 176.9, 177.2, 178.0, 178.3, 178.4, 177.7, 178.0, 178.7, 178.6, 179.2, 178.3, 179.4, 179.0, 178.2, 176.9, 179.0, 176.6, 177.5, 177.2, 177.6
 191.8, 190.8, 191.3, 194.6, 194.5, 192.4, 194.4, 191.3, 190.2, 193.8, 193.8, 193.0, 192.2, 190.0, 191.1, 195.0, 192.4, 190.4, 192.7, 195.4, 197.3, 191.1, 191.5, 192.9, 194.0, 193.4, 193.6, 194.9, 193.6, 190.9, 190.2, 190.3, 191.9, 195.8, 190.7, 194.8, 191.0, 191.4, 192.5, 191.6, 193.6, 193.4, 191.6, 191.9, 193.5, 194.2, 190.3, 190.6, 190.7, 192.0, 193.0, 193.1, 194.3, 191.4, 194.7, 191.2, 192.6, 193.1, 195.0, 190.4, 191.0, 191.6, 194.2, 194.3, 193.6, 191.0, 197.0, 194.7, 191.5, 191.0, 194.6, 191.3, 194.4, 193.8, 192.2, 191.9, 194.1, 191.0, 192.2, 193.0, 193.8, 191.9, 193.6, 193.2, 193.9, 192.8, 193.2, 195.9, 194.1, 195.1, 192.1, 194.5, 195.2, 192.4, 190.0, 199.0, 190.2, 191.8, 191.9, 190.2
 208.1, 206.7, 207.2, 208.8, 210.1, 208.3, 208.3, 207.5, 208.2, 209.7, 210.2, 209.4, 208.0, 206.5, 207.4, 210.9, 208.6, 205.9, 209.3, 211.5, 212.1, 208.8, 207.5, 210.0, 209.6, 207.5, 210.1, 210.9, 209.7, 207.5, 207.6, 207.1, 208.1, 211.0, 206.4, 209.7, 207.3, 207.6, 207.9, 207.3, 209.1, 208.6, 208.4, 208.2, 209.1, 209.6, 207.4, 208.2, 207.4, 208.4, 208.2, 207.9, 208.8, 208.1, 211.4, 207.5, 208.2, 207.5, 210.5, 207.9, 209.4, 208.1, 208.4, 210.4, 208.3, 207.9, 211.6, 210.4, 208.1, 207.8, 209.3, 208.7, 209.6, 208.8, 207.4, 208.3, 210.1, 205.8, 208.4, 208.2, 208.7, 207.3, 209.5, 208.2, 209.4, 208.0, 208.5, 210.6, 210.7, 210.5, 207.9, 209.4, 210.2, 208.0, 207.6, 242.3, 206.6, 207.7, 207.7, 208.3
 367.1, 389.5, 351.4, 366.1, 366.5, 388.9, 367.4, 366.4, 367.4, 366.0, 389.4, 365.4, 350.7, 366.0, 366.9, 366.8, 366.3, 364.4, 365.7, 391.1, 350.7, 367.1, 367.3, 365.5, 366.7, 368.2, 392.0, 366.6, 367.1, 350.9, 365.6, 367.5, 365.9, 368.6, 390.9, 349.9, 365.9, 350.9, 367.5, 364.9, 349.9, 366.6, 367.6, 389.9, 390.5, 368.7, 366.4, 365.5, 324.8, 367.4, 365.5, 366.3, 365.8, 366.4, 365.9, 349.9, 304.6, 390.1, 367.8, 349.9, 366.6, 365.9, 365.9, 365.8, 390.6, 366.4, 366.9, 369.4, 367.2, 365.8, 391.6, 365.3, 365.0, 350.7, 369.3, 365.9, 366.1, 367.4, 366.9, 350.4, 368.1, 366.2, 365.3, 366.9, 373.9, 351.2, 367.9, 367.2, 367.7, 365.8, 389.4, 367.2, 366.2, 350.7, 365.3, 260.9, 303.7, 366.4, 349.7, 366.2
 387.2, 401.7, 366.1, 381.1, 386.2, 401.3, 385.8, 386.5, 386.4, 387.1, 401.4, 380.7, 366.0, 385.4, 386.4, 386.3, 385.3, 387.9, 386.5, 402.7, 366.1, 385.4, 386.8, 386.3, 387.6, 385.5, 405.9, 386.0, 385.6, 366.0, 385.9, 385.9, 386.7, 386.1, 402.6, 365.6, 385.4, 365.6, 388.3, 389.1, 365.1, 386.3, 386.8, 402.4, 402.6, 386.4, 386.7, 388.0, 352.4, 388.1, 386.8, 385.3, 388.2, 386.0, 387.7, 365.4, 350.4, 402.3, 386.2, 365.3, 386.7, 387.9, 385.6, 387.6, 402.9, 389.1, 385.0, 385.7, 385.2, 387.5, 402.9, 386.0, 387.6, 366.2, 387.4, 386.4, 386.6, 386.9, 386.9, 365.8, 386.6, 387.2, 387.7, 385.6, 388.9, 366.3, 387.2, 385.6, 387.4, 380.8, 401.5, 387.9, 387.1, 366.0, 386.7, 391.6, 325.1, 386.2, 364.9, 386.3
 401.0, 414.5, 387.2, 393.6, 399.9, 413.7, 400.4, 400.1, 400.1, 400.3, 413.9, 393.3, 380.3, 400.2, 399.1, 400.4, 399.2, 400.9, 400.8, 415.8, 387.2, 400.2, 400.6, 400.3, 401.2, 399.8, 418.9, 399.0, 399.7, 386.4, 400.7, 399.4, 400.6, 400.2, 415.8, 385.8, 399.6, 387.1, 401.3, 402.0, 385.7, 400.6, 400.5, 414.3, 414.7, 400.6, 400.6, 401.2, 367.7, 401.8, 400.9, 399.9, 401.1, 400.3, 401.0, 385.7, 367.0, 415.2, 400.6, 387.5, 400.6, 400.9, 400.7, 400.7, 415.2, 402.0, 399.9, 399.7, 399.3, 401.0, 415.4, 400.5, 400.8, 386.7, 401.0, 400.6, 400.6, 400.9, 400.6, 386.8, 400.0, 401.0, 401.1, 400.1, 400.7, 386.8, 400.9, 399.3, 400.0, 393.2, 413.4, 400.9, 400.9, 387.2, 401.5, 404.9, 348.9, 399.5, 380.4, 400.4
 414.2, 439.3, 401.1, 408.8, 413.6, 437.5, 415.0, 413.1, 413.1, 414.3, 437.4, 408.3, 393.1, 414.1, 412.6, 413.1, 412.9, 415.5, 414.5, 431.5, 401.5, 413.7, 413.5, 414.1, 414.4, 413.6, 437.5, 412.5, 412.8, 400.7, 414.2, 413.7, 414.2, 413.9, 435.3, 401.0, 413.5, 401.7, 414.7, 416.8, 400.8, 414.7, 414.2, 437.9, 439.0, 413.8, 414.1, 415.1, 389.1, 414.4, 414.4, 413.6, 414.3, 413.4, 413.8, 401.1, 390.1, 433.0, 419.8, 401.7, 414.8, 414.4, 414.8, 414.2, 432.2, 415.8, 414.6, 415.2, 413.2, 414.2, 433.3, 414.2, 413.9, 401.3, 414.7, 413.8, 413.7, 414.0, 414.4, 401.2, 412.9, 415.0, 414.4, 413.5, 414.1, 401.6, 414.4, 412.6, 414.5, 409.4, 429.4, 413.5, 414.0, 401.7, 415.0, 417.1, 366.6, 413.4, 394.2, 413.2
