0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5,   0.5
  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6,  15.6
 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3, 151.3
 162.0, 162.6, 162.3, 162.3, 162.1, 162.5, 162.3, 162.0, 162.3, 162.0, 162.6, 162.6, 162.4, 162.2, 162.2, 161.6, 162.2, 162.6, 162.5, 162.2, 162.5, 162.0, 162.3, 162.9, 162.4, 162.3, 162.6, 162.4, 161.5, 162.5, 162.2, 162.3, 162.4, 162.6, 162.4, 162.2, 162.4, 162.2, 162.0, 163.2, 162.2, 162.9, 162.7, 162.2, 162.8, 162.2, 162.4, 162.1, 162.4, 162.1, 161.8, 162.6, 162.6, 162.1, 162.7, 162.4, 162.9, 162.5, 162.3, 162.1, 162.1, 161.8, 162.4, 162.2, 163.0, 162.0, 162.2, 163.0, 163.1, 161.9, 162.7, 162.2, 162.1, 162.5, 162.1, 162.2, 162.7, 162.4, 161.6, 162.3, 162.5, 162.3, 162.3, 162.3, 162.1, 162.2, 162.1, 162.6, 162.5, 163.1, 162.6, 162.3, 162.7, 162.6, 162.3, 162.4, 161.5, 161.8, 162.5, 162.5
 171.8, 172.5, 171.4, 171.8, 171.8, 172.6, 171.6, 171.9, 172.0, 171.7, 171.7, 172.8, 172.2, 172.4, 171.1, 170.7, 171.2, 172.7, 173.5, 171.6, 172.6, 172.1, 171.8, 172.5, 172.9, 172.3, 172.6, 172.7, 171.3, 173.3, 171.4, 171.4, 172.1, 172.1, 170.8, 171.7, 172.1, 171.2, 171.9, 173.3, 171.9, 173.2, 172.1, 172.1, 172.6, 172.0, 171.9, 170.9, 171.4, 171.2, 171.0, 172.3, 172.5, 171.3, 172.7, 172.1, 173.0, 173.3, 171.8, 170.9, 171.0, 170.9, 172.3, 172.4, 173.2, 170.8, 171.3, 173.2, 173.4, 172.0, 172.4, 171.0, 172.3, 171.5, 171.2, 171.7, 172.1, 172.2, 170.9, 172.6, 171.4, 172.4, 171.9, 171.6, 171.6, 171.4, 171.9, 173.4, 172.0, 173.8, 173.0, 171.4, 173.6, 171.9, 171.3, 171.6, 171.0, 170.7, 172.6, 172.6
 184.2, 183.8, 182.4, 184.3, 182.3, 184.5, 183.9, 183.7, 183.3, 182.2, 182.5, 184.4, 184.1, 184.7, 184.0, 181.2, 185.1, 184.4, 184.7, 183.8, 183.6, 183.2, 182.3, 184.3, 184.7, 184.4, 184.3, 184.4, 182.5, 183.9, 182.3, 180.8, 183.0, 184.1, 181.2, 183.6, 184.1, 180.6, 182.4, 184.7, 183.1, 184.9, 184.0, 184.5, 184.9, 183.8, 183.3, 180.6, 182.0, 180.7, 181.5, 183.6, 184.5, 181.4, 184.5, 184.3, 184.8, 184.6, 181.5, 181.0, 181.0, 182.0, 184.1, 183.9, 184.4, 180.8, 181.2, 184.9, 185.3, 182.5, 184.1, 180.8, 184.4, 183.4, 181.1, 183.2, 184.2, 184.5, 180.9, 184.5, 181.5, 185.1, 184.0, 182.6, 183.7, 181.2, 184.0, 185.0, 183.6, 185.3, 184.6, 181.3, 184.9, 183.4, 182.1, 184.8, 180.7, 180.0, 184.8, 184.5
 197.9, 197.6, 195.5, 197.5, 196.1, 197.7, 197.6, 197.4, 196.6, 196.2, 196.0, 198.3, 198.5, 198.5, 197.1, 195.5, 198.3, 198.2, 198.9, 197.9, 198.6, 196.2, 195.7, 197.6, 198.7, 197.7, 197.6, 198.8, 195.8, 196.8, 195.6, 193.8, 195.8, 198.6, 194.3, 197.2, 196.9, 193.9, 197.2, 199.3, 196.4, 197.8, 197.2, 198.0, 199.1, 197.3, 196.1, 193.5, 197.9, 194.6, 195.3, 196.2, 198.4, 195.1, 197.1, 199.1, 198.8, 198.9, 195.3, 194.2, 194.5, 195.4, 197.9, 198.5, 197.9, 194.3, 196.2, 198.6, 199.1, 196.4, 198.1, 194.0, 198.1, 196.9, 194.1, 195.9, 197.4, 198.6, 193.1, 198.3, 195.4, 198.1, 197.3, 195.8, 197.3, 194.3, 198.0, 199.6, 197.0, 199.7, 197.3, 195.1, 198.0, 196.1, 195.7, 199.4, 194.2, 193.3, 198.2, 197.4
 212.5, 210.9, 210.2, 212.6, 211.4, 211.3, 211.5, 211.4, 213.0, 211.1, 212.5, 212.4, 213.0, 212.9, 211.5, 212.1, 212.2, 212.9, 213.7, 212.7, 213.2, 212.2, 211.0, 212.8, 212.0, 211.7, 212.9, 273.3, 211.0, 212.5, 211.5, 208.8, 211.8, 212.9, 209.2, 211.7, 211.8, 209.1, 211.6, 213.8, 212.4, 212.3, 211.8, 212.0, 213.4, 213.3, 210.9, 210.2, 212.7, 211.3, 212.1, 210.3, 211.9, 211.7, 212.3, 213.6, 213.9, 213.4, 211.0, 212.2, 211.0, 210.8, 212.1, 212.4, 211.8, 210.6, 211.4, 213.1, 213.7, 211.2, 212.9, 211.2, 212.8, 211.8, 209.0, 210.9, 211.9, 212.2, 209.1, 212.5, 210.2, 212.6, 212.3, 210.7, 212.5, 209.5, 211.9, 213.6, 212.4, 214.5, 212.1, 210.0, 212.2, 211.1, 211.0, 243.4, 208.4, 209.8, 212.3, 212.6
 304.7, 302.6, 303.7, 303.8, 306.2, 305.4, 303.0, 303.4, 305.1, 305.2, 317.9, 306.5, 318.4, 304.2, 306.0, 302.9, 302.4, 303.5, 304.1, 303.0, 304.6, 303.2, 302.6, 341.2, 304.2, 302.9, 302.7, 288.6, 302.5, 303.4, 302.7, 303.4, 302.8, 303.5, 323.6, 303.4, 322.7, 304.4, 305.4, 305.7, 323.0, 303.5, 303.2, 303.3, 304.6, 302.7, 304.7, 306.6, 304.5, 316.3, 304.5, 318.1, 324.8, 303.2, 324.4, 304.3, 301.8, 303.4, 303.7, 302.1, 317.3, 303.3, 304.6, 303.3, 304.5, 348.0, 305.5, 304.4, 318.8, 304.5, 303.5, 323.1, 304.7, 302.0, 324.0, 303.4, 306.9, 303.7, 305.8, 303.2, 304.2, 304.6, 302.7, 317.7, 305.8, 305.0, 302.9, 326.9, 305.6, 303.1, 303.9, 302.4, 305.3, 303.0, 302.8, 303.0, 302.0, 322.6, 303.4, 303.2
 318.8, 319.2, 321.6, 318.4, 321.7, 320.7, 324.1, 318.7, 321.1, 318.6, 332.0, 322.7, 341.4, 318.5, 322.8, 319.6, 317.7, 321.9, 319.2, 319.8, 322.2, 318.3, 317.3, 355.0, 322.0, 322.2, 318.9, 303.1, 322.8, 319.0, 317.3, 319.2, 318.2, 319.9, 339.6, 317.9, 343.0, 319.9, 322.5, 322.5, 341.9, 318.3, 319.7, 317.5, 322.7, 321.4, 321.9, 321.0, 318.9, 331.1, 321.7, 343.6, 343.2, 317.5, 341.1, 322.2, 318.3, 320.7, 322.0, 318.9, 340.5, 317.6, 321.3, 318.0, 322.7, 360.3, 320.9, 319.4, 333.3, 321.9, 318.6, 340.8, 321.1, 318.4, 340.3, 318.8, 322.6, 319.1, 322.0, 319.3, 322.7, 321.7, 317.7, 339.0, 322.5, 321.4, 317.5, 342.8, 323.6, 322.6, 322.5, 318.8, 322.9, 318.0, 319.5, 317.5, 318.7, 338.1, 320.1, 321.3
