0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 152.1, 152.2, 152.2, 152.1, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.1, 152.1, 152.2, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.1, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.1, 152.2, 152.2, 152.1, 152.1, 152.1, 152.1, 152.1, 152.2, 152.1, 152.2, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2, 152.2, 152.1, 152.1, 152.1, 152.2, 152.2, 152.2, 152.2, 152.2
 165.8, 167.3, 166.7, 166.9, 167.3, 166.3, 167.6, 167.0, 166.3, 165.9, 167.0, 166.7, 167.3, 165.7, 166.6, 166.2, 166.6, 166.9, 166.7, 167.1, 166.4, 166.4, 166.8, 167.2, 167.0, 166.4, 166.5, 167.2, 167.6, 166.0, 166.3, 167.1, 166.1, 166.6, 166.8, 167.2, 166.6, 166.6, 166.7, 166.9, 167.1, 166.8, 166.1, 167.2, 166.3, 166.7, 166.7, 166.0, 166.2, 166.7, 166.3, 167.2, 168.2, 166.6, 167.2, 166.7, 166.9, 166.6, 167.0, 165.7, 166.6, 165.7, 166.7, 166.1, 167.1, 166.7, 166.6, 167.6, 166.9, 166.5, 167.5, 166.4, 167.1, 166.7, 167.4, 167.0, 167.4, 167.1, 167.6, 166.5, 166.4, 166.2, 166.8, 167.2, 166.7, 167.0, 166.9, 167.3, 167.3, 167.1, 167.0, 167.9, 167.3, 166.9, 165.9, 167.1, 165.7, 166.5, 166.5, 166.8
 177.1, 179.3, 178.7, 178.9, 179.5, 178.2, 180.3, 178.5, 177.8, 177.4, 178.2, 178.9, 178.9, 177.5, 177.6, 177.5, 178.0, 178.4, 178.8, 179.7, 178.5, 178.0, 178.1, 178.9, 178.5, 178.9, 178.5, 178.8, 179.7, 177.8, 178.6, 178.0, 178.3, 178.6, 178.3, 179.0, 178.3, 177.9, 178.6, 178.3, 179.0, 179.5, 177.8, 178.9, 178.2, 178.9, 178.3, 177.2, 178.5, 177.8, 178.1, 179.5, 179.4, 178.6, 178.9, 178.3, 179.1, 179.0, 179.1, 177.5, 178.2, 177.3, 178.7, 178.1, 179.1, 178.6, 177.8, 179.6, 178.5, 178.0, 179.6, 178.0, 179.3, 178.4, 178.5, 178.3, 179.4, 178.6, 179.5, 178.1, 177.4, 177.9, 179.0, 179.2, 179.3, 178.2, 178.7, 179.2, 179.4, 180.0, 179.0, 179.7, 180.0, 179.0, 177.6, 179.5, 177.1, 178.2, 177.7, 178.3
 194.9, 195.5, 194.2, 195.9, 196.3, 194.6, 195.7, 195.9, 191.5, 195.1, 195.0, 195.4, 198.8, 191.3, 193.4, 195.9, 194.8, 193.4, 194.5, 197.8, 199.7, 193.4, 194.2, 194.5, 195.1, 194.7, 194.6, 198.2, 195.0, 194.2, 194.9, 193.6, 193.9, 198.0, 193.6, 196.1, 193.7, 194.5, 200.4, 195.2, 194.9, 194.6, 193.5, 193.7, 195.3, 195.4, 193.7, 192.8, 200.8, 195.6, 195.1, 194.3, 195.8, 200.2, 195.5, 207.8, 194.8, 195.2, 196.3, 193.1, 194.7, 194.0, 195.4, 195.0, 196.0, 195.3, 199.3, 196.5, 193.6, 194.0, 196.4, 194.0, 195.7, 195.1, 193.9, 193.6, 195.2, 195.6, 193.5, 195.0, 195.3, 194.7, 194.8, 194.9, 195.4, 194.0, 197.9, 200.7, 195.6, 200.4, 193.7, 197.7, 196.6, 194.2, 195.3, 199.6, 194.4, 194.1, 193.6, 195.0
 212.7, 210.7, 211.2, 214.7, 212.5, 210.9, 211.8, 211.8, 366.6, 211.8, 367.7, 212.2, 349.5, 213.3, 211.6, 366.2, 212.0, 213.3, 213.5, 213.8, 349.6, 366.3, 212.3, 213.2, 211.4, 211.0, 214.0, 366.1, 211.6, 214.7, 212.6, 210.4, 305.0, 214.1, 211.3, 212.3, 212.5, 211.1, 366.6, 212.5, 214.5, 212.4, 212.0, 211.4, 212.8, 304.8, 211.6, 212.2, 322.9, 214.5, 365.1, 210.8, 211.6, 366.0, 213.1, 305.7, 213.5, 213.2, 212.6, 303.3, 212.3, 212.0, 212.0, 212.1, 212.1, 350.8, 366.4, 213.4, 212.8, 211.6, 306.2, 212.9, 213.1, 212.5, 212.5, 211.8, 212.3, 211.4, 210.7, 212.4, 211.7, 212.6, 212.9, 212.3, 350.6, 211.5, 213.0, 366.5, 213.6, 351.1, 212.5, 213.7, 212.7, 212.0, 212.6, 305.6, 209.8, 212.4, 211.9, 213.2
 390.4, 389.9, 389.3, 366.6, 367.1, 390.4, 391.8, 367.0, 386.2, 366.6, 386.5, 365.8, 365.3, 366.3, 368.3, 386.0, 367.0, 365.3, 366.1, 391.4, 365.5, 385.1, 368.2, 365.8, 367.4, 390.6, 392.4, 385.9, 389.9, 367.2, 366.3, 391.6, 323.2, 388.3, 391.2, 391.1, 366.4, 366.4, 388.1, 365.3, 351.2, 367.2, 368.5, 390.6, 390.9, 323.6, 367.0, 366.0, 343.4, 391.6, 386.6, 367.0, 366.2, 385.8, 366.4, 348.9, 391.2, 391.1, 389.4, 323.5, 367.7, 366.2, 366.6, 366.2, 390.9, 365.4, 384.8, 388.4, 390.1, 366.6, 391.9, 366.1, 365.3, 369.4, 390.9, 366.4, 366.7, 389.2, 368.1, 389.0, 391.5, 367.3, 365.9, 367.8, 365.6, 368.3, 390.7, 385.6, 391.7, 365.4, 390.2, 391.1, 366.6, 367.3, 365.7, 324.5, 367.4, 366.9, 350.5, 366.9
 403.1, 402.2, 401.7, 386.3, 386.5, 402.4, 405.3, 386.9, 400.1, 387.5, 400.1, 387.7, 379.7, 385.8, 387.3, 400.3, 385.6, 388.5, 386.9, 403.7, 387.5, 400.2, 387.3, 386.9, 388.0, 402.8, 407.2, 399.0, 402.0, 386.6, 386.3, 403.7, 349.9, 401.4, 404.1, 403.8, 385.8, 387.5, 401.3, 389.5, 366.1, 386.6, 387.5, 404.2, 404.0, 391.1, 387.2, 388.4, 365.7, 406.9, 400.8, 385.7, 388.7, 400.3, 388.4, 365.3, 405.4, 403.5, 402.4, 348.0, 387.0, 388.3, 385.9, 388.6, 405.3, 390.2, 399.9, 401.5, 402.6, 388.0, 404.0, 386.3, 387.8, 387.1, 403.3, 386.8, 387.0, 402.3, 387.3, 401.7, 403.5, 387.5, 387.6, 386.2, 388.0, 387.3, 403.2, 399.4, 404.6, 379.6, 402.4, 403.4, 387.7, 387.3, 387.1, 350.1, 388.0, 386.8, 365.7, 386.7
 416.1, 415.4, 414.0, 400.8, 400.4, 415.2, 420.1, 400.8, 413.7, 400.9, 415.0, 401.7, 393.2, 400.8, 400.1, 413.7, 400.1, 401.4, 401.3, 417.6, 402.0, 414.5, 401.2, 401.0, 401.6, 416.0, 420.5, 413.0, 414.3, 400.4, 401.3, 416.5, 367.2, 414.4, 419.4, 418.2, 400.2, 401.6, 415.5, 402.7, 386.1, 401.0, 401.1, 417.0, 416.5, 409.7, 401.2, 401.7, 391.3, 419.7, 415.0, 400.7, 401.6, 414.8, 401.6, 387.1, 419.6, 417.4, 417.9, 366.4, 401.1, 401.5, 401.2, 401.5, 420.5, 409.8, 415.4, 416.1, 415.8, 401.6, 418.6, 401.0, 401.2, 401.1, 416.3, 401.1, 401.1, 414.7, 401.1, 414.7, 415.9, 401.5, 401.4, 400.7, 401.1, 401.4, 416.1, 413.2, 419.5, 394.3, 414.7, 415.5, 401.4, 401.4, 402.0, 367.4, 401.8, 400.1, 387.2, 401.0
 436.6, 441.0, 442.0, 419.4, 415.2, 440.4, 441.8, 414.6, 444.2, 417.0, 445.3, 415.6, 504.5, 415.6, 414.1, 506.2, 414.4, 418.8, 416.7, 434.9, 423.6, 442.9, 416.6, 416.7, 417.0, 442.2, 439.6, 557.9, 439.4, 415.9, 416.5, 435.2, 444.7, 440.5, 438.3, 437.4, 421.1, 415.8, 445.7, 418.8, 401.7, 421.3, 421.6, 439.2, 440.4, 422.4, 416.1, 417.6, 445.6, 437.6, 444.3, 415.7, 415.9, 445.3, 415.7, 445.8, 437.2, 436.4, 436.4, 443.3, 417.7, 416.8, 417.0, 420.0, 437.3, 444.8, 558.6, 440.4, 439.1, 418.3, 438.9, 415.5, 417.0, 421.4, 438.7, 417.0, 415.3, 441.2, 417.1, 441.5, 440.0, 417.2, 416.8, 415.8, 422.9, 420.7, 439.8, 444.5, 439.0, 505.3, 442.7, 434.4, 417.4, 420.9, 417.4, 443.8, 416.8, 414.8, 402.3, 417.7
 506.1, 461.9, 460.6, 443.4, 445.3, 552.9, 558.1, 558.3, 558.6, 503.8, 559.4, 556.8, 519.4, 559.0, 445.4, 557.2, 558.2, 556.8, 558.8, 558.9, 558.1, 559.3, 447.0, 504.3, 443.7, 559.0, 558.3, 571.0, 559.2, 444.9, 445.2, 558.9, 461.5, 461.1, 460.6, 558.8, 442.2, 559.1, 558.7, 505.1, 422.7, 441.5, 442.8, 461.0, 558.9, 440.4, 505.6, 443.6, 461.2, 559.2, 558.2, 506.0, 444.2, 559.2, 446.0, 504.3, 559.2, 558.1, 558.4, 459.8, 504.3, 444.9, 444.7, 445.4, 558.9, 462.3, 572.1, 461.1, 558.9, 446.0, 558.7, 443.2, 446.9, 444.2, 558.5, 558.5, 557.8, 558.8, 557.9, 559.2, 559.5, 444.0, 446.0, 445.9, 560.5, 443.1, 558.9, 561.0, 557.4, 520.4, 559.2, 558.5, 559.3, 444.8, 559.4, 459.8, 442.5, 444.6, 422.4, 444.7
 569.4, 597.6, 559.3, 559.6, 558.3, 567.3, 573.4, 573.0, 575.4, 521.1, 573.6, 570.4, 535.7, 572.0, 559.8, 572.1, 572.7, 570.1, 571.8, 572.7, 571.8, 574.2, 557.9, 559.0, 559.5, 573.1, 573.1, 588.4, 574.6, 558.6, 560.1, 575.1, 484.6, 600.7, 580.0, 571.6, 558.7, 572.9, 576.7, 521.0, 559.3, 559.1, 558.9, 577.7, 572.7, 559.4, 558.0, 559.5, 487.3, 574.6, 575.7, 538.4, 559.8, 576.3, 559.7, 519.5, 572.7, 573.5, 573.9, 485.8, 558.3, 558.9, 560.2, 559.9, 572.7, 564.0, 587.9, 559.1, 573.1, 562.7, 575.3, 558.5, 558.8, 576.9, 571.9, 571.6, 571.3, 573.6, 571.6, 573.2, 573.7, 558.5, 572.5, 558.5, 574.3, 559.0, 574.1, 575.7, 572.1, 538.4, 572.8, 572.5, 573.0, 572.9, 575.2, 486.3, 597.0, 559.0, 559.1, 560.4
 596.9, 614.1, 578.0, 575.1, 572.1, 597.8, 595.4, 588.9, 596.3, 560.1, 595.5, 587.2, 557.8, 587.7, 574.1, 597.6, 586.9, 587.7, 587.7, 588.8, 589.3, 594.9, 571.5, 573.7, 574.9, 589.3, 589.2, 602.4, 594.6, 573.5, 576.3, 594.9, 504.3, 615.5, 596.9, 588.6, 572.6, 588.9, 593.8, 601.4, 573.2, 573.6, 573.5, 596.0, 589.4, 574.5, 572.6, 574.9, 598.4, 592.6, 596.7, 555.9, 573.8, 594.8, 574.1, 558.2, 595.3, 595.5, 590.1, 503.3, 573.4, 576.2, 575.1, 576.3, 589.5, 578.8, 602.0, 576.0, 595.2, 577.4, 591.0, 576.1, 573.7, 595.2, 596.7, 588.4, 586.6, 590.9, 589.3, 589.5, 591.1, 575.9, 589.6, 574.7, 595.5, 573.4, 596.1, 597.3, 589.4, 558.0, 592.9, 596.3, 587.2, 587.7, 589.8, 504.2, 614.2, 573.8, 573.9, 576.8
