0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8,   0.8
 241.3, 242.3, 242.4, 243.2, 242.5, 242.3, 241.9, 245.8, 242.4, 243.7, 242.8, 242.7, 241.7, 242.7, 242.5, 242.7, 244.2, 260.1, 241.4, 244.7, 242.0, 242.6, 246.0, 241.4, 243.0, 240.3, 241.5, 244.7, 242.2, 242.9, 242.1, 257.2, 241.6, 243.7, 241.9, 242.3, 245.0, 242.3, 242.0, 244.1, 242.3, 243.7, 243.0, 241.9, 259.5, 242.3, 242.7, 243.2, 241.7, 242.8, 241.2, 243.7, 243.2, 241.8, 243.9, 243.1, 243.0, 242.7, 242.7, 242.0, 241.9, 258.5, 242.8, 242.9, 241.8, 260.7, 244.0, 242.0, 243.3, 243.5, 259.5, 242.7, 248.3, 243.3, 246.1, 242.0, 242.4, 242.1, 243.0, 242.9, 243.0, 241.7, 246.0, 242.7, 242.8, 243.1, 243.0, 245.9, 259.5, 241.9, 242.6, 243.6, 242.5, 243.0, 245.6, 241.1, 242.3, 242.9, 243.9, 244.3
 501.9, 503.3, 487.9, 503.3, 502.7, 503.1, 502.9, 502.6, 503.0, 501.0, 486.6, 487.4, 502.5, 500.8, 502.4, 502.4, 501.1, 518.5, 503.0, 486.7, 502.0, 502.2, 502.1, 500.0, 501.6, 501.8, 501.2, 502.9, 486.7, 502.3, 487.6, 503.4, 486.2, 502.1, 500.9, 499.9, 502.5, 502.4, 501.1, 502.0, 488.1, 501.4, 501.0, 487.9, 520.3, 489.0, 486.7, 502.1, 501.9, 502.3, 487.1, 502.3, 501.5, 500.3, 504.0, 502.0, 501.9, 486.8, 487.0, 487.5, 487.6, 517.5, 502.4, 502.8, 502.5, 504.9, 502.8, 486.9, 500.9, 502.8, 537.6, 487.5, 503.4, 502.2, 502.3, 487.8, 486.9, 501.5, 502.6, 488.0, 502.3, 487.3, 487.7, 502.8, 487.8, 502.2, 487.2, 502.5, 504.7, 502.6, 501.9, 501.8, 502.4, 502.6, 502.5, 487.6, 488.3, 501.3, 502.5, 487.9
 792.8, 793.1, 777.6, 793.3, 793.8, 793.5, 792.5, 792.3, 792.8, 793.1, 756.3, 755.7, 793.2, 792.3, 793.2, 792.3, 792.4, 795.4, 792.3, 756.9, 792.1, 792.1, 792.7, 792.4, 793.4, 793.3, 791.8, 793.2, 770.0, 793.1, 777.6, 793.5, 777.5, 792.4, 792.5, 793.0, 793.6, 792.2, 793.4, 793.0, 776.7, 792.6, 792.6, 792.1, 815.9, 776.6, 756.1, 793.4, 794.0, 792.9, 756.5, 793.7, 793.4, 792.8, 791.6, 792.3, 793.4, 789.9, 791.1, 757.7, 756.8, 815.7, 793.1, 792.6, 793.0, 792.8, 792.8, 756.8, 792.5, 792.3, 851.2, 775.9, 793.4, 792.4, 794.0, 758.1, 790.8, 792.6, 792.3, 790.1, 792.3, 757.7, 792.1, 794.2, 791.5, 792.8, 756.4, 793.7, 793.2, 792.4, 792.5, 793.0, 792.4, 792.9, 793.2, 757.9, 790.7, 793.3, 792.5, 789.9
1105.3,1105.4,1094.8,1123.2,1105.5,1104.7,1121.6,1105.5,1122.8,1124.5,1076.0,1065.1,1106.5,1122.4,1124.4,1104.7,1106.5,1123.4,1110.7,1065.4,1106.5,1123.8,1103.5,1104.2,1124.7,1123.6,1122.9,1121.8,1103.0,1124.0,1099.4,1118.9,1095.3,1121.2,1119.8,1120.4,1122.9,1099.3,1106.7,1105.0,1103.2,1104.5,1124.2,1123.3,1145.6,1094.7,1065.0,1124.3,1105.6,1105.4,1063.8,1103.7,1125.0,1124.4,1106.2,1104.7,1106.5,1105.0,1123.6,1074.3,1066.6,1146.1,1107.1,1124.0,1124.3,1105.2,1105.8,1065.5,1120.8,1122.1,1176.8,1102.0,1123.3,1105.4,1123.9,1064.3,1124.4,1105.0,1124.6,1117.9,1106.1,1074.2,1124.0,1108.4,1122.5,1106.7,1064.0,1104.7,1105.3,1106.5,1105.2,1105.4,1104.6,1124.5,1123.5,1066.2,1107.1,1108.9,1121.6,1105.8
1458.7,1457.8,1423.2,1462.9,1458.5,1437.0,1463.3,1436.5,1464.6,1462.3,1419.5,1402.2,1460.9,1462.6,1463.0,1435.7,1457.6,1462.7,1437.3,1404.5,1439.3,1478.6,1435.4,1436.7,1479.1,1479.2,1477.1,1461.6,1437.2,1462.4,1459.8,1460.9,1434.6,1462.3,1461.1,1463.9,1476.8,1435.8,1437.6,1438.1,1458.6,1438.0,1465.6,1462.5,1483.6,1424.3,1403.9,1478.9,1457.8,1459.9,1402.9,1437.6,1477.9,1476.7,1458.7,1457.5,1458.5,1458.1,1463.6,1405.6,1402.7,1483.8,1436.5,1475.9,1478.9,1459.9,1437.3,1404.0,1477.1,1463.4,1514.2,1460.5,1478.1,1458.3,1479.3,1403.3,1463.2,1436.3,1464.1,1461.8,1438.5,1406.6,1462.7,1460.2,1462.8,1460.5,1402.8,1436.7,1437.7,1459.8,1458.7,1458.4,1438.5,1478.5,1478.4,1403.7,1458.7,1458.2,1478.2,1459.0
1830.7,1830.5,1780.1,1840.3,1838.9,1802.4,1830.8,1792.5,1830.9,1822.4,1786.0,1778.4,1831.0,1819.0,1819.3,1802.3,1830.1,1819.3,1788.7,1769.0,1789.1,1841.4,1790.7,1788.6,1843.3,1842.3,1842.2,1818.4,1788.5,1818.7,1839.9,1820.9,1789.0,1820.0,1819.1,1819.6,1841.8,1791.3,1802.3,1802.0,1819.2,1803.6,1830.1,1830.5,1842.9,1780.7,1778.2,1842.2,1822.8,1841.6,1768.2,1788.3,1841.8,1841.2,1830.7,1838.5,1838.7,1830.5,1830.2,1762.5,1762.7,1841.3,1788.9,1841.4,1842.2,1822.1,1790.1,1769.1,1842.7,1819.1,1873.0,1830.4,1841.8,1831.1,1855.8,1770.2,1839.8,1803.2,1823.4,1820.3,1789.2,1777.8,1822.3,1830.9,1832.0,1830.6,1769.0,1789.5,1802.2,1839.9,1838.2,1831.6,1789.6,1844.1,1843.0,1778.7,1822.4,1831.1,1842.3,1841.4
2212.1,2213.0,2150.4,2214.9,2213.2,2190.3,2207.6,2183.2,2195.5,2191.3,2169.9,2167.9,2194.2,2191.7,2191.9,2188.4,2193.5,2192.0,2183.9,2148.6,2151.7,2214.6,2183.6,2180.6,2213.6,2212.8,2214.4,2192.2,2179.8,2192.3,2213.1,2193.4,2179.7,2191.5,2191.8,2192.8,2213.6,2165.5,2189.9,2190.9,2191.9,2190.3,2193.7,2193.7,2214.9,2149.5,2148.9,2211.7,2189.7,2213.1,2148.2,2165.3,2214.9,2215.4,2212.6,2214.1,2214.4,2194.6,2212.1,2139.3,2135.1,2214.7,2165.8,2214.8,2214.6,2191.8,2166.9,2147.9,2215.4,2191.4,2253.7,2193.9,2215.7,2194.6,2217.8,2141.4,2215.3,2189.2,2192.5,2191.0,2183.5,2167.5,2192.9,2210.8,2212.1,2206.4,2141.7,2180.2,2184.9,2214.9,2213.5,2208.1,2167.7,2213.3,2207.7,2166.9,2192.3,2194.0,2214.9,2216.3
2589.1,2588.8,2537.9,2588.6,2588.1,2564.8,2587.8,2565.4,2561.3,2561.4,2544.6,2552.7,2560.8,2565.4,2574.5,2573.8,2560.3,2566.1,2563.7,2525.3,2522.0,2589.0,2565.0,2561.0,2587.4,2588.3,2588.5,2567.4,2564.9,2581.9,2587.9,2564.3,2562.5,2564.7,2564.7,2576.0,2597.0,2546.9,2564.4,2576.3,2574.9,2562.0,2562.1,2564.3,2588.3,2524.6,2523.3,2589.1,2561.1,2588.0,2540.1,2543.9,2587.1,2597.1,2590.3,2589.1,2590.5,2560.9,2591.1,2524.7,2506.3,2588.9,2546.8,2588.9,2588.3,2564.2,2544.3,2540.5,2589.2,2564.4,2649.9,2563.0,2588.2,2567.6,2597.2,2514.7,2587.8,2561.2,2564.1,2576.5,2560.6,2545.1,2574.5,2588.3,2588.2,2587.6,2517.0,2565.9,2562.5,2588.2,2588.0,2587.6,2545.4,2588.9,2588.2,2544.6,2566.8,2582.2,2589.3,2588.4
2974.2,2973.6,2927.4,2973.4,2973.2,2936.4,2974.1,2939.2,2938.9,2938.8,2908.3,2936.4,2942.4,2937.9,2962.8,2971.1,2938.4,2957.6,2942.5,2901.6,2900.3,2973.9,2939.2,2939.6,2972.5,2973.5,2973.6,2939.1,2938.4,2974.6,2972.4,2938.5,2936.6,2957.5,2936.8,2972.0,2977.7,2936.4,2938.1,2970.5,2962.2,2936.5,2938.6,2942.3,2972.6,2901.5,2900.9,2974.7,2940.1,2974.3,2908.4,2907.7,2974.3,2975.1,2974.5,2973.9,2973.4,2939.3,2974.5,2902.2,2899.5,2973.6,2934.9,2972.8,2971.9,2943.5,2934.9,2908.8,2974.1,2938.8,3022.4,2938.8,2974.0,2957.3,2976.6,2889.3,2973.5,2938.0,2939.4,2972.2,2936.4,2909.3,2973.1,2973.4,2973.4,2973.9,2900.1,2958.4,2937.4,2973.9,2972.4,2974.4,2934.3,2973.0,2974.0,2935.1,2962.5,2974.9,2974.5,2972.6
