0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  74.5,  73.5,  74.7,  73.5,  74.9,  74.0,  73.9,  74.0,  74.7,  74.1,  74.1,  74.8,  74.2,  75.0,  75.2,  75.1,  74.0,  73.7,  74.7,  74.2,  74.0,  74.1,  73.9,  73.5,  74.1,  73.6,  74.2,  74.0,  74.3,  74.0,  74.6,  73.0,  73.5,  74.2,  73.3,  74.3,  74.6,  75.1,  76.2,  74.1,  75.5,  74.7,  75.0,  75.3,  74.4,  74.0,  74.9,  73.7,  75.0,  75.0,  74.2,  74.8,  74.4,  75.2,  74.3,  74.3,  74.4,  74.9,  74.8,  74.8,  75.0,  73.9,  74.6,  73.5,  74.5,  72.9,  74.3,  74.9,  74.9,  74.5,  75.5,  74.4,  73.9,  75.4,  74.8,  73.6,  75.0,  74.1,  75.4,  74.3,  74.4,  73.5,  74.7,  75.1,  73.6,  74.5,  73.7,  73.8,  74.4,  74.8,  75.6,  73.7,  74.4,  74.8,  74.2,  74.7,  75.3,  73.6,  73.8,  73.4
  95.2,  94.3,  95.9,  92.8,  96.1,  93.4,  94.9,  93.9,  95.8,  94.8,  95.1,  95.5,  94.6,  95.8,  96.6,  95.9,  94.1,  94.7,  95.6,  94.7,  93.8,  95.6,  94.4,  93.8,  96.6,  93.4,  94.3,  94.3,  95.3,  95.2,  96.1,  92.7,  93.8,  94.5,  93.9,  94.0,  95.5,  96.6,  97.0,  94.5,  96.2,  95.1,  97.0,  97.1,  95.5,  94.8,  95.7,  93.5,  95.6,  95.6,  94.4,  96.1,  94.4,  96.2,  94.2,  95.3,  94.7,  96.2,  95.3,  96.1,  96.7,  94.7,  95.2,  94.5,  95.6,  93.4,  94.5,  96.2,  95.4,  96.7,  96.9,  95.6,  94.9,  97.0,  95.9,  92.9,  95.4,  94.8,  96.9,  96.0,  94.5,  93.7,  95.6,  95.9,  95.3,  94.4,  94.0,  94.0,  94.2,  96.2,  97.3,  93.9,  94.3,  95.9,  93.4,  95.7,  95.8,  93.8,  94.1,  92.8
 120.7, 118.5, 122.0, 116.3, 123.1, 120.1, 120.4, 118.5, 123.3, 120.9, 121.1, 122.5, 120.5, 121.6, 123.7, 124.1, 117.8, 121.4, 123.0, 120.8, 116.9, 120.8, 119.0, 118.4, 124.3, 119.1, 120.2, 119.4, 120.7, 122.4, 121.9, 116.6, 117.6, 120.2, 117.5, 120.2, 122.5, 122.0, 124.4, 118.5, 124.9, 121.3, 123.2, 124.4, 122.4, 120.3, 122.2, 118.2, 122.6, 121.9, 120.7, 121.5, 121.2, 123.5, 118.4, 120.4, 119.4, 120.9, 120.4, 122.3, 122.4, 119.0, 121.6, 119.3, 122.2, 119.1, 119.8, 122.6, 120.9, 125.5, 123.0, 121.4, 122.7, 124.3, 123.8, 114.2, 122.4, 118.8, 123.5, 121.7, 121.2, 119.4, 121.2, 126.4, 121.5, 120.5, 117.8, 120.6, 119.5, 122.4, 125.2, 117.7, 121.3, 122.8, 118.3, 122.9, 121.2, 117.6, 117.7, 113.5
 146.4, 145.7, 147.2, 144.5, 148.1, 146.8, 145.8, 147.4, 148.7, 147.4, 147.9, 148.3, 146.8, 147.0, 148.4, 148.1, 145.0, 147.0, 147.4, 148.0, 144.8, 148.0, 146.1, 145.8, 148.4, 145.7, 146.3, 146.0, 146.5, 146.9, 147.2, 144.1, 145.2, 145.5, 145.0, 146.8, 147.5, 147.4, 148.6, 145.6, 148.3, 147.0, 147.7, 148.5, 147.9, 146.8, 147.6, 146.3, 147.4, 148.3, 145.9, 147.1, 148.8, 148.5, 145.9, 147.3, 146.5, 146.8, 146.9, 147.3, 148.2, 145.6, 147.8, 146.5, 148.6, 145.5, 148.0, 147.6, 147.5, 149.0, 148.5, 148.1, 147.0, 148.0, 147.8, 142.8, 148.1, 146.1, 147.9, 147.3, 148.5, 146.7, 147.8, 149.5, 147.3, 147.7, 146.0, 147.0, 146.9, 147.3, 149.2, 146.2, 146.7, 147.6, 144.9, 148.7, 146.9, 145.9, 144.0, 143.2
 166.1, 166.7, 169.1, 164.5, 169.2, 168.4, 166.6, 167.6, 170.5, 169.4, 169.0, 169.0, 167.5, 168.8, 170.9, 169.8, 166.4, 169.0, 169.4, 170.0, 165.5, 168.1, 167.3, 167.1, 169.8, 166.3, 166.5, 166.8, 167.7, 167.6, 170.7, 164.7, 164.8, 166.0, 164.8, 168.6, 168.8, 168.8, 171.1, 165.8, 169.5, 168.0, 168.8, 170.1, 168.2, 167.7, 168.5, 167.4, 168.4, 169.5, 167.9, 168.1, 172.6, 170.9, 165.1, 167.9, 167.2, 168.9, 170.2, 168.2, 171.4, 166.7, 169.4, 168.3, 170.5, 166.5, 170.0, 169.1, 168.9, 170.9, 170.7, 169.0, 167.1, 169.9, 169.5, 163.0, 170.8, 167.1, 168.5, 168.5, 169.5, 167.5, 169.4, 173.2, 168.9, 167.3, 166.9, 169.1, 167.9, 167.0, 172.6, 166.9, 166.8, 168.6, 164.9, 170.0, 168.1, 166.7, 164.3, 162.6
 197.3, 197.1, 200.5, 197.0, 201.5, 200.9, 201.1, 198.7, 203.0, 200.7, 197.9, 199.5, 201.1, 200.0, 200.7, 201.9, 197.6, 200.8, 197.8, 200.0, 197.3, 198.2, 198.7, 200.7, 200.5, 197.8, 199.2, 197.2, 199.0, 200.8, 199.6, 196.4, 194.9, 197.2, 195.5, 198.6, 198.2, 199.0, 200.0, 195.8, 200.6, 198.3, 201.4, 203.7, 199.6, 199.2, 198.0, 197.7, 200.5, 199.2, 199.5, 200.8, 201.2, 201.1, 198.4, 198.7, 197.6, 200.6, 200.7, 199.2, 202.3, 198.8, 199.5, 199.5, 202.1, 197.4, 199.8, 199.4, 200.8, 201.0, 201.9, 201.3, 197.0, 198.2, 200.5, 195.1, 201.6, 198.8, 199.9, 199.1, 198.6, 198.1, 199.2, 204.1, 199.0, 197.9, 197.7, 201.0, 198.0, 200.0, 201.8, 197.3, 198.2, 198.7, 196.4, 198.4, 201.6, 196.8, 194.8, 195.8
 226.8, 227.4, 229.1, 227.9, 228.6, 228.9, 229.0, 227.8, 229.5, 228.5, 228.3, 228.1, 228.9, 228.2, 229.3, 228.9, 228.1, 228.7, 227.8, 228.9, 227.0, 227.5, 227.4, 229.3, 228.4, 227.5, 228.7, 227.3, 228.3, 227.6, 229.3, 227.8, 227.5, 227.1, 227.0, 227.9, 227.1, 227.7, 228.7, 228.2, 228.7, 226.7, 229.3, 229.9, 228.2, 228.6, 227.5, 227.3, 228.8, 228.1, 228.0, 228.7, 228.4, 230.4, 228.4, 228.1, 228.4, 228.2, 228.6, 228.1, 229.5, 228.0, 228.5, 227.9, 229.6, 228.0, 228.6, 229.6, 228.6, 229.5, 229.3, 229.4, 226.5, 227.1, 228.4, 227.3, 229.2, 228.3, 229.1, 228.5, 227.5, 228.0, 228.7, 230.4, 229.2, 228.4, 227.8, 228.6, 229.2, 229.2, 230.0, 226.8, 228.3, 227.7, 227.6, 227.7, 228.9, 227.1, 225.6, 226.0
 254.7, 252.8, 254.7, 255.0, 255.0, 255.1, 255.0, 253.5, 256.9, 254.6, 254.1, 254.3, 254.0, 254.3, 255.6, 255.5, 254.0, 254.7, 255.1, 255.9, 254.0, 253.9, 254.4, 255.8, 254.4, 253.9, 256.0, 253.6, 254.9, 254.7, 255.2, 254.5, 253.2, 253.9, 252.8, 253.7, 253.9, 254.6, 255.8, 254.0, 255.3, 252.6, 255.6, 255.7, 254.5, 255.1, 254.6, 254.3, 255.5, 255.4, 254.0, 253.8, 254.6, 255.6, 255.0, 254.9, 254.4, 254.3, 254.7, 255.1, 255.9, 253.8, 254.4, 254.1, 256.2, 253.7, 253.8, 255.8, 255.0, 255.4, 254.9, 255.6, 253.5, 253.5, 254.8, 252.9, 255.6, 253.9, 254.9, 254.4, 254.2, 253.8, 255.3, 255.9, 255.3, 255.5, 253.6, 254.3, 256.4, 254.9, 256.4, 254.0, 255.0, 254.6, 254.9, 253.6, 254.7, 252.7, 251.1, 251.3
 278.8, 277.2, 279.3, 277.6, 279.1, 277.6, 277.9, 277.2, 280.2, 279.5, 277.5, 279.7, 277.5, 277.8, 279.2, 277.9, 276.2, 278.8, 278.9, 279.3, 278.6, 278.8, 277.5, 279.5, 277.7, 277.7, 279.1, 277.1, 277.9, 278.5, 278.6, 278.2, 277.9, 277.4, 276.9, 278.8, 277.3, 278.6, 278.4, 277.7, 278.4, 276.5, 278.8, 280.1, 278.8, 278.3, 278.6, 278.5, 279.7, 280.1, 278.4, 277.0, 277.8, 279.1, 279.8, 278.9, 278.6, 278.3, 278.3, 278.6, 279.8, 277.4, 278.2, 278.2, 281.6, 277.4, 278.3, 280.0, 278.5, 279.3, 279.1, 277.8, 277.9, 277.8, 279.2, 275.8, 279.3, 277.4, 278.2, 277.7, 278.2, 277.7, 278.3, 279.6, 279.1, 278.8, 278.1, 278.6, 279.4, 279.0, 281.1, 277.0, 278.4, 278.4, 279.7, 277.6, 279.1, 276.5, 276.4, 276.3
 305.3, 300.9, 305.7, 302.4, 304.4, 302.7, 302.3, 302.0, 307.4, 305.3, 302.2, 305.8, 302.7, 303.1, 305.6, 303.3, 302.6, 304.6, 302.8, 305.7, 305.2, 302.9, 301.9, 305.1, 302.5, 304.6, 306.1, 300.9, 303.3, 304.5, 303.2, 301.6, 304.2, 302.6, 300.5, 304.4, 301.2, 302.2, 304.0, 300.6, 303.2, 300.3, 302.8, 307.5, 304.6, 303.8, 305.7, 303.9, 306.1, 304.7, 304.8, 300.0, 300.8, 304.5, 306.9, 304.6, 303.2, 302.4, 305.0, 304.8, 305.0, 299.6, 303.8, 302.8, 308.6, 303.7, 303.4, 307.5, 304.3, 307.3, 303.8, 301.6, 304.8, 302.7, 305.3, 301.8, 305.7, 301.0, 305.3, 305.6, 301.8, 302.3, 303.2, 306.9, 305.7, 302.9, 302.2, 302.6, 305.1, 304.0, 309.2, 301.3, 302.1, 301.9, 306.8, 304.3, 306.0, 300.9, 301.6, 299.8
