0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  87.8,  87.0,  88.1,  84.9,  88.2,  86.2,  84.9,  86.4,  89.2,  88.7,  86.5,  89.1,  85.8,  90.0,  89.9,  91.0,  85.4,  87.1,  90.5,  86.7,  85.6,  91.2,  86.6,  86.1,  90.4,  84.6,  85.8,  87.1,  88.7,  91.0,  86.6,  83.9,  85.2,  88.4,  86.6,  87.2,  87.0,  87.8,  92.3,  86.3,  91.1,  89.0,  93.1,  92.0,  88.9,  86.7,  91.3,  85.6,  87.8,  87.1,  86.3,  92.1,  86.5,  89.4,  87.3,  85.4,  86.9,  90.1,  87.8,  92.3,  89.8,  87.1,  87.1,  88.5,  90.7,  85.5,  86.2,  92.0,  86.3,  92.9,  90.6,  90.2,  88.3,  92.1,  89.3,  84.5,  88.5,  87.4,  92.7,  92.0,  86.9,  84.8,  88.3,  89.0,  87.8,  86.5,  86.9,  89.1,  86.2,  88.6,  93.1,  86.1,  86.4,  87.3,  85.7,  91.3,  90.6,  86.8,  85.8,  85.4
 137.4, 141.0, 139.6, 134.5, 141.7, 141.6, 138.0, 141.8, 144.4, 144.2, 140.9, 143.8, 137.5, 141.5, 142.6, 143.9, 133.9, 142.8, 142.9, 144.4, 124.3, 144.7, 140.3, 141.2, 144.6, 138.7, 140.7, 135.6, 140.2, 143.1, 138.8, 137.1, 136.6, 138.3, 140.9, 141.8, 142.2, 139.9, 143.1, 130.3, 143.5, 140.2, 142.4, 144.9, 144.2, 136.7, 144.4, 142.0, 143.1, 143.9, 139.0, 142.2, 144.8, 143.0, 138.4, 131.5, 133.0, 133.2, 134.3, 142.0, 141.1, 136.5, 142.1, 137.8, 145.1, 141.2, 142.6, 142.5, 141.6, 145.6, 143.5, 143.2, 142.9, 142.9, 144.0, 131.0, 143.5, 135.3, 144.1, 142.6, 145.1, 142.5, 140.8, 145.1, 141.6, 141.7, 136.8, 142.9, 142.5, 141.9, 144.8, 132.4, 142.4, 141.1, 137.1, 144.8, 139.5, 135.4, 128.9, 128.9
 163.8, 172.0, 168.4, 163.4, 170.8, 174.1, 165.6, 170.0, 177.9, 187.8, 170.8, 175.6, 164.5, 173.4, 176.2, 182.0, 162.6, 178.3, 177.6, 181.4, 159.4, 177.7, 168.3, 173.6, 178.0, 166.4, 167.1, 164.5, 168.0, 177.2, 168.4, 164.6, 163.6, 166.3, 167.3, 176.2, 174.1, 168.3, 176.0, 160.3, 175.8, 168.9, 175.3, 187.1, 174.7, 165.4, 177.6, 174.3, 174.7, 176.4, 168.3, 173.8, 187.3, 177.2, 164.4, 162.7, 164.2, 162.6, 164.8, 173.4, 174.7, 165.5, 174.9, 168.0, 187.2, 173.0, 176.9, 175.8, 172.4, 183.2, 180.2, 175.8, 172.9, 177.6, 178.8, 160.1, 180.1, 164.7, 178.8, 174.7, 179.0, 173.5, 171.6, 188.7, 173.6, 168.7, 165.4, 182.6, 175.5, 168.9, 185.9, 164.3, 171.7, 168.2, 163.9, 178.2, 167.7, 164.6, 159.4, 158.7
 217.1, 226.4, 227.1, 226.2, 226.8, 228.4, 227.3, 225.3, 229.0, 230.0, 226.3, 227.2, 226.5, 227.3, 228.5, 229.2, 217.8, 228.4, 227.6, 229.6, 212.2, 227.5, 225.7, 229.3, 228.0, 223.8, 227.7, 218.9, 226.2, 227.2, 226.6, 226.3, 223.6, 223.3, 224.7, 227.9, 226.1, 224.8, 227.8, 213.9, 228.1, 216.8, 229.2, 230.7, 227.8, 226.2, 227.8, 227.2, 228.6, 227.8, 225.4, 228.3, 229.8, 230.3, 225.9, 219.7, 218.0, 220.0, 222.0, 227.0, 227.6, 225.9, 227.5, 224.9, 231.1, 227.8, 228.2, 229.6, 227.6, 230.2, 229.1, 229.2, 224.3, 226.1, 228.3, 213.9, 229.1, 224.6, 229.5, 228.4, 227.6, 227.7, 227.6, 231.5, 228.7, 226.8, 221.4, 229.3, 229.4, 228.3, 230.8, 213.8, 227.9, 224.0, 224.4, 226.9, 226.7, 217.2, 209.6, 213.9
 255.6, 258.8, 260.7, 261.9, 262.8, 262.1, 261.3, 258.5, 268.1, 263.9, 259.2, 261.2, 258.1, 262.3, 263.9, 265.4, 253.7, 263.2, 269.1, 268.2, 252.2, 262.5, 260.8, 269.3, 261.4, 257.7, 266.2, 253.8, 261.4, 263.0, 259.8, 261.5, 256.9, 257.4, 257.4, 262.1, 260.6, 259.3, 263.8, 252.6, 262.5, 252.8, 268.8, 266.9, 262.6, 259.7, 263.1, 262.8, 266.4, 268.2, 259.0, 261.0, 264.2, 262.9, 260.5, 255.3, 253.7, 254.5, 255.9, 262.4, 262.7, 259.3, 259.8, 258.5, 270.1, 261.0, 260.9, 268.2, 261.9, 269.0, 263.1, 265.6, 258.8, 259.6, 264.5, 251.6, 265.9, 257.3, 263.3, 262.9, 263.2, 261.3, 262.6, 269.7, 263.8, 262.0, 255.8, 261.9, 269.5, 261.6, 270.0, 253.4, 262.9, 258.6, 259.0, 259.3, 260.0, 253.1, 248.4, 250.2
 286.6, 288.3, 291.6, 290.6, 292.5, 290.9, 289.9, 288.9, 302.6, 295.3, 289.9, 293.0, 289.3, 290.9, 294.1, 295.1, 284.1, 293.3, 295.2, 299.1, 285.2, 293.0, 290.4, 300.0, 290.6, 290.4, 296.5, 284.6, 289.6, 293.2, 289.7, 289.5, 289.3, 288.6, 288.3, 296.4, 290.4, 290.2, 291.5, 283.7, 291.8, 285.1, 295.1, 300.1, 293.4, 290.5, 292.8, 292.2, 298.7, 296.6, 289.0, 289.4, 292.0, 293.3, 293.6, 288.0, 285.6, 287.0, 289.1, 293.6, 290.7, 288.9, 291.2, 289.0, 308.1, 292.0, 290.9, 300.1, 292.4, 302.1, 293.2, 292.0, 292.0, 290.3, 295.1, 280.9, 294.9, 287.7, 292.4, 292.8, 292.3, 290.7, 292.6, 304.9, 294.9, 290.5, 288.0, 292.6, 299.6, 290.5, 308.6, 283.5, 290.5, 288.7, 292.6, 290.4, 293.1, 285.9, 281.5, 283.7
 325.7, 327.6, 330.1, 326.3, 329.3, 329.7, 325.5, 325.1, 336.0, 333.8, 326.0, 329.8, 328.1, 329.5, 332.1, 332.2, 321.8, 329.6, 333.6, 333.7, 322.1, 330.7, 330.0, 335.5, 329.3, 329.0, 334.5, 318.5, 329.6, 328.9, 328.8, 328.0, 327.8, 326.5, 325.3, 331.8, 325.9, 327.2, 330.4, 319.6, 328.9, 318.0, 331.0, 332.8, 330.3, 328.3, 329.3, 331.1, 333.6, 333.2, 325.0, 328.2, 330.3, 329.8, 329.8, 324.3, 322.1, 327.1, 327.3, 330.7, 329.1, 327.4, 328.4, 328.7, 345.7, 330.3, 327.6, 336.9, 328.7, 338.3, 332.0, 328.8, 329.1, 329.9, 331.3, 318.9, 331.3, 325.8, 332.8, 330.7, 328.6, 328.1, 330.7, 339.0, 330.4, 328.5, 327.4, 329.0, 332.5, 329.6, 345.8, 320.5, 329.6, 323.7, 329.6, 327.4, 331.5, 324.2, 319.8, 319.4
 371.5, 370.7, 373.0, 369.0, 375.4, 374.1, 367.8, 365.3, 389.9, 385.4, 378.1, 376.3, 370.7, 375.4, 376.2, 381.9, 356.5, 381.1, 391.1, 382.0, 360.0, 382.7, 373.6, 388.1, 376.7, 374.1, 387.1, 353.6, 371.2, 374.7, 373.1, 377.4, 370.7, 363.0, 371.4, 379.0, 356.5, 366.1, 378.1, 354.4, 368.4, 352.5, 387.0, 382.0, 383.2, 374.0, 371.3, 379.2, 382.9, 385.6, 375.8, 378.0, 376.2, 379.4, 376.4, 354.8, 358.6, 369.4, 372.7, 381.6, 374.3, 374.2, 378.8, 377.9, 399.7, 377.9, 373.3, 390.3, 368.6, 392.8, 382.4, 378.1, 376.4, 374.8, 384.2, 354.2, 382.5, 360.4, 376.2, 373.4, 381.6, 375.1, 374.5, 393.9, 372.8, 378.6, 368.0, 377.4, 382.2, 373.6, 397.4, 354.5, 375.9, 359.6, 376.7, 371.1, 380.7, 357.1, 354.0, 353.6
 412.4, 408.8, 413.2, 414.2, 415.1, 413.9, 409.4, 409.0, 421.3, 419.1, 415.0, 415.0, 414.1, 418.1, 416.3, 419.4, 406.6, 419.8, 423.7, 418.0, 405.3, 415.8, 414.0, 421.3, 416.4, 413.5, 418.7, 404.5, 413.8, 415.2, 413.7, 415.4, 413.1, 405.1, 413.1, 417.5, 404.7, 408.7, 416.4, 404.1, 411.3, 404.9, 418.9, 418.3, 419.6, 414.0, 415.2, 416.4, 419.2, 419.6, 416.8, 417.3, 418.0, 415.8, 417.1, 405.8, 402.6, 410.3, 416.0, 418.4, 412.9, 413.4, 417.1, 417.4, 427.3, 413.9, 414.2, 423.5, 413.7, 423.7, 417.5, 416.6, 415.4, 415.4, 419.3, 405.3, 417.4, 406.1, 415.9, 415.0, 417.4, 413.6, 415.0, 423.3, 412.3, 417.0, 412.4, 415.6, 417.6, 415.2, 425.3, 402.4, 416.6, 405.0, 416.1, 412.9, 417.6, 404.3, 406.1, 403.8
 447.3, 434.9, 447.5, 453.0, 451.3, 451.3, 436.7, 439.4, 463.9, 462.3, 454.4, 454.7, 449.9, 455.7, 452.4, 458.3, 433.3, 461.7, 466.9, 459.0, 430.3, 457.9, 449.2, 461.7, 455.3, 445.9, 460.0, 435.5, 448.7, 448.7, 447.1, 451.8, 448.7, 432.3, 443.6, 454.5, 431.8, 440.2, 457.7, 434.1, 444.2, 432.5, 454.8, 459.2, 456.3, 449.7, 454.3, 457.1, 459.6, 464.5, 454.5, 456.9, 461.1, 449.4, 458.1, 431.8, 430.6, 445.7, 456.7, 453.6, 452.5, 449.8, 458.7, 456.7, 468.5, 447.7, 450.5, 467.7, 449.9, 467.7, 456.8, 455.6, 451.2, 454.6, 464.8, 434.7, 458.0, 434.5, 454.2, 452.8, 457.6, 449.9, 453.7, 468.5, 447.3, 456.3, 445.4, 452.7, 456.5, 450.6, 465.0, 430.0, 453.5, 432.6, 457.7, 447.0, 459.6, 434.1, 435.1, 431.9
 496.0, 478.7, 494.5, 497.2, 497.8, 498.7, 479.6, 480.4, 500.5, 501.2, 499.1, 497.4, 497.4, 498.8, 497.8, 498.7, 480.9, 498.5, 502.4, 500.2, 478.5, 499.3, 496.0, 501.6, 497.7, 492.1, 499.1, 478.5, 494.7, 495.7, 491.9, 494.7, 490.1, 483.7, 488.8, 497.3, 476.9, 481.6, 499.3, 476.1, 486.0, 480.4, 498.4, 499.5, 498.3, 496.7, 494.8, 498.3, 501.3, 502.2, 498.8, 499.1, 501.8, 495.3, 499.0, 479.2, 476.3, 489.7, 497.1, 496.5, 497.4, 494.9, 499.7, 499.5, 503.1, 491.8, 493.6, 503.4, 495.4, 501.6, 499.3, 496.4, 495.4, 496.6, 502.9, 477.6, 497.1, 480.9, 499.5, 494.6, 499.0, 497.2, 500.2, 502.9, 487.8, 497.7, 489.0, 496.0, 498.5, 496.3, 502.0, 480.9, 498.4, 477.3, 499.3, 490.7, 501.3, 480.8, 479.3, 478.0
 527.2, 508.3, 523.0, 526.9, 527.1, 527.9, 507.5, 508.8, 528.5, 529.3, 527.1, 526.4, 526.5, 527.4, 526.3, 528.1, 507.1, 528.0, 530.8, 529.1, 506.3, 526.8, 524.4, 529.7, 527.3, 523.0, 527.8, 507.8, 524.2, 525.9, 523.6, 525.2, 512.6, 509.4, 513.4, 527.2, 506.9, 508.3, 528.4, 505.0, 511.1, 508.9, 527.0, 527.6, 527.3, 526.1, 525.3, 527.4, 528.6, 529.7, 527.5, 528.0, 529.2, 525.8, 527.4, 507.0, 506.9, 512.2, 527.4, 525.5, 526.7, 525.7, 528.0, 528.8, 530.6, 517.4, 524.9, 531.3, 525.9, 529.7, 528.5, 526.2, 525.0, 526.3, 530.4, 507.3, 526.4, 507.9, 527.7, 524.1, 527.0, 525.9, 529.0, 530.8, 511.0, 527.3, 510.5, 524.9, 527.6, 525.3, 529.7, 508.2, 526.3, 506.0, 527.6, 516.5, 530.2, 508.4, 506.7, 507.8
