0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  74.6,  73.6,  74.8,  73.6,  75.0,  74.1,  74.0,  74.1,  74.8,  74.3,  74.2,  74.9,  74.3,  75.1,  75.3,  75.2,  74.1,  73.8,  74.8,  74.3,  74.1,  74.2,  74.0,  73.7,  74.2,  73.7,  74.3,  74.2,  74.4,  74.1,  74.7,  73.1,  73.6,  74.3,  73.4,  74.4,  74.7,  75.2,  76.3,  74.2,  75.6,  74.8,  75.2,  75.4,  74.5,  74.1,  75.0,  73.8,  75.1,  75.1,  74.3,  75.0,  74.5,  75.3,  74.4,  74.4,  74.5,  75.0,  74.9,  74.9,  75.1,  74.1,  74.7,  73.6,  74.7,  73.0,  74.4,  75.1,  75.0,  74.6,  75.7,  74.5,  74.0,  75.5,  74.9,  73.7,  75.2,  74.2,  75.5,  74.5,  74.5,  73.6,  74.8,  75.2,  73.8,  74.6,  73.8,  73.9,  74.5,  74.9,  75.7,  73.8,  74.5,  74.9,  74.3,  74.8,  75.5,  73.7,  73.9,  73.6
  93.1,  91.9,  93.6,  90.9,  94.0,  91.6,  92.5,  91.9,  93.6,  92.7,  92.7,  93.3,  92.4,  93.9,  94.6,  93.9,  92.0,  92.4,  93.4,  92.5,  91.9,  93.3,  92.2,  91.6,  94.2,  91.4,  92.2,  92.3,  93.0,  93.0,  93.8,  90.6,  91.6,  92.6,  91.8,  92.1,  93.2,  94.4,  95.3,  92.4,  94.2,  93.0,  95.0,  94.9,  93.3,  92.6,  93.6,  91.5,  93.4,  93.2,  92.2,  94.1,  92.4,  93.9,  92.2,  92.9,  92.6,  94.2,  93.4,  94.1,  94.6,  92.2,  92.9,  92.3,  93.3,  91.1,  92.3,  94.2,  93.2,  94.6,  94.9,  93.3,  92.5,  94.9,  93.9,  90.7,  93.3,  92.5,  94.9,  94.0,  92.4,  91.4,  93.4,  93.8,  92.9,  92.3,  91.9,  92.0,  92.1,  93.5,  95.5,  91.8,  92.2,  93.6,  91.6,  93.8,  93.8,  91.7,  91.9,  90.8
 109.8, 108.0, 111.4, 106.8, 112.1, 108.1, 108.7, 107.7, 112.6, 109.3, 110.2, 111.1, 110.0, 111.0, 113.9, 113.9, 108.3, 109.7, 111.6, 109.6, 107.5, 109.7, 108.0, 107.6, 112.6, 108.0, 108.7, 108.9, 109.8, 110.4, 111.5, 106.4, 107.9, 109.6, 107.3, 109.1, 111.4, 112.4, 115.6, 109.4, 114.9, 110.3, 113.6, 115.4, 110.8, 109.5, 111.0, 107.5, 110.9, 110.5, 108.7, 111.0, 109.9, 112.6, 107.9, 109.4, 109.3, 111.1, 110.2, 112.4, 113.2, 109.2, 110.6, 108.1, 110.7, 107.4, 109.2, 112.8, 110.2, 115.0, 112.8, 110.3, 111.1, 115.4, 112.4, 106.1, 110.9, 108.9, 113.5, 111.5, 110.4, 107.9, 110.5, 113.7, 109.5, 109.2, 107.8, 109.7, 108.2, 110.7, 116.1, 107.6, 109.4, 111.2, 107.1, 111.5, 110.4, 107.6, 107.9, 105.7
 133.7, 134.2, 135.1, 131.4, 136.4, 133.8, 133.8, 134.2, 137.6, 136.1, 135.1, 136.2, 134.1, 136.4, 138.0, 138.1, 133.1, 135.8, 135.8, 136.9, 129.7, 136.0, 133.4, 133.6, 138.4, 133.5, 134.2, 131.7, 133.8, 135.2, 135.8, 131.4, 132.8, 134.0, 134.2, 134.1, 137.0, 137.0, 138.6, 131.9, 138.6, 134.0, 137.0, 140.5, 136.9, 133.1, 137.2, 134.7, 136.9, 136.3, 133.0, 135.6, 136.3, 136.2, 133.2, 132.5, 132.1, 133.9, 134.1, 135.9, 137.4, 132.3, 136.0, 131.9, 136.3, 133.4, 135.1, 136.4, 136.3, 140.0, 137.9, 135.1, 135.7, 138.6, 138.4, 130.2, 136.5, 132.2, 138.5, 135.2, 137.3, 135.0, 135.3, 139.3, 134.4, 134.5, 132.1, 134.6, 135.4, 135.3, 140.4, 131.0, 135.7, 135.6, 132.4, 137.2, 134.0, 131.2, 129.7, 129.8
 150.9, 151.2, 152.1, 150.0, 153.5, 151.2, 150.7, 152.4, 155.0, 153.0, 153.5, 153.7, 151.0, 153.3, 155.0, 155.0, 149.7, 152.8, 152.7, 153.9, 148.9, 154.1, 150.5, 151.3, 154.7, 150.9, 150.8, 150.0, 150.7, 152.0, 152.3, 149.1, 150.9, 151.2, 150.7, 152.1, 154.3, 154.2, 155.1, 149.6, 155.8, 151.5, 154.2, 157.4, 153.4, 151.1, 154.0, 151.9, 153.7, 153.6, 150.0, 152.8, 154.5, 153.9, 151.0, 150.7, 151.1, 151.2, 151.4, 152.8, 154.6, 150.4, 153.7, 150.5, 153.7, 150.4, 153.7, 153.6, 153.2, 157.0, 155.0, 153.2, 152.1, 155.6, 154.6, 148.3, 153.9, 150.5, 155.3, 152.1, 154.1, 152.7, 153.2, 156.9, 151.8, 152.8, 150.6, 152.8, 152.6, 152.4, 158.7, 150.5, 152.5, 152.3, 149.8, 154.6, 151.5, 150.1, 148.0, 148.9
 168.0, 169.7, 171.5, 167.3, 172.3, 170.1, 168.7, 170.2, 174.4, 172.3, 172.7, 172.2, 169.1, 172.7, 174.9, 175.3, 168.3, 172.1, 171.8, 173.6, 167.0, 172.1, 169.1, 170.0, 173.9, 168.9, 168.3, 168.0, 169.1, 170.5, 172.5, 166.9, 167.9, 169.3, 168.3, 171.3, 173.2, 172.9, 175.0, 167.5, 174.7, 169.3, 173.6, 177.9, 171.0, 169.4, 172.5, 171.0, 172.3, 172.4, 168.9, 171.4, 175.1, 173.4, 167.2, 168.4, 169.0, 170.9, 171.8, 172.4, 174.9, 168.7, 173.4, 169.3, 173.4, 169.2, 173.2, 172.8, 172.8, 176.9, 175.2, 172.0, 169.9, 175.8, 174.3, 166.0, 173.6, 168.6, 175.1, 170.4, 172.8, 170.8, 172.7, 177.6, 171.2, 170.2, 168.7, 172.9, 172.1, 169.5, 179.6, 168.2, 170.4, 170.9, 167.5, 173.8, 170.2, 168.1, 165.5, 166.3
 193.6, 194.4, 197.1, 193.1, 198.1, 196.6, 196.8, 195.6, 200.7, 197.7, 196.3, 197.2, 196.3, 197.8, 198.5, 200.6, 194.1, 198.0, 195.4, 197.7, 193.1, 196.5, 194.8, 197.1, 198.4, 194.9, 194.4, 193.4, 195.2, 196.9, 196.6, 192.5, 192.4, 194.8, 193.2, 195.9, 197.0, 197.6, 198.4, 192.1, 199.5, 194.3, 199.4, 203.7, 196.5, 195.5, 196.4, 195.9, 198.1, 196.5, 195.2, 197.3, 198.0, 197.8, 194.5, 194.1, 194.1, 196.9, 196.6, 197.4, 199.6, 195.4, 198.0, 195.2, 198.1, 194.4, 197.5, 197.3, 198.0, 200.9, 199.7, 197.8, 194.2, 198.0, 199.0, 192.6, 198.5, 194.9, 199.7, 195.8, 196.5, 195.9, 196.8, 202.1, 196.0, 194.9, 193.9, 198.4, 196.7, 195.8, 202.5, 193.5, 195.7, 195.8, 193.2, 197.1, 197.1, 193.0, 190.4, 193.7
 220.1, 222.4, 225.0, 222.2, 224.6, 224.2, 224.7, 221.8, 225.9, 224.9, 224.4, 224.2, 224.3, 224.2, 225.6, 225.7, 222.3, 224.6, 222.5, 225.3, 218.1, 223.5, 222.3, 225.0, 224.2, 222.3, 223.8, 220.9, 223.2, 223.0, 225.3, 221.5, 221.2, 222.0, 220.2, 223.5, 223.3, 224.2, 225.5, 221.3, 225.8, 217.3, 226.3, 227.9, 223.6, 224.1, 223.3, 223.6, 225.2, 223.7, 222.1, 225.0, 224.3, 226.4, 222.7, 222.7, 222.3, 223.5, 223.5, 224.4, 225.9, 223.6, 225.0, 222.0, 225.7, 223.0, 225.0, 225.6, 225.0, 227.0, 225.8, 225.7, 219.5, 223.8, 225.4, 221.5, 225.5, 222.8, 226.5, 224.6, 222.5, 223.7, 225.0, 227.5, 225.4, 223.4, 219.9, 225.2, 225.1, 224.1, 227.9, 218.3, 223.9, 222.6, 221.7, 223.3, 224.3, 219.3, 213.9, 220.9
 238.0, 242.8, 247.3, 242.4, 247.3, 247.2, 247.2, 241.4, 249.9, 247.6, 246.4, 246.6, 245.5, 246.8, 249.1, 249.2, 244.1, 247.5, 245.0, 249.0, 234.9, 245.5, 241.4, 247.7, 246.4, 243.1, 246.9, 238.3, 245.6, 244.7, 248.0, 240.6, 240.3, 243.5, 238.6, 245.0, 246.2, 247.6, 248.8, 240.7, 249.5, 234.1, 249.5, 251.5, 245.7, 247.3, 246.8, 246.8, 248.6, 247.1, 242.2, 246.7, 247.3, 249.1, 243.3, 243.8, 242.0, 245.3, 245.8, 247.3, 249.2, 244.7, 248.2, 242.8, 249.0, 244.2, 247.0, 248.9, 248.5, 249.9, 248.2, 249.1, 237.2, 246.5, 247.9, 240.6, 248.6, 242.9, 249.3, 246.3, 244.8, 245.3, 247.9, 249.8, 248.3, 245.9, 239.5, 247.6, 249.3, 245.9, 251.9, 235.1, 246.7, 245.6, 241.1, 245.7, 246.5, 237.3, 232.2, 238.8
 258.1, 259.8, 268.5, 260.7, 268.4, 265.9, 267.3, 259.2, 270.3, 267.3, 265.4, 267.3, 263.1, 267.5, 269.5, 269.2, 261.1, 268.1, 266.0, 269.5, 256.7, 264.6, 259.8, 269.2, 265.2, 261.0, 267.1, 257.1, 264.9, 263.3, 268.1, 259.0, 258.0, 260.7, 256.7, 263.9, 265.4, 268.2, 269.0, 258.2, 269.3, 255.1, 271.3, 272.7, 264.7, 266.2, 266.2, 266.5, 269.6, 268.6, 260.0, 265.5, 266.1, 269.1, 261.4, 261.6, 260.3, 263.1, 263.6, 267.4, 270.6, 263.3, 267.7, 260.2, 269.7, 261.9, 267.1, 270.1, 268.7, 271.4, 268.9, 269.4, 256.8, 265.0, 269.3, 257.5, 269.3, 260.3, 269.4, 265.5, 263.2, 263.4, 267.7, 271.1, 268.6, 264.6, 257.4, 266.6, 270.4, 264.4, 273.4, 256.3, 266.3, 264.5, 259.4, 263.3, 265.7, 256.3, 254.7, 256.5
