0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  80.7,  80.1,  80.5,  79.4,  80.9,  80.0,  79.5,  80.1,  81.0,  80.7,  80.1,  81.3,  79.9,  81.1,  80.9,  81.5,  79.8,  80.2,  81.4,  80.2,  79.7,  81.1,  80.1,  80.0,  80.2,  79.2,  80.1,  80.5,  80.8,  80.8,  80.2,  78.6,  79.3,  80.4,  79.7,  80.6,  80.5,  80.8,  82.1,  80.1,  81.6,  80.9,  81.5,  81.5,  80.8,  80.1,  81.6,  79.7,  81.0,  81.1,  80.2,  81.1,  80.6,  81.5,  80.6,  79.9,  80.4,  80.8,  80.7,  81.5,  80.9,  80.4,  80.4,  80.4,  81.2,  79.3,  80.3,  81.6,  80.5,  81.1,  81.4,  81.1,  80.4,  81.6,  80.9,  79.4,  81.0,  80.4,  82.0,  80.9,  80.4,  79.2,  80.7,  81.0,  79.8,  80.4,  79.9,  80.7,  80.3,  81.2,  81.7,  79.7,  80.3,  80.8,  80.0,  81.3,  81.6,  80.1,  80.0,  79.8
 116.9, 116.7, 120.2, 113.0, 121.0, 117.1, 117.1, 112.6, 124.3, 117.6, 120.6, 123.2, 119.5, 115.7, 121.8, 124.9, 113.1, 121.5, 123.0, 119.5, 110.3, 117.9, 113.1, 116.6, 123.2, 116.1, 117.8, 118.0, 119.6, 122.1, 119.7, 113.9, 114.8, 115.6, 112.0, 120.2, 122.0, 120.1, 121.9, 115.8, 125.1, 119.4, 121.0, 125.0, 121.7, 118.4, 120.4, 113.4, 121.9, 121.9, 119.2, 114.1, 121.4, 124.0, 111.5, 115.8, 115.9, 114.7, 113.3, 120.9, 120.0, 119.3, 120.9, 113.2, 121.9, 119.4, 118.2, 122.0, 118.4, 124.9, 119.3, 119.2, 124.8, 124.1, 122.6, 112.3, 121.0, 115.8, 121.9, 118.1, 121.6, 117.4, 118.1, 128.3, 116.6, 119.1, 112.1, 121.8, 113.9, 122.6, 123.7, 112.5, 121.9, 121.1, 111.4, 119.3, 113.8, 113.4, 115.4, 109.8
 154.7, 155.7, 156.7, 155.1, 158.0, 155.9, 154.6, 157.0, 161.3, 157.3, 160.2, 160.5, 156.2, 155.0, 159.5, 160.1, 153.4, 158.9, 159.5, 158.3, 153.4, 159.1, 154.1, 156.7, 158.3, 155.1, 155.2, 155.8, 156.0, 157.1, 157.1, 153.8, 155.2, 154.1, 152.8, 159.3, 159.1, 158.4, 158.0, 154.3, 160.9, 157.9, 158.1, 160.9, 158.5, 157.0, 157.7, 155.1, 158.1, 160.0, 155.3, 155.0, 162.0, 161.5, 155.0, 156.0, 156.8, 154.1, 154.7, 156.6, 159.3, 157.8, 159.2, 155.7, 159.8, 155.8, 160.8, 159.6, 157.4, 160.5, 158.5, 158.8, 157.9, 159.9, 157.3, 152.8, 159.7, 156.5, 158.2, 156.4, 160.0, 157.5, 158.3, 163.3, 155.4, 158.9, 155.6, 160.4, 155.6, 158.8, 162.0, 156.4, 157.4, 156.7, 152.5, 157.9, 154.5, 155.6, 153.0, 153.2
 205.1, 205.9, 210.6, 208.8, 212.2, 211.6, 211.9, 207.9, 215.8, 211.3, 209.6, 211.8, 212.8, 208.0, 210.6, 214.6, 205.0, 212.0, 207.5, 210.3, 205.0, 208.8, 207.4, 212.2, 209.3, 205.8, 210.4, 205.5, 209.5, 211.6, 208.8, 206.0, 203.4, 204.4, 201.0, 212.2, 209.4, 210.5, 208.7, 204.9, 214.4, 207.1, 214.1, 217.8, 210.7, 211.0, 207.3, 207.2, 212.4, 211.7, 209.0, 209.8, 213.2, 217.7, 206.7, 207.7, 207.1, 208.8, 207.6, 210.1, 211.6, 212.8, 210.1, 207.9, 215.1, 208.5, 212.8, 212.1, 212.1, 211.6, 212.1, 216.0, 207.6, 209.5, 210.3, 204.5, 213.2, 209.1, 212.0, 209.3, 209.1, 208.5, 211.5, 222.2, 207.6, 209.9, 206.2, 216.3, 205.9, 214.1, 212.3, 204.3, 209.6, 208.4, 202.2, 205.0, 209.4, 205.4, 201.3, 205.7
 250.3, 248.8, 252.0, 253.4, 252.9, 253.7, 253.0, 250.8, 257.3, 252.1, 251.9, 252.8, 251.2, 251.1, 254.2, 255.5, 250.0, 253.2, 253.1, 254.7, 248.6, 251.2, 249.1, 254.8, 252.2, 250.0, 254.6, 248.6, 252.7, 253.1, 252.2, 250.6, 248.7, 250.0, 247.6, 252.7, 253.0, 253.4, 252.7, 250.0, 254.9, 249.6, 254.7, 256.0, 252.7, 254.1, 252.5, 250.9, 254.4, 254.8, 251.0, 249.3, 253.6, 255.9, 251.5, 251.6, 250.6, 250.7, 251.1, 253.0, 254.2, 251.6, 253.0, 251.1, 255.5, 251.0, 251.8, 255.2, 253.8, 254.1, 252.9, 255.5, 251.6, 251.9, 251.2, 249.3, 253.9, 251.0, 253.7, 250.1, 253.0, 250.8, 253.6, 257.9, 251.5, 254.5, 251.0, 253.9, 254.0, 254.3, 255.3, 249.5, 253.7, 252.6, 247.7, 249.5, 251.2, 249.1, 240.8, 248.3
 285.5, 283.6, 288.6, 287.2, 288.9, 287.4, 286.7, 285.4, 294.2, 288.6, 286.6, 289.8, 286.3, 285.7, 289.6, 290.0, 283.4, 288.9, 286.8, 289.2, 285.2, 287.9, 284.2, 289.6, 286.5, 286.2, 289.5, 283.2, 286.7, 288.4, 286.8, 285.2, 284.9, 284.6, 282.3, 291.0, 287.7, 288.9, 286.3, 284.4, 289.2, 285.1, 288.0, 293.1, 289.2, 289.1, 287.4, 286.3, 291.0, 289.8, 286.2, 283.6, 287.2, 291.4, 289.0, 287.7, 286.1, 286.6, 287.4, 288.7, 288.4, 286.7, 288.5, 286.3, 295.7, 286.3, 287.4, 290.4, 289.0, 289.2, 288.7, 287.9, 288.0, 287.1, 287.5, 282.0, 288.8, 285.8, 287.8, 285.2, 288.3, 285.6, 288.4, 295.1, 287.3, 288.4, 286.9, 289.9, 287.9, 288.9, 292.2, 283.0, 287.4, 287.1, 284.8, 284.7, 288.0, 285.3, 279.3, 284.8
 328.4, 326.9, 331.1, 327.6, 330.1, 330.4, 327.3, 326.4, 333.0, 332.2, 327.6, 330.8, 329.3, 329.0, 332.7, 332.3, 326.7, 330.0, 330.8, 331.5, 326.7, 330.1, 328.7, 331.6, 329.6, 329.4, 333.1, 321.8, 330.6, 329.2, 329.7, 327.7, 327.9, 326.9, 323.3, 331.7, 328.0, 329.8, 330.0, 325.6, 330.4, 322.9, 329.8, 332.5, 330.7, 330.9, 329.2, 330.0, 332.5, 331.8, 326.9, 326.3, 330.1, 331.8, 330.2, 329.0, 327.6, 330.2, 329.9, 330.9, 330.7, 329.0, 329.6, 329.9, 335.5, 329.8, 328.7, 333.6, 329.8, 332.5, 332.2, 329.4, 329.9, 330.7, 329.3, 325.4, 331.0, 327.8, 332.9, 329.0, 329.0, 327.6, 331.1, 334.5, 328.9, 330.1, 329.5, 330.4, 329.0, 332.0, 334.7, 325.0, 330.4, 327.0, 327.5, 326.7, 331.4, 328.6, 321.8, 325.6
 383.5, 377.9, 382.0, 380.0, 383.7, 383.4, 378.9, 375.7, 391.1, 388.8, 387.0, 388.2, 380.5, 385.6, 385.8, 388.9, 381.5, 388.6, 391.3, 385.4, 375.9, 386.7, 376.8, 387.8, 383.3, 383.0, 390.5, 369.5, 383.5, 382.4, 382.4, 384.4, 378.3, 376.7, 374.1, 389.4, 376.5, 374.8, 384.5, 376.4, 378.1, 373.7, 390.1, 388.7, 389.9, 387.4, 380.2, 383.6, 388.6, 390.8, 387.9, 380.6, 383.0, 391.0, 386.0, 380.2, 379.1, 386.6, 383.8, 389.1, 384.5, 382.1, 387.5, 386.9, 394.1, 383.6, 381.2, 391.0, 382.5, 391.0, 390.1, 387.2, 385.5, 384.7, 386.4, 380.9, 389.0, 377.2, 384.4, 376.9, 390.0, 381.5, 380.6, 393.5, 378.1, 388.3, 382.7, 388.8, 382.7, 388.5, 390.1, 373.7, 382.8, 380.5, 380.3, 375.9, 388.7, 376.0, 372.0, 374.0
 420.1, 416.7, 420.4, 421.2, 420.4, 420.5, 418.4, 418.5, 425.3, 424.2, 421.9, 422.9, 421.1, 423.1, 422.3, 425.3, 421.1, 425.2, 427.4, 422.1, 418.2, 420.9, 418.9, 423.8, 421.7, 419.7, 423.5, 418.9, 420.7, 420.2, 420.5, 421.0, 419.4, 416.4, 418.0, 424.1, 418.1, 418.4, 421.7, 419.7, 418.7, 417.1, 423.2, 424.0, 425.4, 422.8, 420.5, 420.6, 424.5, 424.6, 423.5, 420.2, 423.0, 423.6, 422.3, 418.9, 417.9, 422.0, 422.0, 425.1, 420.9, 420.1, 424.1, 424.2, 426.7, 419.0, 420.0, 427.6, 419.7, 425.6, 424.3, 422.8, 420.5, 422.5, 423.0, 419.7, 423.3, 418.6, 421.7, 419.6, 424.5, 418.6, 420.1, 426.1, 418.3, 423.2, 421.8, 422.5, 420.9, 423.2, 423.8, 417.0, 420.9, 419.4, 420.1, 418.5, 423.9, 419.7, 417.1, 418.3
 466.4, 462.3, 467.2, 468.6, 467.9, 467.9, 462.5, 464.6, 475.6, 477.0, 474.6, 472.8, 468.5, 467.9, 470.3, 471.2, 470.0, 471.8, 478.9, 471.0, 463.1, 468.6, 465.6, 471.4, 469.3, 465.2, 473.4, 464.3, 467.7, 464.3, 465.0, 465.7, 464.6, 463.7, 462.2, 472.5, 464.0, 464.7, 468.8, 465.5, 464.9, 463.3, 468.9, 474.8, 471.4, 471.9, 466.0, 468.2, 471.7, 478.6, 473.1, 466.2, 470.2, 469.8, 471.0, 465.7, 461.6, 470.6, 469.6, 468.5, 468.2, 465.2, 473.5, 471.2, 476.3, 465.2, 465.0, 479.3, 466.3, 476.6, 471.2, 471.7, 463.8, 469.9, 476.7, 465.1, 473.4, 466.7, 472.1, 464.3, 472.9, 466.6, 465.7, 479.3, 462.4, 470.6, 465.3, 468.7, 465.4, 469.1, 469.3, 465.5, 465.6, 463.9, 467.5, 463.1, 472.5, 467.9, 461.2, 464.9
 506.6, 504.3, 505.4, 505.8, 506.2, 507.0, 502.5, 504.4, 508.1, 509.7, 509.9, 507.0, 506.6, 505.7, 506.6, 506.0, 504.7, 505.6, 510.4, 507.1, 503.2, 506.2, 504.4, 507.3, 506.2, 505.0, 506.7, 504.2, 505.2, 505.0, 505.4, 503.6, 503.3, 505.7, 503.1, 507.0, 504.7, 503.9, 505.6, 503.1, 505.1, 504.9, 506.0, 507.4, 506.2, 508.0, 503.7, 504.7, 507.2, 509.3, 507.5, 505.1, 508.3, 505.8, 506.4, 504.5, 504.4, 506.2, 506.2, 506.1, 506.0, 505.6, 508.6, 507.7, 508.0, 505.0, 504.2, 510.1, 505.4, 508.3, 507.5, 505.3, 505.1, 505.7, 509.7, 505.0, 506.5, 504.7, 508.3, 503.3, 506.8, 505.3, 507.2, 510.0, 503.7, 506.0, 503.5, 505.3, 504.6, 505.9, 505.5, 504.5, 506.1, 503.7, 505.4, 503.9, 508.4, 505.5, 502.4, 505.2
