0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  76.7,  75.7,  76.7,  75.5,  77.1,  76.0,  75.9,  76.0,  76.9,  76.4,  76.1,  77.3,  76.1,  77.2,  77.2,  77.5,  76.0,  75.9,  77.0,  76.3,  76.0,  76.6,  76.0,  75.7,  76.2,  75.4,  76.2,  76.3,  76.6,  76.3,  76.7,  74.9,  75.5,  76.2,  75.6,  76.6,  76.7,  77.3,  78.3,  76.2,  77.6,  76.8,  77.3,  77.5,  76.6,  76.0,  77.3,  75.8,  77.2,  77.2,  76.3,  77.0,  76.5,  77.6,  76.4,  76.2,  76.5,  76.9,  76.9,  77.1,  77.0,  76.2,  76.6,  75.8,  77.0,  75.0,  76.3,  77.4,  77.0,  76.7,  77.7,  76.6,  76.1,  77.7,  76.9,  75.7,  77.1,  76.2,  77.8,  76.5,  76.5,  75.4,  76.7,  77.3,  75.7,  76.5,  75.7,  76.2,  76.5,  77.2,  77.9,  75.8,  76.5,  76.9,  76.2,  76.9,  77.6,  75.9,  75.9,  75.6
  85.2,  84.2,  85.4,  84.1,  85.6,  84.6,  84.5,  84.6,  85.4,  84.8,  84.8,  85.5,  84.9,  85.7,  85.9,  85.8,  84.7,  84.4,  85.5,  84.8,  84.5,  84.9,  84.6,  84.2,  84.8,  84.3,  84.8,  84.7,  85.0,  84.7,  85.3,  83.5,  84.1,  84.9,  83.9,  84.9,  85.3,  85.8,  87.0,  84.8,  86.3,  85.4,  85.8,  86.0,  85.1,  84.7,  85.7,  84.3,  85.6,  85.7,  84.8,  85.6,  85.1,  85.9,  85.0,  85.0,  85.1,  85.7,  85.5,  85.6,  85.7,  84.6,  85.3,  84.3,  85.3,  83.6,  85.0,  85.7,  85.5,  85.3,  86.2,  85.1,  84.6,  86.2,  85.5,  84.2,  85.7,  84.8,  86.2,  85.1,  85.0,  84.0,  85.5,  85.8,  84.3,  85.1,  84.4,  84.5,  85.0,  85.4,  86.4,  84.3,  85.0,  85.6,  84.9,  85.5,  86.1,  84.3,  84.4,  84.1
  95.4,  94.7,  95.7,  94.3,  95.9,  94.8,  95.0,  94.9,  95.8,  95.1,  95.2,  95.8,  95.2,  95.8,  96.1,  96.0,  94.9,  94.8,  95.8,  95.2,  94.7,  95.3,  94.9,  94.6,  95.4,  94.5,  95.1,  94.9,  95.4,  95.1,  95.7,  93.9,  94.5,  95.0,  94.3,  95.1,  95.6,  96.1,  97.0,  95.0,  96.4,  95.6,  96.1,  96.4,  95.4,  95.0,  95.9,  94.6,  95.9,  96.1,  95.2,  95.8,  95.3,  96.3,  95.1,  95.4,  95.3,  95.9,  95.6,  95.8,  96.1,  95.1,  95.6,  94.6,  95.6,  94.0,  95.3,  96.0,  95.8,  95.7,  96.5,  95.5,  95.0,  96.5,  95.7,  94.5,  95.9,  95.1,  96.5,  95.4,  95.3,  94.4,  95.8,  96.0,  94.7,  95.4,  94.6,  94.8,  95.2,  96.0,  96.6,  94.5,  95.4,  95.9,  95.0,  95.7,  96.2,  94.5,  94.8,  94.4
 144.6, 144.8, 145.0, 144.7, 145.8, 145.7, 144.4, 146.7, 146.4, 146.2, 145.8, 146.4, 144.9, 145.3, 145.8, 145.7, 144.3, 145.3, 145.2, 146.9, 144.2, 146.3, 145.4, 145.2, 145.8, 144.8, 145.2, 144.5, 144.8, 144.8, 145.1, 144.1, 144.5, 143.7, 144.8, 145.5, 145.5, 145.2, 146.1, 144.1, 145.6, 144.9, 144.7, 145.9, 146.1, 144.7, 146.0, 146.0, 145.8, 146.8, 144.6, 145.2, 147.5, 146.1, 145.3, 145.3, 145.0, 144.2, 145.1, 144.7, 145.6, 144.3, 146.0, 144.9, 146.8, 144.6, 146.9, 145.1, 146.2, 146.1, 146.6, 146.2, 144.8, 145.1, 145.9, 143.6, 146.4, 144.8, 145.6, 144.9, 147.1, 146.0, 145.8, 146.8, 145.2, 146.4, 145.4, 145.3, 146.4, 145.3, 146.2, 145.5, 145.5, 145.7, 145.0, 146.6, 145.4, 145.1, 142.7, 144.6
 163.2, 164.4, 164.7, 163.7, 164.9, 165.5, 163.8, 165.3, 165.7, 166.2, 165.0, 165.2, 164.0, 165.2, 165.7, 164.9, 164.4, 165.4, 165.0, 166.6, 163.9, 165.0, 164.9, 165.1, 164.7, 164.2, 164.0, 164.1, 164.2, 163.8, 165.6, 163.6, 163.0, 163.1, 163.3, 165.6, 165.0, 164.8, 165.3, 163.0, 165.1, 164.7, 164.1, 165.2, 164.9, 164.2, 165.1, 165.7, 164.9, 166.0, 164.8, 165.0, 168.3, 165.9, 163.6, 164.6, 164.5, 163.8, 165.8, 163.4, 166.2, 164.1, 165.4, 165.1, 165.9, 164.0, 167.0, 164.9, 165.5, 165.3, 165.9, 165.0, 163.3, 164.5, 165.1, 162.9, 166.8, 164.5, 164.3, 164.3, 166.1, 165.4, 165.4, 167.1, 164.7, 164.7, 165.0, 165.5, 165.5, 163.8, 166.8, 165.1, 164.1, 164.5, 163.9, 165.4, 164.7, 164.6, 162.1, 163.1
 194.8, 195.2, 196.2, 196.1, 197.1, 198.2, 198.2, 196.9, 197.4, 198.0, 195.0, 196.8, 197.7, 196.4, 195.7, 197.6, 196.2, 197.9, 194.6, 196.6, 195.9, 195.9, 196.4, 198.7, 195.3, 196.2, 196.9, 194.9, 196.5, 197.2, 195.5, 195.0, 192.8, 194.7, 193.8, 196.1, 194.5, 195.7, 195.3, 193.3, 196.5, 195.3, 196.7, 198.6, 196.6, 196.5, 195.2, 196.2, 197.1, 196.1, 197.0, 197.5, 196.5, 196.6, 197.2, 195.9, 195.4, 196.7, 196.6, 196.2, 198.0, 196.9, 196.6, 196.8, 197.4, 195.4, 197.3, 196.1, 197.8, 195.4, 197.8, 197.6, 193.8, 194.4, 196.9, 195.0, 197.8, 196.8, 196.8, 195.8, 195.7, 196.2, 196.1, 197.7, 196.1, 195.7, 196.1, 197.6, 196.3, 196.8, 196.2, 195.5, 195.8, 195.7, 195.5, 194.8, 198.6, 194.8, 191.5, 196.6
 224.6, 225.6, 226.6, 226.8, 226.0, 227.0, 227.2, 225.8, 225.9, 226.8, 226.2, 226.0, 226.9, 225.6, 226.3, 225.9, 226.6, 226.5, 224.9, 227.0, 225.1, 225.5, 225.6, 227.9, 224.4, 225.9, 227.2, 225.4, 226.3, 225.0, 227.0, 226.6, 225.8, 224.8, 225.2, 226.0, 224.2, 225.3, 226.0, 226.5, 226.1, 223.1, 226.9, 227.0, 226.0, 226.9, 225.2, 225.9, 226.6, 225.9, 225.8, 226.9, 225.8, 228.1, 227.1, 226.3, 226.7, 225.6, 225.9, 225.8, 226.8, 226.5, 226.3, 225.6, 227.3, 226.3, 226.9, 227.4, 226.7, 226.0, 226.7, 227.5, 223.3, 223.7, 226.2, 226.7, 227.0, 226.6, 227.0, 226.6, 224.7, 226.4, 226.8, 227.4, 227.6, 226.8, 225.8, 226.5, 227.6, 227.1, 226.7, 224.9, 226.4, 225.1, 226.6, 224.0, 226.9, 225.2, 221.3, 225.6
 249.5, 248.8, 250.0, 251.8, 249.8, 251.6, 251.3, 249.1, 251.2, 251.0, 249.4, 249.9, 249.7, 249.4, 251.1, 250.6, 250.5, 250.5, 249.3, 252.2, 249.0, 249.3, 249.5, 252.2, 247.2, 250.0, 252.8, 248.9, 250.9, 249.1, 250.9, 250.9, 249.1, 249.4, 248.9, 249.2, 248.5, 250.0, 250.7, 250.0, 251.0, 244.7, 251.2, 251.6, 250.1, 251.7, 250.2, 251.0, 251.3, 251.0, 249.3, 249.7, 250.1, 251.7, 251.6, 250.9, 249.8, 249.3, 250.1, 250.1, 251.5, 249.7, 250.7, 249.7, 252.2, 249.5, 250.1, 251.8, 251.5, 249.6, 250.0, 252.1, 246.7, 247.0, 249.9, 250.4, 251.4, 249.9, 250.7, 249.9, 248.7, 249.9, 251.3, 250.6, 251.8, 251.7, 249.7, 250.1, 253.4, 250.8, 251.7, 249.6, 251.1, 250.0, 251.6, 247.2, 250.8, 248.4, 238.6, 249.1
 271.7, 270.0, 272.5, 272.2, 271.6, 271.7, 272.3, 269.3, 271.8, 273.0, 270.1, 272.9, 269.9, 271.2, 272.0, 270.6, 270.0, 272.3, 271.9, 273.4, 269.4, 271.3, 270.2, 274.6, 265.6, 270.7, 274.0, 269.6, 271.9, 269.9, 272.1, 272.8, 270.3, 269.9, 269.1, 270.7, 268.7, 271.5, 271.2, 271.0, 271.3, 260.0, 273.5, 273.3, 271.8, 272.3, 271.5, 273.0, 273.0, 273.9, 271.2, 270.1, 270.3, 272.4, 274.5, 272.5, 271.6, 269.7, 270.1, 270.9, 273.9, 271.0, 271.2, 271.3, 274.4, 270.3, 272.1, 274.2, 272.7, 271.4, 271.6, 272.6, 264.8, 264.6, 271.9, 270.9, 272.8, 270.5, 271.3, 270.6, 269.9, 270.9, 271.9, 272.5, 273.3, 272.6, 270.8, 270.9, 275.2, 272.3, 273.6, 270.1, 272.6, 271.5, 274.6, 265.4, 272.5, 268.8, 255.7, 270.7
 288.0, 285.2, 289.8, 289.1, 288.9, 288.3, 289.2, 285.3, 289.6, 289.8, 286.4, 289.9, 286.5, 287.6, 289.4, 287.7, 287.2, 289.4, 287.7, 290.2, 285.8, 288.0, 286.6, 292.0, 277.4, 288.6, 291.6, 285.6, 288.5, 286.3, 288.7, 289.0, 286.8, 286.1, 284.9, 288.5, 284.7, 288.4, 287.7, 286.8, 287.7, 268.3, 289.8, 291.1, 289.3, 289.6, 287.9, 289.6, 291.1, 290.3, 287.2, 285.9, 286.2, 289.6, 293.1, 290.1, 288.1, 286.4, 287.8, 288.3, 290.1, 287.5, 288.4, 287.7, 293.4, 286.9, 288.5, 291.2, 290.1, 288.3, 288.4, 289.1, 277.9, 276.0, 289.1, 287.3, 289.7, 286.7, 287.6, 287.0, 286.2, 286.7, 288.9, 289.8, 290.7, 289.1, 287.6, 287.4, 293.0, 288.4, 291.6, 285.8, 288.8, 287.9, 292.9, 278.3, 290.3, 285.9, 265.6, 287.3
