0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  76.7,  75.7,  76.7,  75.5,  77.1,  76.1,  75.9,  76.0,  76.9,  76.4,  76.1,  77.3,  76.1,  77.2,  77.2,  77.5,  76.0,  75.9,  77.0,  76.3,  76.0,  76.6,  76.0,  75.7,  76.2,  75.4,  76.2,  76.3,  76.6,  76.3,  76.7,  74.9,  75.5,  76.3,  75.6,  76.6,  76.7,  77.3,  78.3,  76.2,  77.6,  76.8,  77.3,  77.5,  76.6,  76.0,  77.3,  75.8,  77.2,  77.2,  76.3,  77.0,  76.5,  77.6,  76.4,  76.2,  76.5,  76.9,  76.9,  77.1,  77.0,  76.2,  76.6,  75.9,  77.0,  75.0,  76.3,  77.4,  77.0,  76.7,  77.7,  76.6,  76.1,  77.7,  76.9,  75.7,  77.2,  76.2,  77.8,  76.5,  76.5,  75.4,  76.7,  77.3,  75.7,  76.5,  75.7,  76.2,  76.5,  77.2,  77.9,  75.8,  76.5,  76.9,  76.2,  76.9,  77.6,  75.9,  76.0,  75.6
 101.3, 101.3, 102.1, 100.3, 101.9, 100.1, 101.6, 100.7, 102.9, 101.1, 101.9, 102.2, 101.4, 101.5, 102.4, 102.3, 100.8, 101.3, 101.8, 101.5, 100.1, 102.0, 101.1, 101.0, 102.8, 100.6, 101.1, 101.2, 102.0, 101.7, 102.1, 100.3, 101.0, 100.8, 100.6, 101.1, 102.0, 103.0, 102.6, 101.2, 102.6, 101.6, 102.6, 104.4, 101.8, 101.6, 101.9, 100.5, 102.0, 102.3, 101.2, 101.8, 101.2, 102.7, 100.5, 101.5, 101.2, 101.8, 100.9, 102.3, 102.4, 102.1, 102.0, 100.6, 102.1, 100.8, 101.3, 102.6, 102.0, 102.6, 102.5, 101.6, 102.3, 103.4, 102.0, 100.7, 101.8, 101.4, 102.8, 101.7, 101.6, 101.0, 101.8, 102.3, 101.2, 100.9, 100.6, 101.3, 100.7, 102.7, 103.5, 100.6, 101.5, 101.9, 100.5, 101.3, 101.5, 100.4, 101.1, 100.0
 140.7, 141.8, 141.5, 140.3, 142.3, 141.9, 141.4, 143.1, 143.3, 143.3, 142.2, 143.0, 141.0, 141.7, 142.4, 142.3, 140.8, 142.3, 141.9, 143.9, 138.3, 143.5, 142.4, 142.1, 143.6, 141.3, 142.0, 140.2, 141.5, 141.8, 142.0, 140.8, 140.9, 139.6, 141.8, 141.9, 142.3, 142.2, 141.9, 139.2, 142.2, 141.1, 141.3, 143.7, 143.4, 140.8, 142.9, 142.5, 142.9, 143.9, 141.2, 141.5, 144.0, 142.7, 141.3, 141.4, 139.9, 139.5, 140.6, 140.8, 142.1, 140.7, 142.4, 140.6, 143.8, 141.7, 143.2, 141.5, 143.0, 143.2, 143.3, 142.4, 142.2, 141.9, 143.1, 139.6, 143.0, 140.8, 142.6, 141.6, 144.2, 143.0, 142.0, 143.9, 142.2, 142.3, 141.6, 141.6, 142.9, 142.2, 143.0, 141.1, 142.4, 142.2, 141.1, 142.8, 140.9, 140.8, 137.8, 139.2
 164.5, 167.2, 166.9, 164.9, 167.3, 167.6, 166.2, 168.1, 169.0, 170.0, 167.6, 167.8, 165.5, 167.3, 168.3, 167.5, 166.4, 168.5, 167.5, 170.6, 163.9, 168.5, 167.9, 168.2, 168.8, 166.2, 166.3, 165.2, 166.4, 166.3, 168.8, 165.7, 164.9, 164.4, 165.7, 168.4, 167.9, 167.7, 166.9, 163.4, 167.3, 166.4, 166.3, 169.3, 167.7, 166.0, 167.8, 168.4, 168.1, 169.6, 167.1, 166.7, 173.0, 169.0, 164.9, 166.3, 165.2, 164.6, 167.1, 165.0, 168.8, 166.2, 168.2, 166.7, 169.8, 167.0, 170.5, 166.9, 168.7, 168.6, 169.2, 167.4, 166.0, 167.3, 168.4, 164.3, 170.0, 166.2, 166.9, 166.5, 169.5, 168.4, 167.7, 171.9, 167.7, 166.5, 166.9, 168.3, 168.6, 166.1, 170.5, 166.6, 166.6, 166.5, 165.1, 167.9, 165.8, 166.1, 162.7, 163.3
 202.8, 204.7, 206.6, 206.0, 207.5, 209.0, 209.2, 206.8, 209.0, 209.8, 204.2, 205.7, 207.4, 207.0, 206.2, 207.8, 205.0, 207.8, 202.5, 209.1, 203.0, 205.7, 208.1, 209.8, 206.9, 204.6, 207.5, 202.6, 205.9, 207.3, 206.5, 205.5, 201.7, 202.4, 203.2, 207.2, 205.3, 206.3, 203.8, 200.3, 205.9, 203.5, 207.6, 210.4, 206.8, 206.2, 204.8, 207.8, 208.3, 207.9, 206.8, 208.4, 210.3, 208.4, 205.4, 205.6, 202.9, 205.2, 206.4, 204.3, 207.7, 206.5, 205.9, 206.1, 209.7, 205.8, 208.7, 205.5, 209.0, 206.2, 208.7, 209.1, 202.3, 203.2, 207.3, 203.7, 209.0, 205.6, 206.5, 205.6, 206.1, 206.9, 206.5, 211.1, 206.3, 204.7, 205.4, 208.3, 206.3, 207.2, 207.4, 203.5, 205.6, 204.5, 203.8, 203.1, 207.2, 204.0, 199.4, 203.4
 232.8, 234.7, 237.3, 236.7, 236.1, 241.3, 239.3, 236.9, 240.8, 239.2, 234.7, 234.9, 235.9, 237.6, 237.5, 237.9, 236.3, 238.1, 234.3, 243.7, 232.8, 234.6, 235.5, 244.1, 236.8, 234.5, 239.7, 232.8, 235.5, 235.5, 237.7, 235.8, 233.9, 233.4, 234.7, 237.2, 234.9, 235.5, 233.9, 233.7, 235.5, 232.8, 238.3, 244.6, 235.5, 237.4, 235.3, 237.0, 239.2, 240.0, 236.3, 236.0, 240.5, 242.4, 236.1, 235.4, 234.4, 234.0, 236.1, 233.7, 239.2, 234.6, 236.0, 235.6, 241.1, 236.9, 237.7, 238.9, 240.5, 239.0, 239.8, 242.9, 232.4, 232.4, 234.9, 234.5, 238.5, 235.4, 237.6, 234.9, 236.9, 236.5, 236.3, 242.5, 237.1, 235.7, 237.2, 236.6, 241.8, 237.5, 241.6, 233.3, 236.7, 234.6, 234.3, 233.6, 236.7, 234.5, 231.0, 232.9
 266.9, 263.1, 267.4, 267.7, 267.5, 269.1, 268.9, 266.1, 270.8, 268.1, 263.8, 265.4, 263.0, 267.9, 267.4, 267.3, 263.7, 268.1, 268.0, 272.8, 263.7, 265.3, 267.0, 274.8, 265.9, 264.9, 269.8, 263.0, 266.8, 266.3, 266.6, 267.7, 263.0, 263.0, 263.1, 267.1, 265.3, 266.3, 264.7, 262.2, 264.4, 261.7, 269.6, 273.3, 266.5, 265.8, 265.1, 267.3, 269.3, 271.2, 267.1, 263.9, 268.2, 270.4, 268.5, 266.6, 265.2, 263.0, 264.5, 264.5, 269.5, 264.8, 263.5, 265.6, 271.0, 265.6, 266.8, 269.3, 269.1, 269.2, 269.1, 271.1, 262.7, 261.8, 266.2, 262.7, 268.4, 264.4, 265.6, 264.3, 267.0, 265.5, 266.0, 272.5, 266.7, 266.2, 266.3, 263.8, 272.2, 267.2, 271.1, 264.1, 266.7, 265.5, 266.7, 261.6, 265.7, 263.2, 260.9, 261.3
 292.3, 288.2, 294.1, 293.7, 294.2, 295.5, 295.1, 292.3, 300.6, 295.3, 290.0, 292.1, 289.6, 294.0, 294.3, 293.8, 290.3, 295.1, 291.8, 302.7, 290.9, 291.8, 293.1, 305.0, 291.6, 292.7, 297.5, 288.2, 292.0, 292.8, 291.9, 292.2, 290.0, 289.3, 289.1, 296.1, 291.2, 292.2, 289.9, 288.0, 290.3, 288.6, 294.2, 304.9, 293.4, 292.3, 291.0, 293.2, 297.7, 297.9, 292.7, 289.0, 293.7, 298.9, 297.2, 293.8, 290.8, 289.9, 292.5, 291.4, 294.7, 289.9, 290.2, 291.1, 302.3, 292.3, 292.9, 296.7, 297.0, 296.7, 296.1, 297.5, 290.5, 288.5, 292.9, 288.0, 294.8, 289.9, 291.5, 290.5, 292.7, 291.1, 292.4, 303.2, 294.0, 291.2, 292.2, 290.6, 300.2, 292.2, 301.7, 288.7, 291.2, 290.4, 294.4, 288.4, 293.8, 290.7, 288.4, 288.8
 324.8, 320.7, 326.8, 323.9, 325.6, 327.6, 325.2, 322.7, 329.3, 328.4, 320.5, 324.3, 322.0, 326.3, 327.4, 326.3, 322.4, 326.5, 325.0, 332.2, 322.0, 324.4, 327.0, 335.2, 324.1, 325.7, 330.0, 317.7, 325.6, 323.8, 325.3, 324.2, 321.9, 320.5, 320.4, 327.7, 321.2, 323.4, 323.6, 319.1, 321.4, 317.7, 326.1, 332.9, 325.8, 323.8, 322.7, 326.1, 328.9, 329.1, 322.6, 321.0, 326.6, 329.3, 328.1, 324.9, 322.0, 323.5, 324.3, 323.4, 326.9, 321.7, 322.1, 323.9, 331.9, 325.4, 323.8, 329.1, 327.6, 329.1, 328.9, 328.1, 322.8, 321.9, 324.0, 320.0, 326.8, 321.8, 326.0, 323.4, 323.8, 321.9, 325.1, 331.9, 325.2, 323.7, 325.3, 322.1, 329.7, 324.7, 332.1, 320.5, 324.7, 320.4, 326.4, 320.6, 326.7, 323.0, 321.2, 319.7
 355.6, 351.0, 355.5, 353.4, 356.7, 356.9, 355.0, 352.4, 363.7, 363.4, 352.1, 353.1, 351.5, 354.8, 358.2, 356.6, 352.1, 357.6, 358.7, 367.5, 353.0, 356.6, 356.4, 370.8, 353.8, 354.1, 366.3, 349.4, 353.6, 353.6, 354.7, 355.3, 351.7, 350.2, 351.7, 358.9, 349.8, 353.1, 353.4, 350.4, 350.2, 349.0, 356.1, 369.7, 355.2, 353.5, 351.7, 357.7, 363.3, 361.5, 354.4, 353.1, 356.3, 365.5, 359.7, 352.6, 352.7, 352.6, 354.3, 353.5, 357.8, 353.1, 352.4, 354.7, 371.0, 355.8, 354.4, 358.6, 355.8, 366.1, 361.7, 359.2, 353.7, 350.5, 355.5, 350.8, 355.6, 350.7, 355.8, 352.3, 353.5, 351.9, 355.4, 368.5, 353.4, 354.4, 353.7, 352.5, 364.1, 353.8, 366.2, 350.8, 355.4, 350.8, 355.4, 350.9, 359.0, 352.3, 351.4, 350.5
 398.1, 393.8, 395.8, 396.8, 396.8, 397.9, 395.4, 395.5, 401.0, 400.5, 395.6, 396.8, 394.3, 401.3, 396.9, 397.1, 396.0, 398.6, 398.8, 403.3, 394.4, 396.0, 395.8, 405.8, 395.6, 396.6, 401.8, 392.8, 396.8, 395.9, 396.2, 397.7, 395.7, 394.0, 395.1, 399.8, 393.4, 393.1, 395.7, 394.4, 393.4, 396.0, 398.0, 405.7, 397.6, 395.3, 396.4, 398.3, 403.0, 402.2, 398.4, 397.3, 399.0, 402.6, 401.5, 396.5, 395.0, 396.2, 396.4, 396.1, 396.8, 395.0, 394.9, 396.7, 407.1, 396.1, 396.6, 399.4, 398.9, 402.7, 401.3, 400.1, 396.8, 395.2, 397.2, 395.7, 396.8, 394.5, 396.8, 394.4, 397.4, 395.3, 396.2, 404.7, 395.1, 397.7, 397.9, 395.9, 401.6, 396.9, 403.5, 393.6, 396.6, 395.2, 397.6, 394.0, 398.6, 394.6, 395.8, 394.2
 424.4, 420.9, 423.6, 425.0, 423.2, 424.3, 422.5, 423.4, 427.5, 427.7, 422.7, 423.9, 423.4, 427.5, 424.5, 425.4, 423.8, 426.5, 427.1, 429.2, 422.0, 422.4, 423.7, 431.8, 423.5, 422.8, 427.3, 423.8, 423.6, 423.2, 423.5, 424.4, 423.2, 420.9, 423.1, 426.7, 421.5, 422.1, 423.7, 423.8, 421.3, 423.1, 424.1, 431.4, 425.3, 423.2, 423.7, 425.0, 429.8, 428.3, 425.3, 424.2, 427.9, 427.9, 427.1, 422.5, 421.9, 423.8, 424.1, 424.6, 424.2, 422.4, 423.9, 425.8, 432.3, 421.8, 423.6, 427.8, 424.7, 429.0, 427.9, 426.6, 422.5, 423.8, 425.2, 423.3, 423.9, 422.5, 424.0, 423.1, 424.7, 421.8, 423.6, 428.9, 422.4, 424.6, 425.4, 422.8, 429.1, 424.0, 428.3, 421.9, 423.1, 422.9, 425.3, 422.2, 425.7, 423.6, 423.8, 422.6
 460.4, 454.9, 460.6, 462.0, 460.3, 461.2, 455.8, 459.8, 464.1, 464.4, 460.6, 461.5, 460.1, 462.5, 460.5, 460.1, 460.6, 462.6, 464.0, 465.7, 456.4, 459.7, 460.6, 466.6, 460.0, 458.5, 463.3, 460.2, 460.6, 456.1, 457.4, 460.1, 458.9, 458.0, 457.6, 462.3, 456.6, 458.7, 460.9, 461.0, 456.0, 460.0, 457.4, 468.4, 459.3, 459.8, 460.8, 462.4, 464.2, 466.2, 461.6, 460.3, 464.1, 462.6, 463.4, 459.1, 455.1, 461.0, 462.0, 457.4, 461.4, 458.1, 461.3, 461.8, 466.5, 456.9, 459.7, 465.1, 461.5, 465.9, 463.5, 463.3, 456.0, 460.9, 463.8, 459.7, 461.2, 460.5, 461.8, 459.1, 461.3, 459.0, 460.3, 467.0, 456.7, 461.4, 460.1, 458.0, 463.5, 458.7, 462.8, 459.6, 457.8, 458.3, 462.8, 456.8, 462.8, 461.5, 458.1, 460.6
 498.7, 491.4, 497.6, 498.3, 498.1, 499.3, 492.1, 495.7, 497.7, 499.3, 498.3, 497.5, 498.0, 498.8, 497.7, 496.5, 496.1, 496.1, 498.2, 500.2, 494.5, 496.5, 497.6, 500.7, 496.4, 495.6, 497.8, 495.9, 496.9, 494.5, 494.2, 495.7, 493.9, 497.8, 494.6, 498.0, 494.6, 494.6, 497.7, 495.7, 493.6, 497.9, 495.3, 500.7, 496.5, 497.7, 495.8, 497.9, 500.3, 500.3, 498.5, 497.2, 500.0, 498.6, 498.3, 496.1, 494.2, 497.2, 497.1, 493.7, 498.3, 495.8, 497.4, 498.6, 500.2, 493.8, 495.5, 499.9, 498.1, 498.3, 499.5, 497.3, 493.3, 496.6, 499.6, 496.6, 495.7, 496.8, 499.4, 494.8, 497.6, 497.2, 499.4, 500.0, 493.1, 497.3, 496.4, 494.7, 498.9, 496.2, 498.6, 497.6, 495.9, 495.1, 498.8, 493.5, 499.6, 497.6, 495.3, 497.0
 527.4, 514.7, 524.6, 526.3, 525.7, 527.0, 520.7, 524.4, 525.3, 526.9, 525.4, 524.9, 525.4, 526.1, 524.8, 524.8, 523.8, 524.8, 526.7, 527.9, 522.8, 523.6, 524.4, 528.1, 524.8, 524.6, 525.5, 524.3, 524.6, 523.1, 523.6, 524.4, 520.9, 524.8, 524.1, 526.2, 522.5, 521.7, 525.8, 523.5, 522.5, 525.8, 522.1, 527.2, 524.3, 525.5, 524.4, 525.6, 526.9, 527.1, 525.7, 524.9, 527.2, 527.0, 525.6, 523.7, 522.8, 524.3, 525.8, 521.3, 525.8, 524.8, 525.2, 526.9, 527.1, 520.7, 524.7, 527.6, 526.4, 526.4, 527.3, 525.3, 521.5, 524.7, 527.1, 524.1, 523.8, 524.5, 526.4, 522.5, 524.5, 524.5, 527.3, 527.8, 520.2, 525.3, 523.2, 522.2, 526.6, 523.8, 525.9, 525.1, 523.5, 522.8, 526.0, 521.0, 527.7, 525.2, 524.0, 525.8
 555.3, 536.6, 552.8, 555.4, 552.8, 555.7, 544.5, 552.2, 551.2, 555.0, 552.2, 552.1, 553.6, 553.4, 552.7, 551.5, 551.6, 551.1, 554.9, 555.6, 550.4, 549.4, 551.7, 555.6, 553.1, 554.1, 553.5, 553.8, 553.5, 549.6, 550.7, 551.4, 543.2, 551.8, 550.5, 554.5, 547.0, 547.5, 554.4, 550.6, 548.4, 554.4, 547.4, 556.1, 552.4, 552.5, 553.0, 554.9, 555.2, 556.4, 553.0, 552.6, 555.9, 555.2, 553.5, 551.1, 548.5, 552.8, 551.6, 545.3, 553.4, 550.8, 553.0, 555.8, 554.2, 543.7, 552.0, 555.9, 555.5, 555.9, 556.0, 552.7, 546.1, 552.7, 556.0, 551.0, 551.1, 551.2, 554.3, 548.3, 552.9, 552.8, 556.6, 555.8, 546.0, 552.3, 549.3, 547.6, 554.5, 549.4, 553.2, 553.1, 550.4, 550.0, 553.4, 543.2, 555.7, 552.0, 550.5, 553.1
