0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  76.7,  75.7,  76.7,  75.5,  77.1,  76.1,  75.9,  76.0,  76.9,  76.4,  76.1,  77.3,  76.1,  77.2,  77.2,  77.5,  76.0,  75.9,  77.0,  76.3,  76.0,  76.6,  76.0,  75.7,  76.2,  75.4,  76.2,  76.3,  76.6,  76.3,  76.7,  74.9,  75.5,  76.2,  75.6,  76.6,  76.7,  77.3,  78.3,  76.2,  77.6,  76.8,  77.3,  77.5,  76.6,  76.0,  77.3,  75.8,  77.2,  77.2,  76.3,  77.0,  76.5,  77.6,  76.4,  76.2,  76.5,  76.9,  76.9,  77.1,  77.0,  76.2,  76.6,  75.9,  77.0,  75.0,  76.3,  77.4,  77.0,  76.7,  77.7,  76.6,  76.1,  77.7,  76.9,  75.7,  77.1,  76.2,  77.8,  76.5,  76.5,  75.4,  76.7,  77.3,  75.7,  76.5,  75.7,  76.2,  76.5,  77.2,  77.9,  75.8,  76.5,  76.9,  76.2,  76.9,  77.6,  75.9,  75.9,  75.6
  98.4,  98.4,  99.1,  97.0,  99.1,  97.2,  98.8,  97.6,  99.4,  98.2,  98.7,  99.1,  98.1,  98.7,  99.4,  99.1,  97.7,  98.3,  98.9,  98.4,  97.2,  99.1,  98.2,  98.0,  99.7,  97.3,  98.1,  98.1,  98.9,  98.7,  99.2,  97.1,  97.9,  97.8,  97.8,  97.9,  98.8,  99.9,  99.6,  98.1,  99.4,  98.5,  99.8, 100.6,  98.8,  98.5,  98.9,  97.4,  99.0,  99.2,  98.2,  99.1,  98.0,  99.6,  97.7,  98.6,  98.2,  99.0,  98.2,  99.2,  99.6,  98.9,  98.8,  97.9,  99.2,  97.6,  98.3,  99.4,  98.9,  99.5,  99.7,  98.8,  98.9, 100.2,  99.0,  97.5,  98.8,  98.5,  99.7,  98.9,  98.3,  97.8,  98.8,  99.1,  98.5,  98.0,  97.7,  98.1,  97.8,  99.7, 100.2,  97.6,  98.3,  99.1,  97.4,  98.6,  98.7,  97.6,  98.1,  97.0
 130.5, 132.2, 131.8, 127.6, 133.8, 131.3, 132.6, 129.8, 133.9, 134.4, 131.5, 134.1, 129.5, 132.4, 133.3, 134.2, 128.2, 134.0, 133.8, 135.0, 124.9, 134.1, 131.0, 131.6, 135.7, 130.2, 131.6, 129.3, 130.7, 133.1, 132.4, 129.2, 129.6, 130.4, 132.6, 131.2, 134.7, 132.9, 132.6, 126.9, 134.8, 130.3, 132.5, 135.6, 134.6, 129.8, 134.9, 132.0, 135.4, 134.6, 131.3, 131.8, 133.9, 134.3, 129.9, 129.2, 128.8, 128.5, 129.2, 131.3, 132.4, 129.5, 132.9, 129.7, 134.3, 131.3, 131.8, 131.8, 133.0, 135.8, 134.3, 132.2, 133.7, 133.9, 135.9, 127.1, 134.0, 129.0, 134.9, 130.7, 134.0, 132.6, 131.5, 137.2, 132.5, 132.1, 128.8, 131.8, 133.5, 134.3, 135.5, 128.6, 134.0, 133.0, 129.9, 134.6, 130.8, 128.2, 126.7, 125.9
 152.0, 152.9, 153.2, 151.4, 154.8, 152.9, 153.1, 153.6, 155.5, 155.0, 154.8, 155.5, 151.4, 153.2, 154.7, 155.0, 150.1, 154.5, 154.4, 155.4, 150.6, 156.1, 152.3, 153.6, 155.3, 152.1, 152.3, 151.9, 152.0, 153.7, 153.0, 151.0, 152.2, 151.8, 152.4, 153.9, 155.3, 154.1, 154.1, 150.4, 155.7, 152.9, 154.1, 155.6, 154.6, 152.7, 154.9, 153.1, 155.4, 155.5, 152.3, 153.6, 156.4, 156.0, 152.5, 152.6, 153.0, 151.3, 152.0, 152.8, 154.2, 152.3, 154.8, 153.0, 155.4, 152.2, 155.5, 153.8, 154.0, 156.3, 155.4, 154.9, 153.5, 155.0, 155.1, 149.8, 155.3, 152.4, 155.1, 152.8, 154.7, 154.5, 154.3, 158.6, 153.8, 154.9, 152.5, 154.5, 154.3, 154.9, 157.4, 153.2, 154.2, 153.6, 151.3, 155.6, 153.0, 152.2, 149.7, 150.4
 176.2, 182.1, 180.6, 175.8, 182.8, 181.1, 180.2, 179.4, 182.3, 186.0, 183.0, 184.5, 177.2, 180.4, 182.9, 185.4, 177.4, 184.0, 181.6, 185.1, 176.1, 184.2, 179.0, 183.1, 183.1, 178.0, 178.6, 177.6, 179.7, 183.0, 181.3, 176.2, 175.8, 177.3, 177.6, 182.5, 182.3, 179.4, 182.1, 176.2, 182.2, 177.7, 180.8, 186.7, 179.8, 179.4, 180.9, 180.8, 183.1, 184.0, 180.8, 181.6, 186.7, 185.8, 175.7, 178.2, 178.7, 179.8, 181.4, 182.7, 184.6, 179.9, 183.3, 180.8, 186.3, 180.7, 185.2, 180.9, 183.2, 184.7, 186.0, 184.6, 180.9, 184.6, 184.7, 175.3, 184.4, 178.9, 184.2, 178.7, 181.2, 181.4, 183.0, 189.9, 186.0, 181.6, 178.6, 184.7, 183.5, 182.0, 187.3, 177.6, 180.6, 180.6, 177.0, 183.0, 182.1, 177.5, 173.4, 174.6
 208.6, 212.1, 213.3, 210.5, 214.9, 214.1, 215.0, 210.3, 215.5, 220.0, 211.4, 213.4, 212.7, 212.3, 213.3, 216.6, 209.0, 214.1, 210.2, 216.2, 209.1, 213.1, 212.2, 214.9, 212.1, 209.0, 213.2, 208.5, 211.9, 213.6, 212.6, 210.5, 209.3, 208.8, 209.4, 213.6, 212.2, 211.7, 212.2, 208.9, 214.1, 208.5, 215.3, 219.8, 211.7, 212.0, 211.3, 213.0, 216.1, 214.4, 212.2, 214.9, 218.4, 220.9, 208.8, 210.1, 209.6, 211.7, 212.1, 212.7, 214.1, 212.6, 212.6, 211.8, 222.3, 211.7, 216.3, 212.2, 215.8, 214.5, 218.6, 219.6, 209.4, 212.8, 214.8, 208.1, 217.0, 211.1, 215.2, 212.2, 210.5, 212.3, 215.1, 225.3, 219.7, 211.7, 210.3, 218.6, 213.4, 214.9, 219.6, 208.3, 211.8, 211.5, 209.6, 210.4, 213.8, 209.1, 206.4, 208.8
 232.9, 235.1, 236.4, 234.9, 236.3, 237.8, 236.9, 235.0, 239.3, 244.1, 235.1, 235.3, 234.4, 236.4, 237.3, 240.5, 234.4, 236.9, 235.7, 241.0, 233.1, 235.0, 233.7, 239.7, 235.9, 233.6, 236.6, 232.7, 234.7, 235.1, 236.2, 234.5, 234.5, 233.8, 234.9, 236.5, 235.7, 234.8, 235.0, 235.0, 235.9, 232.7, 237.6, 246.7, 234.4, 236.3, 235.6, 235.1, 238.5, 238.5, 235.4, 234.9, 241.9, 247.0, 234.2, 234.2, 234.9, 234.4, 235.6, 235.0, 237.8, 233.9, 235.9, 235.2, 248.2, 236.0, 236.6, 239.0, 238.4, 240.6, 243.1, 245.8, 233.4, 234.8, 234.9, 233.5, 238.3, 234.8, 238.8, 234.2, 235.4, 235.2, 237.0, 251.0, 244.1, 236.3, 236.2, 239.8, 241.4, 237.6, 247.0, 232.8, 236.1, 235.2, 233.9, 234.9, 236.0, 234.1, 231.6, 232.5
 260.8, 258.8, 260.1, 261.2, 261.5, 260.4, 260.7, 259.7, 264.0, 266.9, 259.7, 259.9, 258.2, 260.6, 260.9, 263.0, 258.7, 260.4, 262.2, 264.0, 260.0, 260.2, 260.5, 264.6, 259.8, 259.6, 261.9, 258.8, 260.6, 260.7, 260.1, 260.6, 259.1, 259.0, 258.9, 260.3, 260.3, 260.1, 260.6, 259.1, 260.1, 258.0, 262.0, 270.7, 259.6, 259.9, 260.1, 260.2, 262.0, 263.1, 260.1, 259.2, 262.7, 270.6, 260.4, 260.0, 260.5, 259.2, 259.5, 260.7, 261.3, 259.4, 259.0, 259.9, 273.7, 259.7, 259.6, 262.5, 260.7, 264.1, 266.5, 269.5, 259.5, 259.5, 260.4, 258.2, 261.3, 259.4, 260.9, 259.5, 260.3, 259.8, 261.1, 276.5, 267.3, 261.2, 259.5, 260.7, 265.5, 260.7, 271.8, 259.3, 260.4, 260.2, 260.4, 258.7, 259.9, 258.8, 257.9, 257.6
 283.8, 282.8, 284.9, 284.0, 285.2, 283.5, 283.1, 283.4, 287.1, 289.0, 283.4, 285.0, 282.8, 283.5, 284.7, 285.3, 281.8, 284.5, 284.0, 286.4, 284.9, 285.0, 283.9, 286.2, 283.3, 284.1, 284.9, 282.3, 283.3, 284.6, 283.7, 283.6, 284.0, 282.9, 283.2, 286.0, 283.5, 284.3, 283.5, 282.9, 283.8, 282.7, 283.9, 293.7, 284.2, 284.0, 284.3, 284.1, 286.4, 285.9, 283.9, 282.7, 284.7, 292.8, 285.4, 284.3, 284.3, 284.0, 284.6, 284.8, 284.3, 283.3, 283.9, 283.8, 300.1, 283.7, 284.1, 285.6, 284.4, 286.2, 288.3, 289.8, 284.6, 284.0, 284.7, 280.7, 284.8, 283.2, 284.2, 283.3, 284.4, 283.6, 284.5, 303.5, 289.4, 284.6, 284.3, 285.5, 286.6, 284.3, 295.6, 282.1, 283.6, 283.7, 285.2, 283.3, 284.9, 283.5, 283.2, 283.4
 313.5, 311.8, 314.2, 312.0, 313.2, 313.1, 310.5, 311.8, 314.5, 317.4, 311.9, 314.0, 311.9, 312.2, 313.6, 314.7, 311.4, 313.1, 312.4, 314.8, 313.3, 313.4, 313.2, 314.3, 311.9, 313.7, 314.7, 309.9, 313.1, 312.5, 313.0, 311.3, 313.1, 311.4, 311.5, 314.0, 311.8, 311.9, 313.5, 311.5, 312.4, 309.9, 312.2, 320.3, 313.3, 312.7, 314.0, 313.4, 314.2, 313.7, 312.6, 311.4, 313.3, 320.1, 314.2, 312.6, 312.5, 312.6, 313.6, 313.3, 312.6, 310.3, 313.3, 312.6, 325.7, 313.7, 312.8, 314.6, 312.2, 316.4, 315.7, 317.0, 313.9, 313.2, 313.1, 311.5, 314.3, 312.7, 314.8, 313.5, 312.8, 311.8, 312.6, 328.1, 316.6, 313.5, 313.0, 313.9, 313.8, 313.3, 323.8, 311.0, 312.3, 311.4, 313.8, 313.4, 313.6, 312.4, 312.7, 311.5
