0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  76.7,  75.7,  76.7,  75.5,  77.1,  76.1,  75.9,  76.0,  76.9,  76.4,  76.1,  77.3,  76.1,  77.2,  77.2,  77.5,  76.0,  75.9,  77.0,  76.3,  76.0,  76.6,  76.0,  75.7,  76.2,  75.4,  76.2,  76.3,  76.6,  76.3,  76.7,  74.9,  75.5,  76.2,  75.6,  76.6,  76.7,  77.3,  78.3,  76.2,  77.6,  76.8,  77.3,  77.5,  76.6,  76.0,  77.3,  75.8,  77.2,  77.2,  76.3,  77.0,  76.5,  77.6,  76.4,  76.2,  76.5,  76.9,  76.9,  77.1,  77.0,  76.2,  76.6,  75.9,  77.0,  75.0,  76.3,  77.4,  77.0,  76.7,  77.7,  76.6,  76.1,  77.7,  76.9,  75.7,  77.1,  76.2,  77.8,  76.5,  76.5,  75.4,  76.7,  77.3,  75.7,  76.5,  75.7,  76.2,  76.5,  77.2,  77.9,  75.8,  76.5,  76.9,  76.2,  76.9,  77.6,  75.9,  75.9,  75.6
  99.2,  99.3, 100.0,  98.0,  99.8,  98.1,  99.6,  98.5, 100.3,  99.0,  99.6,  99.9,  99.1,  99.4, 100.2, 100.0,  98.6,  99.1,  99.7,  99.3,  98.1,  99.9,  99.0,  98.9, 100.6,  98.3,  98.9,  99.0,  99.8,  99.6, 100.0,  98.1,  98.9,  98.7,  98.6,  98.8,  99.7, 100.7, 100.4,  99.0, 100.2,  99.4, 100.5, 101.5,  99.6,  99.4,  99.7,  98.3,  99.9, 100.0,  99.1,  99.8,  98.9, 100.5,  98.5,  99.4,  99.1,  99.8,  98.9, 100.0, 100.4,  99.8,  99.7,  98.7, 100.0,  98.6,  99.2, 100.2,  99.8, 100.3, 100.5,  99.6,  99.8, 101.0,  99.8,  98.5,  99.7,  99.3, 100.5,  99.6,  99.3,  98.7,  99.6,  99.9,  99.2,  98.9,  98.6,  99.0,  98.6, 100.5, 101.0,  98.5,  99.3,  99.9,  98.3,  99.3,  99.5,  98.4,  99.0,  98.0
 134.5, 136.5, 135.4, 132.6, 137.1, 136.0, 136.2, 136.2, 137.4, 138.5, 135.7, 137.6, 134.0, 136.3, 136.7, 137.3, 134.0, 137.5, 137.0, 138.9, 129.9, 138.2, 135.9, 136.2, 139.0, 134.6, 136.2, 132.8, 134.8, 136.5, 136.4, 134.0, 134.3, 134.2, 136.5, 135.8, 137.7, 136.7, 135.7, 131.3, 137.5, 134.6, 136.0, 139.0, 138.5, 134.0, 138.2, 137.0, 138.6, 138.6, 135.2, 135.5, 138.3, 137.3, 135.1, 133.8, 132.3, 132.3, 133.8, 134.9, 136.4, 133.3, 136.7, 133.8, 138.5, 135.5, 136.6, 135.5, 137.6, 138.6, 138.0, 136.2, 136.9, 136.8, 138.9, 132.2, 137.7, 133.2, 138.0, 134.7, 138.8, 137.1, 135.7, 139.9, 136.3, 136.4, 133.3, 135.7, 138.1, 137.4, 138.2, 132.5, 137.5, 136.6, 134.3, 138.0, 134.4, 133.1, 130.8, 131.4
 155.8, 158.4, 156.8, 155.9, 158.8, 158.0, 157.6, 158.7, 159.7, 160.8, 159.1, 159.8, 155.3, 157.7, 159.1, 158.9, 155.1, 159.9, 159.2, 160.9, 154.0, 160.9, 156.7, 158.7, 160.1, 156.6, 156.8, 155.4, 156.0, 157.7, 158.0, 155.7, 156.4, 156.0, 156.7, 158.7, 160.1, 159.0, 157.4, 153.9, 160.0, 157.3, 158.2, 160.8, 159.9, 156.7, 160.1, 158.5, 160.2, 160.4, 156.5, 157.9, 161.6, 160.3, 157.3, 156.4, 156.7, 154.8, 156.2, 156.2, 159.2, 156.4, 159.2, 157.5, 160.2, 156.8, 160.7, 158.0, 159.3, 160.4, 160.1, 159.0, 157.3, 158.9, 159.8, 154.2, 160.7, 156.6, 159.4, 156.5, 160.3, 159.9, 158.8, 162.7, 157.7, 159.1, 156.7, 158.9, 159.5, 159.3, 161.8, 157.2, 158.7, 157.3, 155.4, 160.0, 156.7, 156.3, 153.3, 154.3
 188.1, 192.1, 190.1, 187.6, 193.0, 193.0, 193.9, 192.7, 193.0, 196.3, 192.2, 194.4, 188.6, 190.9, 191.6, 194.4, 189.2, 195.6, 191.6, 194.3, 184.9, 194.5, 190.2, 194.6, 193.3, 190.4, 190.4, 187.6, 190.3, 193.3, 190.9, 187.7, 186.8, 189.2, 189.2, 192.0, 192.2, 191.9, 189.8, 185.0, 193.3, 188.1, 192.1, 197.0, 193.5, 190.8, 192.6, 192.1, 194.9, 193.5, 190.8, 192.4, 194.3, 194.3, 191.3, 189.3, 189.2, 189.6, 190.2, 191.2, 194.3, 191.1, 193.4, 190.7, 195.1, 190.9, 194.7, 191.3, 194.2, 193.5, 195.3, 194.3, 190.5, 191.9, 195.0, 187.7, 195.0, 190.1, 194.7, 189.3, 192.5, 192.9, 192.3, 197.2, 192.6, 192.2, 188.3, 193.6, 193.7, 193.8, 194.8, 187.8, 192.5, 191.0, 187.7, 192.2, 192.3, 188.2, 180.9, 187.0
 222.5, 226.6, 226.2, 225.6, 226.7, 227.3, 227.9, 226.4, 226.7, 228.3, 227.2, 227.3, 225.3, 225.6, 226.9, 227.2, 225.2, 227.9, 225.8, 228.4, 218.4, 227.4, 225.3, 228.7, 226.7, 225.1, 226.9, 223.0, 225.5, 226.0, 227.1, 225.5, 224.3, 224.0, 225.1, 226.6, 225.9, 226.0, 225.4, 222.6, 227.0, 219.5, 227.4, 228.8, 227.1, 226.5, 226.5, 226.4, 228.1, 227.3, 225.2, 227.2, 227.3, 229.4, 226.7, 225.3, 225.4, 224.5, 225.3, 225.7, 227.6, 226.1, 227.1, 225.2, 228.7, 226.5, 228.0, 227.5, 227.7, 227.8, 228.1, 228.5, 224.2, 225.3, 227.7, 224.8, 228.1, 225.5, 228.5, 225.8, 226.0, 227.3, 227.4, 229.3, 228.2, 227.5, 223.6, 227.3, 228.9, 228.4, 228.6, 221.8, 227.4, 225.1, 224.6, 225.6, 226.6, 223.4, 213.1, 222.4
 251.6, 254.0, 253.7, 254.5, 254.9, 255.6, 255.8, 254.2, 256.4, 256.0, 254.8, 255.4, 251.8, 253.6, 255.3, 255.8, 253.0, 255.8, 255.2, 257.1, 245.3, 255.7, 253.9, 257.1, 254.6, 253.4, 256.2, 250.1, 254.1, 254.9, 255.0, 254.0, 251.7, 252.7, 252.8, 254.3, 254.6, 254.8, 254.3, 249.8, 255.7, 246.3, 255.7, 256.4, 255.3, 255.0, 255.5, 255.3, 256.7, 256.5, 253.0, 254.2, 255.2, 256.4, 255.2, 253.9, 252.9, 252.0, 253.5, 254.6, 256.0, 253.6, 254.9, 253.3, 257.1, 254.2, 255.0, 255.7, 255.9, 255.7, 255.7, 256.5, 252.9, 253.5, 255.9, 252.0, 256.3, 252.9, 256.1, 253.3, 254.8, 255.1, 255.9, 256.7, 256.1, 256.5, 251.5, 254.7, 257.9, 255.8, 257.0, 250.2, 255.9, 254.1, 253.5, 253.4, 254.3, 250.6, 236.5, 249.2
 278.1, 279.7, 280.6, 279.0, 281.3, 279.8, 280.2, 279.5, 282.1, 283.4, 280.1, 282.8, 277.3, 279.0, 281.1, 280.0, 277.1, 282.0, 280.8, 282.8, 271.5, 282.7, 278.9, 282.5, 279.6, 279.1, 281.4, 276.0, 279.0, 280.8, 280.3, 279.6, 278.5, 278.1, 278.6, 282.0, 279.7, 280.9, 278.9, 276.1, 280.7, 271.7, 280.7, 283.3, 281.7, 280.2, 281.5, 281.3, 283.6, 283.2, 279.5, 279.1, 280.0, 282.4, 282.4, 279.9, 279.3, 278.1, 279.1, 280.2, 281.8, 279.1, 280.8, 279.3, 284.8, 279.7, 281.4, 282.3, 281.3, 281.8, 282.1, 280.1, 279.4, 279.7, 282.4, 276.7, 282.2, 278.4, 281.2, 278.5, 280.7, 280.6, 280.9, 282.7, 282.1, 281.9, 278.1, 281.3, 282.7, 281.8, 284.0, 275.6, 281.0, 279.9, 280.5, 279.3, 281.0, 276.5, 262.5, 276.3
 308.7, 309.4, 310.9, 308.5, 310.6, 310.7, 308.9, 309.1, 311.7, 313.5, 309.9, 312.9, 306.7, 309.0, 311.4, 310.8, 308.2, 311.8, 309.9, 312.5, 296.8, 312.2, 309.1, 312.0, 309.4, 310.1, 312.5, 302.5, 309.7, 310.2, 310.4, 308.1, 308.8, 307.5, 307.5, 311.6, 309.0, 309.5, 309.7, 301.0, 310.7, 296.2, 309.8, 313.5, 312.0, 310.3, 312.6, 311.6, 312.7, 312.0, 309.6, 308.2, 308.9, 311.9, 312.7, 309.9, 308.3, 306.5, 310.0, 310.2, 311.0, 305.7, 311.6, 308.6, 313.4, 311.0, 311.3, 312.6, 310.6, 313.6, 311.0, 310.1, 310.4, 309.9, 312.1, 308.3, 312.7, 308.3, 313.1, 310.2, 310.2, 310.0, 310.3, 312.6, 312.0, 311.8, 306.5, 310.6, 311.5, 311.7, 314.5, 302.6, 310.6, 308.5, 310.9, 310.8, 311.1, 304.7, 286.8, 303.4
 334.2, 337.9, 338.3, 333.3, 338.6, 339.4, 335.9, 334.9, 341.2, 344.0, 338.5, 341.3, 332.9, 337.8, 341.8, 339.3, 335.0, 340.1, 340.7, 341.4, 323.5, 342.4, 335.9, 340.4, 336.8, 337.0, 342.6, 328.1, 337.1, 337.2, 338.8, 335.9, 336.0, 334.0, 333.4, 340.3, 334.0, 335.8, 336.7, 327.6, 338.5, 321.0, 336.4, 342.3, 340.0, 338.3, 339.5, 341.6, 342.6, 341.7, 335.3, 334.5, 336.0, 339.3, 342.8, 336.3, 333.9, 333.1, 339.4, 339.3, 340.3, 332.4, 339.1, 336.6, 343.1, 339.3, 340.4, 342.3, 338.8, 342.8, 342.1, 336.4, 338.0, 337.8, 342.8, 333.7, 341.3, 333.1, 344.0, 338.0, 336.9, 338.2, 342.0, 341.0, 340.3, 340.3, 332.0, 337.3, 339.7, 341.7, 343.7, 328.8, 337.8, 333.5, 338.6, 337.0, 341.8, 331.7, 316.6, 328.8
