0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  78.8,  78.0,  78.7,  77.5,  79.1,  78.1,  77.8,  78.0,  79.0,  78.7,  78.1,  79.5,  78.0,  79.2,  79.1,  79.6,  77.9,  78.1,  79.3,  78.3,  77.8,  79.1,  78.0,  77.9,  78.2,  77.2,  78.2,  78.5,  78.8,  78.6,  78.5,  76.7,  77.4,  78.4,  77.7,  78.7,  78.7,  79.1,  80.2,  78.2,  79.6,  78.8,  79.5,  79.6,  78.8,  78.1,  79.6,  77.8,  79.2,  79.3,  78.3,  79.1,  78.7,  79.7,  78.6,  78.1,  78.5,  78.8,  78.9,  79.3,  79.0,  78.5,  78.5,  78.2,  79.3,  77.1,  78.3,  79.6,  78.8,  78.9,  79.7,  79.0,  78.4,  79.7,  79.0,  77.6,  79.1,  78.4,  79.9,  78.8,  78.5,  77.2,  78.7,  79.3,  77.7,  78.6,  77.7,  78.6,  78.5,  79.4,  79.9,  77.8,  78.5,  78.9,  78.2,  79.2,  79.7,  78.0,  78.0,  77.8
 102.0, 102.1, 102.7, 101.0, 102.5, 100.8, 102.2, 101.4, 103.8, 101.9, 102.7, 103.2, 102.1, 102.2, 102.9, 103.2, 101.5, 102.1, 102.6, 102.2, 100.6, 102.9, 101.7, 101.8, 103.4, 101.2, 101.8, 102.1, 102.8, 102.6, 102.6, 100.8, 101.7, 101.5, 101.4, 101.9, 102.7, 103.6, 103.1, 101.9, 103.3, 102.3, 103.2, 105.4, 102.7, 102.3, 102.8, 101.1, 102.7, 103.1, 101.9, 102.4, 102.1, 103.5, 101.2, 102.0, 101.9, 102.4, 101.5, 103.2, 103.0, 103.1, 102.7, 101.4, 102.9, 101.6, 102.1, 103.5, 102.6, 103.5, 103.0, 102.5, 103.3, 104.2, 102.7, 101.4, 102.5, 102.2, 103.6, 102.4, 102.3, 101.7, 102.4, 103.0, 101.8, 101.7, 101.2, 102.3, 101.4, 103.5, 104.1, 101.2, 102.3, 102.5, 101.1, 102.0, 102.1, 101.1, 101.8, 100.7
 140.2, 141.7, 141.0, 140.0, 141.9, 141.6, 140.9, 143.1, 143.2, 143.2, 142.0, 142.8, 140.7, 141.3, 141.9, 142.0, 140.5, 142.2, 141.6, 143.8, 137.3, 143.5, 142.2, 142.0, 143.4, 140.9, 141.9, 139.7, 141.2, 141.5, 141.5, 140.4, 140.5, 139.1, 141.6, 141.8, 142.1, 141.8, 141.2, 138.5, 141.8, 140.7, 140.8, 143.7, 143.3, 140.3, 142.7, 142.4, 142.7, 143.8, 140.8, 140.9, 144.0, 142.3, 141.0, 140.9, 139.1, 138.5, 140.0, 140.3, 141.6, 140.5, 142.1, 140.2, 143.7, 141.6, 143.1, 141.1, 142.8, 143.0, 142.9, 142.2, 142.0, 141.5, 142.9, 139.2, 142.7, 140.4, 142.3, 141.2, 144.1, 142.8, 141.6, 143.6, 141.9, 142.1, 141.2, 141.5, 142.8, 142.0, 142.6, 140.7, 142.2, 141.8, 140.7, 142.6, 140.2, 140.5, 137.1, 138.7
 163.0, 165.6, 164.9, 163.7, 165.4, 165.8, 164.5, 166.6, 167.1, 168.0, 166.0, 166.2, 164.0, 165.5, 166.2, 165.6, 164.8, 166.8, 165.7, 168.6, 162.0, 166.9, 166.1, 166.6, 166.8, 164.7, 164.8, 163.8, 164.8, 164.7, 166.5, 164.2, 163.6, 162.8, 164.2, 166.6, 166.1, 165.8, 164.6, 161.9, 165.5, 164.9, 164.5, 167.4, 166.2, 164.4, 166.1, 166.7, 166.1, 167.8, 165.3, 165.0, 171.1, 166.9, 163.8, 164.8, 163.6, 162.5, 165.1, 163.3, 166.8, 164.8, 166.3, 165.1, 167.7, 165.4, 168.6, 165.3, 166.6, 166.8, 166.8, 165.8, 164.6, 165.3, 166.4, 162.8, 167.9, 164.7, 165.1, 164.9, 167.8, 166.9, 165.8, 169.3, 165.8, 165.1, 165.4, 166.5, 166.6, 164.7, 168.0, 165.1, 165.0, 164.7, 163.7, 166.0, 163.9, 164.7, 161.0, 161.8
 198.8, 201.0, 202.9, 202.9, 204.0, 205.9, 206.3, 203.8, 206.2, 206.0, 199.9, 202.3, 204.4, 203.7, 202.5, 204.6, 201.8, 204.9, 199.1, 206.0, 198.9, 202.0, 204.8, 207.7, 203.7, 201.3, 204.7, 199.0, 202.6, 204.7, 201.8, 201.6, 197.9, 198.8, 199.4, 203.5, 201.0, 201.8, 199.4, 197.0, 202.2, 200.4, 204.1, 207.6, 203.4, 202.3, 200.7, 203.5, 205.1, 204.1, 203.4, 205.1, 207.3, 203.7, 202.7, 201.7, 199.1, 201.1, 202.8, 200.4, 204.3, 203.2, 202.1, 202.7, 206.7, 202.0, 205.2, 201.7, 205.9, 202.7, 204.9, 205.5, 198.9, 199.0, 203.7, 199.4, 205.0, 202.5, 202.8, 201.6, 202.9, 203.3, 202.1, 207.3, 202.2, 200.9, 202.1, 205.3, 202.2, 204.2, 203.0, 200.0, 202.2, 200.5, 199.8, 199.4, 204.3, 199.8, 196.1, 200.1
 230.1, 231.6, 232.9, 233.3, 232.4, 234.9, 234.6, 233.3, 235.2, 233.6, 231.4, 231.7, 232.9, 233.0, 233.0, 233.3, 232.7, 233.6, 231.1, 235.6, 230.4, 231.3, 232.2, 238.2, 232.7, 231.5, 234.3, 230.5, 232.3, 232.2, 232.8, 232.4, 231.4, 230.6, 231.5, 232.8, 230.9, 231.3, 230.8, 231.4, 232.0, 230.3, 233.8, 236.6, 232.1, 232.7, 231.3, 232.0, 233.9, 233.1, 232.5, 232.8, 234.2, 235.2, 233.1, 231.8, 231.5, 230.9, 232.3, 230.8, 233.7, 231.8, 232.2, 232.1, 235.2, 232.6, 233.4, 233.6, 234.1, 233.6, 233.9, 234.8, 229.9, 229.8, 231.7, 231.3, 233.5, 232.4, 233.2, 231.7, 232.5, 232.5, 232.2, 235.8, 232.9, 232.1, 233.0, 233.1, 234.4, 233.9, 233.9, 230.6, 232.7, 231.2, 231.5, 230.6, 232.9, 231.1, 229.3, 230.6
 260.9, 258.6, 260.3, 262.5, 261.5, 261.3, 261.9, 260.7, 264.6, 260.1, 259.3, 259.6, 259.0, 261.1, 260.9, 261.2, 259.7, 260.9, 261.6, 263.6, 260.0, 259.8, 261.5, 268.3, 260.0, 260.2, 263.7, 259.0, 261.3, 260.9, 260.2, 261.5, 259.2, 258.9, 258.8, 260.2, 259.5, 260.1, 260.0, 259.0, 259.9, 258.1, 262.5, 262.4, 260.1, 260.1, 259.9, 260.5, 262.4, 262.7, 260.4, 259.7, 260.7, 260.8, 262.2, 260.4, 260.5, 258.8, 259.6, 260.0, 261.6, 259.8, 259.0, 260.2, 263.2, 259.8, 259.9, 262.1, 261.2, 261.8, 260.7, 262.0, 259.2, 258.2, 260.2, 258.7, 261.3, 259.8, 260.1, 259.8, 260.9, 260.1, 260.6, 263.0, 260.6, 261.1, 260.1, 259.4, 263.7, 260.8, 262.4, 259.6, 260.7, 259.9, 260.8, 258.1, 260.1, 259.0, 257.9, 258.0
 286.0, 284.2, 286.8, 287.0, 287.1, 286.1, 286.0, 285.9, 290.4, 287.1, 285.1, 286.7, 285.1, 285.8, 286.6, 286.2, 285.0, 286.6, 285.6, 288.3, 286.7, 286.6, 286.5, 292.7, 285.3, 286.8, 288.6, 284.4, 285.8, 286.6, 285.7, 285.9, 285.9, 284.9, 285.0, 288.0, 285.1, 286.3, 285.0, 284.6, 285.4, 284.8, 286.1, 288.5, 286.5, 286.1, 285.9, 286.2, 288.7, 287.6, 285.8, 284.7, 285.3, 286.7, 288.8, 286.7, 286.1, 285.6, 286.7, 286.4, 286.2, 285.4, 285.6, 285.8, 290.9, 285.8, 285.8, 287.4, 286.6, 286.9, 286.7, 285.3, 286.3, 284.9, 286.5, 283.2, 286.5, 285.3, 285.5, 285.5, 286.7, 285.5, 286.1, 288.3, 286.6, 286.3, 286.4, 286.4, 287.8, 286.1, 288.7, 284.3, 285.6, 285.3, 287.7, 284.7, 287.0, 285.9, 285.1, 285.4
 317.1, 315.4, 318.0, 316.1, 316.7, 317.1, 314.7, 315.5, 318.7, 318.1, 315.1, 317.3, 315.7, 316.0, 317.4, 317.4, 315.8, 316.7, 315.9, 318.5, 316.5, 317.1, 318.3, 322.4, 315.7, 318.4, 320.5, 313.4, 317.3, 316.0, 317.3, 315.3, 316.6, 315.1, 315.0, 317.8, 314.9, 315.6, 316.9, 315.0, 315.5, 313.5, 316.1, 318.7, 317.5, 316.4, 316.9, 317.4, 318.4, 317.1, 315.4, 315.2, 315.9, 317.1, 319.0, 316.2, 315.9, 316.7, 317.1, 316.5, 316.2, 314.9, 316.4, 316.5, 319.7, 317.6, 316.0, 318.0, 315.7, 319.2, 316.5, 315.5, 317.4, 316.2, 316.2, 315.0, 317.7, 316.2, 317.7, 317.1, 316.6, 315.2, 316.2, 318.0, 316.6, 317.1, 317.4, 316.5, 316.5, 316.8, 320.4, 315.1, 316.5, 314.6, 317.8, 316.3, 317.5, 316.6, 316.2, 315.3
 348.5, 347.3, 348.0, 346.9, 347.8, 348.2, 346.2, 346.1, 348.8, 348.8, 347.7, 347.5, 346.7, 347.2, 348.6, 348.3, 347.2, 347.9, 348.9, 348.6, 348.3, 349.3, 347.9, 349.8, 347.2, 348.2, 350.4, 345.0, 347.1, 347.5, 348.1, 347.5, 347.3, 346.2, 347.4, 348.2, 344.5, 346.7, 348.0, 347.0, 345.7, 345.0, 347.5, 348.8, 347.7, 347.5, 346.6, 349.3, 348.8, 348.0, 348.0, 348.0, 347.3, 347.1, 349.9, 346.5, 347.9, 347.6, 348.3, 348.1, 347.6, 347.8, 347.2, 348.1, 349.2, 348.5, 347.6, 347.9, 346.0, 349.1, 348.3, 345.7, 349.0, 346.6, 348.6, 346.6, 347.4, 346.4, 349.0, 347.7, 347.4, 347.1, 348.9, 348.7, 347.0, 348.4, 347.1, 347.6, 346.8, 348.0, 349.2, 346.2, 347.7, 346.1, 347.6, 347.0, 349.3, 347.8, 347.5, 347.0
