0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  72.2,  71.2,  72.5,  71.3,  72.5,  71.7,  71.7,  71.7,  72.4,  71.7,  72.0,  72.1,  72.1,  72.7,  72.9,  72.5,  71.8,  71.4,  72.3,  71.8,  71.7,  71.5,  71.6,  71.2,  71.8,  71.6,  72.0,  71.5,  71.9,  71.5,  72.3,  70.8,  71.3,  71.9,  70.9,  71.7,  72.4,  72.7,  73.8,  71.8,  73.1,  72.4,  72.5,  72.8,  72.0,  71.8,  72.5,  71.4,  72.5,  72.7,  71.9,  72.5,  72.1,  72.7,  72.0,  72.2,  72.1,  72.8,  72.5,  72.4,  72.8,  71.5,  72.4,  71.2,  71.8,  70.8,  72.1,  72.2,  72.5,  72.3,  73.0,  72.1,  71.5,  72.9,  72.4,  71.3,  72.7,  71.8,  73.0,  72.0,  72.0,  71.3,  72.6,  72.8,  71.4,  72.2,  71.5,  71.3,  71.9,  72.1,  73.2,  71.3,  72.1,  72.6,  72.0,  72.4,  73.0,  71.2,  71.5,  71.2
  78.2,  77.1,  78.4,  77.2,  78.4,  77.7,  77.6,  77.7,  78.3,  77.7,  77.9,  78.1,  78.0,  78.7,  78.8,  78.5,  77.7,  77.3,  78.3,  77.7,  77.6,  77.5,  77.5,  77.2,  77.7,  77.4,  77.9,  77.5,  77.9,  77.5,  78.2,  76.7,  77.2,  77.9,  76.8,  77.7,  78.3,  78.6,  79.7,  77.7,  79.1,  78.3,  78.5,  78.7,  78.0,  77.7,  78.4,  77.3,  78.4,  78.6,  77.8,  78.4,  78.1,  78.7,  77.9,  78.1,  78.1,  78.7,  78.5,  78.4,  78.7,  77.5,  78.3,  77.2,  77.8,  76.6,  78.0,  78.3,  78.4,  78.2,  78.9,  78.1,  77.4,  78.9,  78.4,  77.2,  78.6,  77.8,  78.9,  78.0,  77.9,  77.2,  78.5,  78.7,  77.3,  78.1,  77.5,  77.3,  77.8,  78.2,  79.1,  77.2,  78.0,  78.5,  77.9,  78.4,  79.0,  77.1,  77.4,  77.1
  92.5,  91.9,  93.2,  91.7,  93.3,  92.1,  92.5,  92.2,  93.1,  92.1,  92.7,  92.9,  92.7,  93.3,  93.7,  92.6,  92.4,  92.2,  92.5,  92.4,  92.2,  92.4,  92.2,  91.9,  92.7,  92.1,  92.5,  92.2,  92.7,  92.2,  93.2,  91.4,  91.9,  92.4,  91.6,  92.2,  93.1,  93.6,  94.3,  92.4,  93.7,  92.9,  93.1,  93.6,  92.8,  92.5,  93.0,  91.9,  92.9,  93.4,  92.5,  93.0,  92.7,  92.8,  92.4,  93.1,  92.7,  93.5,  93.1,  92.6,  93.7,  92.3,  93.0,  91.9,  92.0,  91.5,  92.7,  92.5,  93.2,  93.2,  93.1,  92.4,  92.1,  93.3,  93.2,  91.9,  93.2,  92.5,  93.3,  92.9,  92.5,  92.0,  93.2,  93.4,  92.2,  92.7,  92.1,  91.9,  92.4,  92.4,  93.7,  91.8,  92.6,  93.4,  92.4,  93.1,  93.1,  91.7,  92.1,  91.7
 154.1, 154.6, 154.8, 155.2, 155.7, 155.3, 154.2, 157.0, 156.3, 155.7, 156.7, 156.1, 154.3, 155.4, 156.1, 154.9, 154.2, 155.1, 154.5, 156.1, 154.7, 156.9, 154.6, 155.5, 154.9, 154.8, 154.5, 154.3, 154.1, 154.1, 155.0, 153.9, 154.8, 154.2, 153.4, 156.1, 155.8, 155.8, 155.6, 153.8, 155.9, 155.6, 155.0, 155.6, 155.5, 155.2, 155.6, 155.2, 155.2, 156.7, 154.1, 155.3, 158.2, 155.9, 155.8, 155.7, 156.1, 154.7, 155.6, 154.0, 156.3, 154.8, 156.3, 155.7, 155.6, 153.7, 158.1, 154.7, 156.0, 155.9, 156.1, 156.1, 153.6, 155.0, 154.9, 153.5, 156.7, 155.7, 155.2, 155.1, 156.3, 156.1, 156.7, 157.2, 154.8, 156.8, 156.0, 155.8, 155.8, 154.5, 156.9, 156.3, 155.0, 154.9, 154.0, 156.4, 155.1, 155.4, 152.8, 154.2
 160.3, 160.9, 161.1, 161.4, 162.0, 161.6, 160.5, 163.2, 162.5, 161.9, 162.9, 162.3, 160.6, 161.6, 162.3, 161.1, 160.5, 161.4, 160.8, 162.3, 161.0, 163.0, 160.9, 161.7, 161.2, 161.0, 160.8, 160.6, 160.5, 160.4, 161.3, 160.2, 161.0, 160.5, 159.7, 162.3, 162.0, 162.0, 161.9, 160.2, 162.1, 161.8, 161.3, 161.8, 161.7, 161.4, 161.8, 161.5, 161.5, 162.9, 160.4, 161.5, 164.4, 162.1, 162.0, 161.9, 162.3, 161.0, 161.9, 160.3, 162.5, 161.0, 162.5, 161.9, 161.9, 160.0, 164.3, 161.0, 162.3, 162.1, 162.4, 162.2, 159.9, 161.2, 161.2, 159.8, 163.0, 161.9, 161.4, 161.3, 162.5, 162.3, 162.9, 163.4, 161.1, 162.9, 162.2, 162.0, 162.0, 160.8, 163.1, 162.5, 161.2, 161.2, 160.3, 162.6, 161.3, 161.6, 159.2, 160.5
 228.3, 228.9, 229.8, 230.3, 229.4, 229.9, 229.7, 230.0, 229.9, 229.3, 230.0, 229.1, 229.6, 229.5, 230.1, 229.2, 229.4, 229.2, 228.7, 230.0, 229.0, 229.2, 228.7, 230.5, 228.8, 228.9, 230.0, 228.7, 229.2, 228.2, 230.0, 229.7, 230.0, 228.7, 228.9, 229.6, 228.8, 229.1, 229.4, 230.0, 229.5, 228.3, 230.1, 229.9, 229.2, 229.9, 229.0, 229.0, 229.7, 229.7, 228.8, 229.6, 229.7, 231.2, 230.3, 229.6, 230.3, 228.9, 229.5, 228.6, 229.8, 229.1, 229.6, 229.2, 230.1, 229.2, 230.2, 230.4, 229.7, 230.1, 229.9, 230.5, 227.5, 228.0, 228.8, 229.3, 230.0, 229.8, 230.0, 229.6, 229.1, 229.6, 230.2, 230.6, 229.9, 230.4, 230.0, 229.4, 230.8, 230.1, 230.4, 229.0, 229.8, 228.9, 229.4, 229.0, 229.5, 229.3, 227.9, 228.8
 234.7, 235.2, 236.2, 236.7, 235.8, 236.3, 236.1, 236.4, 236.3, 235.6, 236.4, 235.4, 235.9, 235.9, 236.5, 235.6, 235.8, 235.5, 235.1, 236.5, 235.4, 235.6, 235.0, 236.9, 235.2, 235.3, 236.4, 235.0, 235.5, 234.5, 236.4, 236.0, 236.4, 235.0, 235.3, 236.0, 235.2, 235.5, 235.8, 236.4, 235.9, 234.7, 236.5, 236.3, 235.6, 236.3, 235.4, 235.4, 236.1, 236.1, 235.1, 235.9, 236.2, 237.6, 236.6, 236.0, 236.7, 235.3, 235.8, 235.0, 236.2, 235.4, 236.0, 235.6, 236.4, 235.5, 236.7, 236.8, 236.2, 236.5, 236.3, 236.9, 233.8, 234.3, 235.2, 235.7, 236.4, 236.1, 236.4, 235.9, 235.5, 236.0, 236.6, 237.0, 236.3, 236.8, 236.4, 235.8, 237.2, 236.5, 236.9, 235.3, 236.2, 235.2, 235.7, 235.4, 235.9, 235.7, 234.1, 235.1
 289.5, 252.4, 252.7, 255.7, 253.9, 253.8, 253.0, 290.2, 292.7, 256.9, 257.4, 291.3, 252.4, 253.3, 255.3, 289.1, 252.4, 253.2, 288.6, 290.3, 291.0, 291.3, 289.4, 254.7, 288.8, 256.9, 254.3, 255.9, 253.2, 289.4, 253.3, 253.5, 253.2, 288.4, 252.1, 291.9, 289.6, 290.1, 289.0, 252.9, 288.8, 289.5, 253.5, 253.2, 290.5, 253.6, 289.8, 289.7, 253.6, 290.8, 253.0, 252.4, 289.3, 254.0, 255.0, 291.0, 255.5, 252.9, 254.1, 289.6, 289.4, 252.8, 254.2, 254.3, 255.7, 252.7, 255.2, 253.8, 253.6, 254.0, 254.0, 253.9, 290.1, 289.0, 256.6, 251.8, 256.2, 253.6, 253.5, 253.3, 290.3, 255.3, 290.2, 258.0, 253.3, 290.2, 253.7, 253.0, 290.4, 253.3, 255.6, 288.5, 254.0, 288.9, 291.8, 289.6, 252.8, 253.3, 255.8, 251.7
 296.3, 312.3, 314.5, 313.2, 312.9, 314.0, 311.5, 297.0, 299.4, 314.5, 313.7, 298.0, 313.4, 312.8, 314.4, 295.9, 313.4, 313.1, 295.4, 297.1, 297.8, 298.0, 296.2, 313.7, 295.6, 314.9, 315.0, 311.2, 313.5, 296.2, 314.0, 311.8, 314.3, 295.2, 312.0, 298.6, 296.4, 296.9, 295.9, 312.9, 295.6, 296.3, 312.6, 314.5, 297.2, 313.7, 296.6, 296.5, 313.6, 297.5, 312.5, 312.4, 296.1, 314.6, 315.2, 297.7, 313.5, 313.0, 314.3, 296.3, 296.2, 311.0, 314.2, 313.0, 314.4, 314.3, 313.9, 314.5, 312.7, 315.5, 313.0, 313.1, 296.8, 295.7, 313.3, 313.6, 314.6, 313.8, 315.1, 314.5, 297.1, 312.8, 297.0, 314.8, 313.8, 297.0, 313.9, 313.2, 297.2, 313.7, 315.6, 295.3, 313.0, 295.7, 298.6, 296.4, 314.0, 313.8, 313.5, 312.3
 356.6, 318.6, 320.7, 319.4, 319.1, 320.3, 317.7, 356.2, 360.2, 320.8, 319.9, 356.0, 319.7, 319.1, 320.6, 355.3, 319.7, 319.3, 359.2, 356.2, 359.0, 363.5, 354.9, 320.0, 355.0, 321.1, 321.3, 317.4, 319.7, 355.4, 320.2, 318.1, 320.6, 353.2, 318.3, 358.6, 352.6, 355.6, 355.4, 319.2, 352.6, 354.4, 318.8, 320.7, 355.8, 319.9, 354.2, 357.8, 319.9, 357.3, 318.7, 318.7, 355.3, 320.9, 321.4, 354.4, 319.7, 319.3, 320.6, 356.2, 355.9, 317.3, 320.4, 319.3, 320.6, 320.6, 320.1, 320.8, 319.0, 321.7, 319.2, 319.3, 357.4, 353.4, 319.6, 319.9, 320.9, 320.0, 321.4, 320.8, 356.0, 319.0, 357.4, 321.0, 320.0, 357.1, 320.2, 319.4, 355.7, 319.9, 321.9, 354.3, 319.3, 354.3, 357.3, 355.0, 320.2, 320.0, 319.7, 318.5
 363.3, 334.7, 336.7, 335.3, 334.9, 336.8, 333.4, 362.9, 366.8, 337.4, 336.5, 362.8, 335.8, 335.3, 337.4, 362.1, 335.9, 334.9, 365.7, 362.9, 365.6, 370.0, 361.6, 336.1, 361.8, 337.3, 337.9, 332.9, 335.6, 362.2, 337.0, 334.1, 336.8, 360.0, 334.2, 365.3, 359.4, 362.4, 362.2, 335.2, 359.4, 361.2, 334.5, 337.1, 362.7, 336.1, 361.0, 364.4, 335.8, 364.0, 334.2, 334.4, 362.1, 337.1, 338.4, 361.3, 335.9, 335.1, 337.4, 362.9, 362.6, 332.9, 336.6, 335.3, 336.8, 336.9, 336.8, 337.1, 334.7, 338.3, 335.6, 335.1, 364.1, 360.2, 335.9, 335.5, 337.2, 336.0, 338.3, 337.1, 362.9, 334.8, 364.1, 337.1, 336.0, 363.9, 335.8, 335.2, 362.5, 336.5, 338.4, 361.1, 334.8, 361.1, 364.0, 361.8, 336.9, 336.4, 335.4, 334.3
 421.4, 402.6, 404.3, 405.7, 404.5, 405.8, 402.6, 422.0, 423.7, 405.4, 405.0, 421.6, 405.1, 409.5, 405.1, 422.1, 407.3, 407.4, 424.4, 422.0, 422.8, 424.3, 421.2, 405.2, 421.6, 405.5, 405.2, 404.0, 405.5, 421.2, 405.6, 404.8, 406.2, 418.8, 403.6, 423.4, 419.8, 422.0, 421.5, 405.0, 419.5, 420.9, 404.3, 406.1, 422.5, 404.4, 421.3, 422.1, 407.1, 422.5, 407.1, 407.1, 423.1, 406.0, 409.5, 420.3, 403.3, 404.0, 407.4, 422.5, 421.1, 402.2, 405.6, 404.5, 407.1, 404.4, 405.5, 408.5, 406.0, 407.2, 405.7, 405.9, 421.2, 421.2, 405.3, 406.9, 405.3, 405.4, 406.1, 405.5, 421.9, 404.0, 422.1, 406.7, 403.9, 422.3, 406.4, 404.8, 421.8, 405.8, 407.1, 420.5, 405.7, 420.7, 422.7, 421.3, 406.1, 405.0, 407.2, 404.3
