0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  82.7,  82.1,  82.5,  81.3,  82.8,  82.0,  81.3,  82.1,  83.0,  82.7,  82.1,  83.2,  81.9,  83.1,  83.0,  83.4,  81.8,  82.2,  83.4,  82.1,  81.6,  83.0,  82.1,  81.9,  82.3,  81.2,  82.0,  82.4,  82.9,  83.0,  82.1,  80.6,  81.3,  82.5,  81.7,  82.5,  82.4,  82.7,  84.2,  82.0,  83.6,  82.9,  83.6,  83.6,  82.7,  82.1,  83.6,  81.6,  82.8,  82.9,  82.1,  83.2,  82.5,  83.3,  82.6,  81.8,  82.3,  82.9,  82.7,  83.6,  82.9,  82.4,  82.4,  82.5,  83.1,  81.4,  82.2,  83.6,  82.3,  83.3,  83.4,  83.1,  82.4,  83.7,  82.9,  81.3,  83.0,  82.4,  84.0,  83.0,  82.3,  81.1,  82.8,  82.9,  81.9,  82.3,  82.0,  82.8,  82.2,  83.1,  83.7,  81.7,  82.3,  82.7,  81.9,  83.4,  83.7,  82.1,  81.9,  81.7
  94.1,  93.3,  94.3,  92.8,  94.7,  93.3,  93.7,  93.3,  94.4,  93.9,  93.7,  94.8,  93.6,  94.6,  94.7,  94.8,  93.4,  93.5,  94.5,  93.8,  93.3,  94.3,  93.4,  93.2,  93.8,  92.8,  93.8,  93.7,  94.0,  93.7,  94.4,  92.3,  92.9,  93.6,  93.0,  93.8,  94.3,  95.0,  95.6,  93.6,  95.0,  94.2,  94.8,  95.0,  94.2,  93.6,  94.7,  93.1,  94.7,  94.8,  93.7,  94.4,  94.0,  95.2,  93.8,  94.0,  93.9,  94.4,  94.4,  94.5,  94.8,  93.8,  94.0,  93.4,  94.5,  92.5,  93.8,  94.8,  94.5,  94.3,  95.2,  94.2,  93.6,  95.2,  94.5,  93.0,  94.5,  93.8,  95.2,  94.1,  93.8,  92.8,  94.3,  94.8,  93.2,  93.9,  93.0,  93.5,  93.8,  94.8,  95.4,  93.2,  93.8,  94.6,  93.4,  94.4,  94.8,  93.2,  93.5,  93.0
 102.1, 101.3, 102.3, 100.8, 102.7, 101.2, 101.6, 101.3, 102.6, 101.8, 101.9, 102.9, 101.6, 102.6, 102.8, 102.9, 101.4, 101.6, 102.5, 101.8, 101.1, 102.3, 101.4, 101.3, 102.0, 100.8, 101.7, 101.8, 102.1, 101.7, 102.3, 100.3, 101.0, 101.6, 100.9, 101.8, 102.3, 103.0, 103.6, 101.6, 103.0, 102.2, 102.8, 103.3, 102.3, 101.6, 102.7, 101.1, 102.6, 102.8, 101.7, 102.3, 102.0, 103.2, 101.7, 102.0, 101.9, 102.4, 102.2, 102.6, 102.8, 101.9, 102.1, 101.3, 102.5, 100.7, 101.8, 102.9, 102.3, 102.5, 103.2, 102.2, 101.8, 103.3, 102.5, 101.0, 102.5, 101.8, 103.3, 102.1, 101.8, 100.9, 102.3, 102.8, 101.2, 101.9, 101.0, 101.6, 101.7, 102.8, 103.5, 101.1, 101.8, 102.5, 101.2, 102.3, 102.7, 101.1, 101.5, 100.9
 138.7, 140.2, 141.2, 137.4, 142.5, 139.0, 140.8, 141.6, 141.1, 139.4, 142.1, 139.9, 140.5, 138.1, 142.3, 137.6, 137.2, 142.4, 137.9, 143.6, 131.9, 140.6, 141.2, 140.2, 143.4, 141.2, 141.8, 137.6, 135.7, 139.0, 141.5, 140.8, 140.4, 137.6, 140.6, 138.1, 142.3, 138.2, 136.6, 135.6, 140.5, 138.7, 138.3, 141.8, 143.4, 140.5, 141.0, 140.6, 140.9, 143.5, 140.9, 137.7, 141.9, 139.7, 137.4, 141.4, 135.9, 135.5, 135.8, 137.7, 142.2, 137.6, 139.7, 137.7, 138.9, 141.7, 143.1, 137.9, 139.3, 141.7, 141.5, 137.9, 140.2, 139.6, 143.0, 135.4, 141.1, 137.9, 140.5, 138.5, 141.9, 142.9, 140.6, 143.6, 142.3, 139.0, 136.7, 138.8, 141.2, 140.1, 141.0, 137.5, 139.6, 142.4, 138.0, 139.8, 138.0, 138.0, 137.7, 136.8
 152.8, 154.1, 154.8, 152.3, 156.2, 153.9, 154.3, 156.1, 155.3, 154.6, 156.4, 155.5, 154.0, 153.4, 156.3, 153.1, 152.0, 156.5, 153.2, 157.5, 150.5, 155.3, 155.7, 154.7, 156.7, 154.9, 155.4, 152.1, 150.9, 152.8, 155.3, 154.3, 154.5, 153.1, 154.0, 153.5, 156.3, 153.8, 152.4, 151.2, 154.8, 153.5, 154.0, 155.9, 157.1, 154.7, 154.7, 155.3, 155.1, 157.9, 154.6, 152.1, 156.8, 155.4, 153.3, 155.2, 152.7, 151.6, 152.0, 151.9, 156.3, 152.3, 154.6, 153.7, 154.4, 155.1, 158.0, 152.3, 154.3, 155.7, 155.8, 153.7, 153.6, 154.0, 156.5, 150.8, 155.5, 152.9, 154.4, 153.7, 156.0, 156.8, 156.2, 158.0, 155.7, 154.9, 152.6, 153.4, 156.1, 154.7, 155.9, 153.7, 154.4, 155.6, 152.5, 154.8, 152.2, 153.7, 151.6, 152.3
 166.2, 168.4, 169.0, 165.8, 170.2, 168.0, 167.9, 170.5, 169.8, 168.5, 170.7, 169.7, 167.6, 168.1, 170.6, 167.5, 166.4, 170.9, 167.7, 172.3, 164.8, 169.8, 170.5, 169.3, 170.8, 168.3, 169.1, 166.3, 165.8, 166.5, 169.9, 167.8, 167.6, 167.3, 167.5, 168.4, 170.4, 167.7, 166.9, 165.0, 168.7, 167.3, 168.2, 170.0, 170.7, 168.4, 168.5, 170.0, 169.3, 172.7, 168.8, 166.4, 173.0, 170.0, 166.5, 168.6, 166.2, 166.1, 166.9, 166.0, 170.9, 166.4, 169.0, 168.5, 169.0, 169.3, 173.1, 166.4, 168.2, 170.1, 170.8, 167.8, 167.3, 168.6, 171.1, 164.7, 170.6, 167.1, 168.3, 168.0, 170.2, 170.6, 171.1, 173.3, 170.0, 168.1, 166.7, 168.1, 171.6, 167.9, 171.2, 167.3, 168.1, 169.5, 166.4, 169.3, 166.3, 168.2, 165.1, 166.2
 185.1, 188.2, 188.7, 184.6, 191.1, 188.6, 190.4, 190.2, 188.1, 190.6, 190.9, 191.1, 187.4, 187.7, 189.7, 189.3, 187.7, 192.7, 187.4, 191.9, 183.0, 189.7, 191.4, 191.3, 191.2, 190.0, 188.4, 185.1, 188.7, 186.6, 189.2, 188.5, 186.8, 187.8, 185.8, 188.8, 189.9, 187.1, 186.6, 184.1, 186.9, 185.3, 188.1, 191.0, 191.1, 188.9, 187.2, 191.0, 188.7, 192.4, 188.9, 187.9, 192.1, 190.4, 187.9, 189.7, 186.0, 187.2, 187.9, 186.9, 192.1, 186.4, 189.4, 188.7, 190.2, 189.7, 193.6, 185.7, 187.2, 188.8, 190.2, 188.8, 187.0, 187.9, 191.5, 186.2, 190.5, 186.0, 188.1, 187.4, 189.8, 191.8, 191.0, 194.3, 191.7, 188.6, 186.3, 188.2, 191.2, 188.4, 190.7, 186.4, 188.4, 190.3, 185.4, 188.6, 187.2, 188.1, 182.3, 186.9
 201.2, 204.6, 206.8, 203.3, 209.0, 208.4, 208.4, 207.5, 206.9, 207.3, 209.0, 207.1, 206.5, 205.7, 207.4, 206.1, 206.0, 209.7, 202.4, 210.3, 201.5, 206.8, 209.3, 208.9, 208.5, 208.1, 207.2, 201.3, 205.6, 204.0, 206.4, 208.1, 205.7, 204.0, 203.9, 205.7, 208.6, 204.4, 202.3, 200.6, 204.6, 202.0, 206.4, 209.0, 210.1, 206.9, 203.5, 208.6, 207.1, 210.4, 206.6, 205.0, 208.9, 207.6, 204.7, 207.3, 202.0, 204.4, 205.2, 203.1, 208.9, 202.9, 205.3, 205.3, 207.2, 207.8, 210.9, 201.5, 205.9, 206.5, 207.1, 208.1, 202.5, 204.0, 209.4, 202.8, 207.2, 203.2, 204.6, 205.4, 206.7, 209.6, 208.6, 211.7, 209.9, 206.2, 202.9, 205.6, 208.0, 207.4, 207.3, 202.7, 205.0, 207.5, 202.2, 204.2, 204.0, 204.8, 199.6, 203.6
 218.4, 223.8, 225.7, 222.9, 225.9, 226.4, 226.2, 225.0, 224.8, 226.5, 226.8, 226.2, 224.8, 224.6, 225.9, 225.5, 225.7, 226.5, 223.1, 227.3, 217.8, 226.3, 226.8, 228.6, 225.9, 226.4, 226.5, 220.1, 224.7, 222.8, 226.0, 227.1, 223.7, 222.9, 225.2, 225.6, 225.8, 222.5, 222.9, 218.3, 223.8, 218.1, 225.5, 226.6, 226.7, 225.6, 222.4, 226.8, 226.5, 227.1, 225.2, 224.6, 227.1, 227.3, 225.0, 225.9, 220.8, 223.0, 224.7, 224.8, 226.6, 222.8, 224.6, 224.2, 227.9, 225.6, 227.2, 221.9, 224.2, 225.4, 226.0, 227.3, 220.2, 223.0, 226.1, 222.2, 226.1, 223.1, 224.6, 224.6, 224.7, 226.5, 226.6, 228.3, 227.5, 225.8, 221.5, 224.5, 227.2, 226.0, 227.1, 219.8, 224.6, 224.7, 221.2, 223.4, 225.2, 224.6, 216.0, 222.4
 230.6, 236.5, 240.3, 235.1, 241.9, 242.7, 241.6, 238.5, 238.9, 241.9, 243.6, 241.5, 238.0, 238.4, 241.4, 239.9, 240.6, 243.3, 236.1, 245.6, 231.4, 241.6, 242.7, 246.3, 241.2, 243.0, 244.0, 232.3, 237.7, 234.9, 240.7, 243.9, 236.7, 235.4, 241.6, 239.8, 242.0, 234.9, 234.8, 231.3, 236.9, 230.6, 239.7, 243.5, 242.5, 241.0, 234.8, 244.6, 243.7, 245.0, 239.1, 236.8, 244.9, 243.5, 238.2, 240.6, 232.8, 234.9, 238.3, 238.2, 243.5, 234.6, 237.7, 237.2, 245.2, 241.2, 243.3, 234.1, 237.8, 240.2, 241.2, 244.9, 232.0, 235.3, 241.2, 234.4, 241.5, 235.5, 237.8, 237.3, 239.1, 242.9, 242.8, 246.4, 246.5, 243.0, 233.9, 237.4, 244.3, 240.1, 245.1, 231.7, 239.1, 239.5, 233.1, 235.6, 239.1, 238.4, 229.9, 234.3
 248.6, 250.2, 252.8, 250.4, 254.5, 255.2, 254.7, 252.0, 253.4, 254.8, 255.9, 254.8, 250.9, 251.8, 254.2, 253.3, 253.1, 255.6, 250.4, 258.3, 248.7, 255.0, 255.5, 259.3, 254.1, 255.6, 257.0, 248.4, 251.4, 249.8, 253.4, 256.7, 250.9, 250.1, 254.9, 253.1, 255.1, 248.7, 249.2, 246.9, 251.6, 247.2, 252.9, 255.9, 255.4, 253.8, 250.0, 256.9, 256.3, 257.6, 252.6, 250.3, 257.0, 255.8, 251.7, 253.9, 247.4, 248.5, 251.5, 252.1, 256.1, 249.2, 251.3, 250.9, 257.9, 254.1, 255.6, 249.3, 251.5, 253.2, 254.4, 257.8, 247.9, 250.1, 254.0, 248.1, 254.6, 249.5, 251.3, 251.1, 252.5, 255.4, 255.4, 259.2, 258.7, 255.7, 248.6, 251.0, 257.1, 253.4, 257.3, 247.3, 252.2, 252.6, 248.4, 249.7, 252.8, 251.3, 246.9, 248.6
