0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  72.8,  71.6,  73.0,  71.7,  73.1,  72.2,  72.2,  72.2,  73.0,  72.2,  72.4,  72.8,  72.6,  73.4,  73.6,  73.2,  72.3,  71.8,  73.0,  72.3,  72.2,  72.0,  72.0,  71.6,  72.3,  71.9,  72.4,  72.0,  72.5,  72.0,  72.9,  71.1,  71.7,  72.4,  71.3,  72.3,  72.9,  73.4,  74.6,  72.3,  73.8,  72.9,  73.2,  73.5,  72.5,  72.2,  73.0,  71.8,  73.2,  73.3,  72.4,  73.1,  72.7,  73.4,  72.4,  72.7,  72.7,  73.3,  73.1,  73.0,  73.4,  72.0,  73.0,  71.5,  72.5,  71.0,  72.6,  72.9,  73.1,  72.7,  73.8,  72.6,  71.9,  73.7,  73.1,  71.7,  73.4,  72.3,  73.7,  72.5,  72.5,  71.7,  73.1,  73.4,  71.8,  72.7,  72.0,  71.8,  72.5,  72.8,  73.9,  71.7,  72.7,  73.2,  72.5,  73.0,  73.7,  71.6,  71.9,  71.6
  79.9,  78.7,  80.1,  78.8,  80.2,  79.3,  79.2,  79.3,  80.1,  79.4,  79.5,  79.9,  79.6,  80.4,  80.6,  80.3,  79.4,  78.9,  80.1,  79.4,  79.2,  79.2,  79.1,  78.7,  79.3,  78.9,  79.5,  79.1,  79.6,  79.2,  79.9,  78.2,  78.8,  79.5,  78.4,  79.4,  80.0,  80.4,  81.7,  79.3,  80.9,  80.0,  80.3,  80.6,  79.6,  79.3,  80.1,  78.8,  80.2,  80.3,  79.5,  80.2,  79.8,  80.5,  79.5,  79.7,  79.7,  80.4,  80.2,  80.2,  80.5,  79.1,  80.0,  78.7,  79.6,  78.1,  79.7,  80.1,  80.1,  79.9,  80.9,  79.7,  79.1,  80.8,  80.2,  78.8,  80.4,  79.4,  80.8,  79.7,  79.6,  78.8,  80.2,  80.4,  78.9,  79.7,  79.1,  79.0,  79.5,  79.9,  81.0,  78.8,  79.7,  80.2,  79.6,  80.1,  80.8,  78.7,  78.9,  78.7
 118.3, 116.4, 120.3, 116.1, 120.9, 119.7, 118.6, 116.6, 122.6, 118.0, 120.1, 121.5, 120.1, 118.3, 121.8, 122.9, 116.0, 120.1, 121.9, 119.5, 113.0, 116.4, 114.9, 116.9, 121.4, 119.0, 119.2, 117.8, 119.0, 120.3, 119.9, 116.9, 116.7, 117.5, 112.8, 120.0, 121.5, 119.9, 122.3, 116.7, 123.7, 120.0, 120.3, 122.9, 120.7, 118.8, 119.7, 116.0, 121.6, 121.3, 120.1, 116.3, 121.0, 122.6, 114.1, 118.1, 117.5, 117.3, 116.7, 120.2, 120.1, 118.0, 121.1, 113.7, 120.3, 118.4, 119.1, 120.6, 119.4, 122.4, 120.1, 118.9, 122.3, 122.7, 121.9, 114.2, 121.4, 116.8, 121.2, 118.1, 121.0, 119.5, 119.3, 124.9, 117.8, 119.9, 115.0, 120.0, 117.2, 121.1, 122.5, 114.5, 121.6, 121.2, 117.1, 119.9, 117.7, 114.6, 116.1, 111.0
 126.1, 124.1, 128.0, 123.8, 128.5, 127.4, 126.4, 124.3, 130.1, 125.8, 127.8, 129.2, 127.8, 126.1, 129.4, 130.5, 123.7, 127.8, 129.5, 127.4, 121.0, 124.1, 122.6, 124.6, 129.1, 126.8, 127.0, 125.5, 126.7, 128.0, 127.7, 124.6, 124.3, 125.2, 120.8, 127.7, 129.2, 127.7, 129.8, 124.3, 131.3, 127.6, 127.9, 130.5, 128.4, 126.5, 127.5, 123.7, 129.3, 129.0, 127.8, 124.1, 128.8, 130.2, 122.0, 125.8, 125.2, 125.0, 124.4, 127.9, 127.8, 125.7, 128.7, 121.5, 128.0, 126.1, 126.9, 128.2, 127.2, 130.0, 127.8, 126.7, 129.9, 130.2, 129.6, 122.0, 129.1, 124.5, 128.8, 125.8, 128.7, 127.3, 127.1, 132.5, 125.6, 127.6, 122.8, 127.7, 125.0, 128.7, 130.2, 122.2, 129.2, 128.8, 124.8, 127.6, 125.5, 122.3, 123.7, 119.6
 162.4, 162.3, 164.9, 162.2, 165.0, 164.8, 163.2, 163.0, 166.9, 163.9, 165.3, 165.4, 164.1, 163.6, 166.5, 166.5, 162.1, 165.1, 166.0, 165.0, 160.9, 162.9, 161.1, 163.3, 164.9, 163.8, 163.1, 163.5, 163.7, 163.9, 165.3, 162.3, 161.9, 162.3, 158.0, 165.6, 165.6, 164.6, 166.2, 161.8, 167.2, 164.9, 164.5, 166.2, 164.4, 164.2, 163.9, 162.3, 164.9, 165.7, 165.0, 162.8, 167.8, 167.6, 160.8, 163.8, 163.8, 162.8, 163.6, 163.8, 166.1, 163.8, 165.8, 162.0, 165.0, 163.2, 166.0, 165.3, 164.3, 166.2, 164.9, 164.1, 164.6, 166.5, 165.1, 160.0, 166.9, 163.3, 164.2, 163.3, 165.3, 164.8, 164.8, 170.9, 163.3, 164.2, 162.5, 165.9, 162.6, 164.2, 168.3, 162.6, 164.4, 164.5, 161.9, 164.4, 163.1, 162.1, 161.4, 158.0
 170.9, 170.6, 173.2, 170.5, 173.4, 173.1, 171.6, 171.3, 175.2, 172.2, 173.7, 173.9, 172.5, 171.9, 174.8, 174.9, 170.2, 173.5, 174.4, 173.3, 168.9, 171.1, 169.2, 171.5, 173.4, 172.2, 171.6, 171.7, 172.0, 172.5, 173.6, 170.5, 170.1, 170.6, 166.2, 173.9, 174.0, 173.0, 174.6, 170.2, 175.6, 173.3, 173.0, 174.7, 172.9, 172.5, 172.4, 170.4, 173.5, 174.0, 173.3, 171.0, 175.9, 175.8, 168.9, 172.1, 172.1, 171.1, 171.8, 172.3, 174.3, 172.2, 174.2, 170.0, 173.4, 171.5, 174.2, 173.7, 172.7, 174.5, 173.3, 172.5, 173.2, 174.9, 173.6, 168.1, 175.1, 171.5, 172.8, 171.7, 173.7, 173.1, 173.2, 179.0, 171.6, 172.8, 170.7, 174.1, 171.0, 172.9, 176.4, 170.6, 173.1, 173.0, 170.1, 172.8, 171.5, 170.1, 169.6, 166.2
 223.1, 223.4, 226.4, 225.7, 225.6, 226.1, 226.1, 222.9, 226.6, 225.1, 225.6, 225.1, 226.2, 224.5, 226.6, 225.9, 224.1, 225.4, 225.0, 226.1, 221.2, 223.0, 223.0, 226.2, 224.6, 224.6, 226.3, 224.3, 225.1, 224.2, 226.7, 225.5, 224.7, 223.1, 215.9, 225.6, 224.7, 224.8, 226.1, 225.1, 226.6, 223.1, 226.6, 226.6, 225.2, 226.1, 224.0, 223.8, 226.3, 225.4, 225.1, 225.4, 225.9, 228.3, 224.0, 225.2, 225.5, 223.9, 224.4, 224.7, 225.9, 225.4, 225.7, 222.9, 226.6, 225.0, 226.0, 227.0, 225.7, 226.4, 225.5, 226.4, 223.4, 224.3, 225.5, 223.5, 226.5, 225.0, 226.0, 225.6, 224.1, 225.6, 226.0, 228.6, 226.0, 225.9, 223.2, 226.2, 224.9, 226.7, 227.2, 222.0, 226.1, 224.4, 224.5, 222.6, 225.1, 222.5, 221.8, 219.9
 230.6, 230.9, 234.2, 233.3, 233.3, 233.9, 233.8, 230.5, 234.4, 232.8, 233.3, 232.9, 234.0, 232.1, 234.4, 233.7, 231.7, 233.1, 232.8, 233.8, 228.7, 230.5, 230.5, 233.9, 232.2, 232.2, 234.0, 231.8, 232.8, 231.9, 234.4, 233.1, 232.3, 230.7, 223.8, 233.4, 232.4, 232.5, 233.8, 232.6, 234.5, 230.6, 234.4, 234.5, 232.8, 233.8, 231.7, 231.3, 234.1, 233.2, 232.9, 233.0, 233.7, 236.2, 231.5, 232.9, 233.1, 231.5, 232.0, 232.3, 233.7, 233.0, 233.4, 230.4, 234.3, 232.7, 233.7, 234.8, 233.4, 234.1, 233.2, 234.2, 231.0, 232.0, 233.2, 231.0, 234.4, 232.6, 233.7, 233.3, 231.8, 233.3, 233.8, 236.8, 233.7, 233.6, 230.7, 233.9, 232.5, 234.4, 235.1, 229.5, 233.8, 232.1, 232.0, 230.2, 232.7, 230.0, 229.2, 227.4
 274.7, 272.6, 275.7, 274.1, 275.0, 273.1, 274.1, 271.5, 275.4, 274.6, 273.7, 276.1, 273.1, 273.7, 274.9, 273.4, 270.5, 274.5, 275.6, 274.9, 271.6, 273.7, 272.5, 275.9, 272.7, 273.2, 275.1, 272.9, 273.8, 273.8, 274.8, 275.1, 274.1, 272.2, 262.5, 275.2, 273.2, 274.6, 274.3, 273.7, 274.3, 271.5, 275.6, 274.9, 274.6, 273.6, 273.8, 274.0, 275.2, 276.0, 275.0, 272.6, 273.3, 275.3, 275.0, 274.9, 275.2, 272.6, 272.0, 273.7, 275.5, 274.0, 273.2, 272.6, 276.3, 273.3, 275.0, 276.2, 273.8, 275.3, 274.5, 273.5, 273.2, 273.4, 275.4, 270.9, 275.0, 273.0, 273.8, 274.0, 273.9, 274.4, 274.2, 276.7, 274.7, 274.5, 272.1, 274.4, 275.0, 275.4, 276.1, 271.4, 274.9, 273.9, 275.8, 271.3, 274.1, 271.0, 272.6, 269.0
 282.8, 280.7, 284.0, 282.5, 283.3, 281.6, 282.5, 279.8, 283.8, 282.8, 282.2, 284.2, 281.7, 282.1, 283.4, 282.1, 279.1, 282.8, 283.9, 283.2, 279.7, 281.8, 280.8, 284.1, 281.2, 281.6, 283.4, 281.3, 282.2, 282.1, 283.2, 283.3, 282.3, 280.4, 271.6, 283.5, 281.7, 282.8, 282.8, 281.9, 282.8, 279.9, 284.0, 283.3, 282.9, 282.1, 282.0, 282.1, 283.6, 284.2, 283.2, 281.0, 281.8, 283.9, 283.1, 283.1, 283.4, 280.9, 280.5, 282.1, 283.8, 282.3, 281.8, 280.8, 284.5, 281.7, 283.3, 284.5, 282.3, 283.7, 282.8, 282.1, 281.5, 281.7, 283.6, 279.2, 283.4, 281.4, 282.2, 282.3, 282.2, 282.6, 282.6, 285.5, 283.0, 282.9, 280.4, 282.7, 283.2, 283.7, 284.5, 279.7, 283.3, 282.3, 283.9, 279.6, 282.4, 279.3, 280.7, 277.0
